Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.475936,[86 16] ; [ 4 29],[68. 34.] ; [22. 11.],1
p11,1,0.0,28.712528,[64 38] ; [ 3 30],[50.62222222 51.37777778] ; [16.37777778 16.62222222],1
v4,1,0.0,25.95842,[88 14] ; [14 19],[77.06666667 24.93333333] ; [24.93333333  8.06666667],1
p9,1,3.3e-05,17.265402,[62 36] ; [ 6 24],[52.0625 45.9375] ; [15.9375 14.0625],1
p10,1,0.000133,14.603161,[57 42] ; [ 6 26],[47.61068702 51.38931298] ; [15.38931298 16.61068702],1
s6,1,0.000159,14.259912,[56 44] ; [ 6 27],[46.61654135 53.38345865] ; [15.38345865 17.61654135],1
v2,1,0.000557,11.91561,[44 50] ; [ 4 28],[35.80952381 58.19047619] ; [12.19047619 19.80952381],1
n6,1,0.000677,11.550802,[76 26] ; [14 19],[68. 34.] ; [22. 11.],1
s8,1,0.000873,11.079642,[37 65] ; [ 2 31],[29.46666667 72.53333333] ; [ 9.53333333 23.46666667],1
s2,1,0.000996,10.834954,[40 60] ; [ 3 30],[32.33082707 67.66917293] ; [10.66917293 22.33082707],1
d4,1,0.001111,10.631988,[82 20] ; [17 16],[74.8 27.2] ; [24.2  8.8],0
r1,1,0.001257,10.404215,[72 30] ; [13 20],[64.22222222 37.77777778] ; [20.77777778 12.22222222],0
p4,1,0.001607,9.951169,[30 71] ; [ 1 32],[23.36567164 77.63432836] ; [ 7.63432836 25.36567164],0
r2,1,0.003237,8.669021,[91 10] ; [22 10],[85.81203008 15.18796992] ; [27.18796992  4.81203008],0
u2,1,0.005069,7.854545,[21 12] ; [ 3 12],[16.5 16.5] ; [7.5 7.5],0
u3,1,0.005069,7.854545,[21 12] ; [ 3 12],[16.5 16.5] ; [7.5 7.5],0
a1,1,0.005755,7.625334,[ 7 95] ; [ 8 25],[11.33333333 90.66666667] ; [ 3.66666667 29.33333333],0
b5,1,0.005949,7.565699,[62 40] ; [11 22],[55.15555556 46.84444444] ; [17.84444444 15.15555556],0
p3,1,0.012295,6.267879,[27 74] ; [ 2 31],[21.85820896 79.14179104] ; [ 7.14179104 25.85820896],0
n3,1,0.020199,5.394618,[28 13] ; [ 6 11],[24.03448276 16.96551724] ; [9.96551724 7.03448276],0
u1,1,0.022376,5.216316,[20 82] ; [ 1 32],[15.86666667 86.13333333] ; [ 5.13333333 27.86666667],0
d3,1,0.024321,5.071588,[63 39] ; [13 20],[57.42222222 44.57777778] ; [18.57777778 14.42222222],0
s7,1,0.026926,4.895564,[36 60] ; [ 5 26],[30.99212598 65.00787402] ; [10.00787402 20.99212598],0
b1,1,0.031716,4.613791,[43 59] ; [21 12],[48.35555556 53.64444444] ; [15.64444444 17.35555556],0
n5,1,0.033526,4.518717,[56 46] ; [25  8],[61.2 40.8] ; [19.8 13.2],0
p1,1,0.033657,4.512032,[ 8 94] ; [ 7 26],[11.33333333 90.66666667] ; [ 3.66666667 29.33333333],0
s5,1,0.034689,4.460411,[25 68] ; [ 3 30],[20.66666667 72.33333333] ; [ 7.33333333 25.66666667],0
s3,1,0.038927,4.264034,[41 60] ; [ 6 24],[36.23664122 64.76335878] ; [10.76335878 19.23664122],0
a5,1,0.057903,3.596447,[71 31] ; [17 16],[66.48888889 35.51111111] ; [21.51111111 11.48888889],0
a7,1,0.079711,3.070793,[64 38] ; [15 18],[59.68888889 42.31111111] ; [19.31111111 13.68888889],0
d5,1,0.089258,2.887701,[72 30] ; [18 15],[68. 34.] ; [22. 11.],0
s1,1,0.09423,2.800583,[ 6 95] ; [ 5 28],[ 8.29104478 92.70895522] ; [ 2.70895522 30.29104478],0
d1,1,0.097732,2.742174,[54 48] ; [12 21],[49.86666667 52.13333333] ; [16.13333333 16.86666667],0
v1,1,0.148578,2.086786,[34 64] ; [ 7 26],[30.67175573 67.32824427] ; [10.32824427 22.67175573],0
n2,1,0.178548,1.809669,[30 14] ; [9 9],[27.67741935 16.32258065] ; [11.32258065  6.67741935],0
n4,1,0.181451,1.785703,[61 41] ; [24  9],[64.22222222 37.77777778] ; [20.77777778 12.22222222],0
p6,1,0.181475,1.785505,[11 90] ; [ 1 31],[ 9.11278195 91.88721805] ; [ 2.88721805 29.11278195],0
a2,1,0.219667,1.506548,[26 76] ; [ 5 28],[23.42222222 78.57777778] ; [ 7.57777778 25.42222222],0
b3,1,0.237399,1.395975,[24 36] ; [13 11],[26.42857143 33.57142857] ; [10.57142857 13.42857143],0
b2,1,0.237399,1.395975,[24 36] ; [13 11],[26.42857143 33.57142857] ; [10.57142857 13.42857143],0
d2,1,0.290871,1.115587,[55 46] ; [14 18],[52.39849624 48.60150376] ; [16.60150376 15.39849624],0
a3,1,0.325947,0.964935,[69 33] ; [18 13],[66.72180451 35.27819549] ; [20.27819549 10.72180451],0
p12,1,0.329848,0.949494,[ 8 93] ; [ 1 32],[ 6.78358209 94.21641791] ; [ 2.21641791 30.78358209],0
v3,1,0.369732,0.804566,[33 59] ; [ 9 24],[30.912 61.088] ; [11.088 21.912],0
n1,1,0.417385,0.657667,[19 24] ; [10  8],[20.44262295 22.55737705] ; [8.55737705 9.44262295],0
a8,1,0.430608,0.621184,[ 7 91] ; [ 1 30],[ 6.07751938 91.92248062] ; [ 1.92248062 29.07751938],0
s4,1,0.462587,0.539629,[21 79] ; [ 5 28],[19.54887218 80.45112782] ; [ 6.45112782 26.54887218],0
b4,1,0.526068,0.401981,[62 40] ; [18 15],[60.44444444 41.55555556] ; [19.55555556 13.44444444],0
a4,1,0.55078,0.355922,[49 53] ; [13 18],[47.54887218 54.45112782] ; [14.45112782 16.54887218],0
p8,1,0.572398,0.318686,[13 89] ; [ 3 30],[12.08888889 89.91111111] ; [ 3.91111111 29.08888889],0
a6,1,0.594077,0.284021,[61 41] ; [18 15],[59.68888889 42.31111111] ; [19.31111111 13.68888889],0
p5,1,0.629452,0.232804,[ 4 95] ; [ 2 31],[ 4.5 94.5] ; [ 1.5 31.5],0
