Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,5.8e-05,16.174779,[ 7 21] ; [12  1],[12.97560976 15.02439024] ; [6.02439024 6.97560976],1
b3,1,5.8e-05,16.174779,[ 7 21] ; [12  1],[12.97560976 15.02439024] ; [6.02439024 6.97560976],1
p5,1,0.000259,13.34732,[ 3 56] ; [5 7],[ 6.64788732 52.35211268] ; [ 1.35211268 10.64788732],1
v3,1,0.001551,10.017422,[20 40] ; [8 1],[24.34782609 35.65217391] ; [3.65217391 5.34782609],0
a2,1,0.002331,9.268563,[12 48] ; [8 5],[16.43835616 43.56164384] ; [3.56164384 9.43835616],0
p12,1,0.004226,8.184241,[ 3 57] ; [4 9],[ 5.75342466 54.24657534] ; [ 1.24657534 11.75342466],0
s8,1,0.005145,7.827898,[30 30] ; [12  1],[34.52054795 25.47945205] ; [7.47945205 5.52054795],0
d1,1,0.005145,7.827898,[30 30] ; [12  1],[34.52054795 25.47945205] ; [7.47945205 5.52054795],0
p8,1,0.016485,5.750342,[20 40] ; [9 4],[23.83561644 36.16438356] ; [5.16438356 7.83561644],0
s3,1,0.020388,5.378347,[35 25] ; [12  1],[38.63013699 21.36986301] ; [8.36986301 4.63013699],0
v1,1,0.02334,5.143056,[31 29] ; [9 1],[34.28571429 25.71428571] ; [5.71428571 4.28571429],0
u1,1,0.031797,4.609415,[ 8 52] ; [5 8],[10.68493151 49.31506849] ; [ 2.31506849 10.68493151],0
v2,1,0.035584,4.416943,[26 33] ; [8 2],[29.07246377 29.92753623] ; [4.92753623 5.07246377],0
a4,1,0.036871,4.35635,[27 33] ; [10  3],[30.4109589 29.5890411] ; [6.5890411 6.4109589],0
p4,1,0.04789,3.913826,[33 27] ; [11  2],[36.16438356 23.83561644] ; [7.83561644 5.16438356],0
p3,1,0.054055,3.711005,[28 31] ; [10  3],[31.13888889 27.86111111] ; [6.86111111 6.13888889],0
a8,1,0.056201,3.646101,[ 5 52] ; [3 7],[ 6.80597015 50.19402985] ; [1.19402985 8.80597015],0
a5,1,0.064092,3.428196,[40 20] ; [12  1],[42.73972603 17.26027397] ; [9.26027397 3.73972603],0
d2,1,0.075152,3.166754,[35 25] ; [11  2],[37.80821918 22.19178082] ; [8.19178082 4.80821918],0
a6,1,0.096143,2.768387,[31 29] ; [10  3],[33.69863014 26.30136986] ; [7.30136986 5.69863014],0
s6,1,0.111379,2.53455,[42 17] ; [12  1],[44.25 14.75] ; [9.75 3.25],0
d3,1,0.120366,2.412547,[36 22] ; [11  2],[38.3943662 19.6056338] ; [8.6056338 4.3943662],0
s7,1,0.127546,2.322115,[35 21] ; [11  2],[37.33333333 18.66666667] ; [8.66666667 4.33333333],0
s2,1,0.13864,2.192992,[38 22] ; [11  2],[40.2739726 19.7260274] ; [8.7260274 4.2739726],0
n4,1,0.167511,1.90508,[39 21] ; [11  2],[41.09589041 18.90410959] ; [8.90410959 4.09589041],0
a1,1,0.19354,1.690465,[ 6 54] ; [ 3 10],[ 7.39726027 52.60273973] ; [ 1.60273973 11.39726027],0
s4,1,0.347985,0.880792,[11 49] ; [ 1 12],[ 9.8630137 50.1369863] ; [ 2.1369863 10.8630137],0
p6,1,0.359847,0.838426,[24 36] ; [7 6],[25.47945205 34.52054795] ; [5.52054795 7.47945205],0
s5,1,0.43762,0.602516,[28 29] ; [4 7],[26.82352941 30.17647059] ; [5.17647059 5.82352941],0
p7,1,0.440001,0.596281,[34 25] ; [9 4],[35.23611111 23.76388889] ; [7.76388889 5.23611111],0
d5,1,0.512416,0.42913,[45 14] ; [11  2],[45.88888889 13.11111111] ; [10.11111111  2.88888889],0
r1,1,0.529958,0.394473,[46 14] ; [11  2],[46.84931507 13.15068493] ; [10.15068493  2.84931507],0
p2,1,0.593074,0.285569,[46 13] ; [11  2],[46.70833333 12.29166667] ; [10.29166667  2.70833333],0
p1,1,0.664801,0.187744,[ 7 52] ; [ 1 12],[ 6.55555556 52.44444444] ; [ 1.44444444 11.55555556],0
s1,1,0.71023,0.138047,[ 3 56] ; [ 1 12],[ 3.27777778 55.72222222] ; [ 0.72222222 12.27777778],0
b5,1,0.74732,0.103797,[34 26] ; [8 5],[34.52054795 25.47945205] ; [7.47945205 5.52054795],0
a7,1,0.828483,0.046936,[39 20] ; [9 4],[39.33333333 19.66666667] ; [8.66666667 4.33333333],0
b4,1,0.852593,0.034525,[34 26] ; [7 6],[33.69863014 26.30136986] ; [7.30136986 5.69863014],0
