Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2e-05,18.208963,[331  56] ; [18 14],[322.34606205  64.65393795] ; [26.65393795  5.34606205],1
r3,1,8.9e-05,15.355102,[372  13] ; [27  6],[367.5  17.5] ; [31.5  1.5],1
d5,1,0.000179,14.035237,[322  65] ; [18 14],[314.03341289  72.96658711] ; [25.96658711  6.03341289],1
p7,1,0.002949,8.838907,[320  63] ; [20 12],[313.78313253  69.21686747] ; [26.21686747  5.78313253],0
s1,1,0.003455,8.550019,[ 10 376] ; [ 4 29],[ 12.8973747 373.1026253] ; [ 1.1026253 31.8973747],0
s3,1,0.004191,8.198989,[225 158] ; [10 21],[217.40338164 165.59661836] ; [17.59661836 13.40338164],0
p4,1,0.004969,7.890624,[294  94] ; [17 15],[287.3047619 100.6952381] ; [23.6952381  8.3047619],0
a3,1,0.013281,6.131311,[284 102] ; [17 15],[277.9569378 108.0430622] ; [23.0430622  8.9569378],0
n4,1,0.032401,4.577179,[318  70] ; [22 11],[313.34916865  74.65083135] ; [26.65083135  6.34916865],0
n6,1,0.04837,3.897074,[345  40] ; [25  7],[341.60671463  43.39328537] ; [28.39328537  3.60671463],0
r4,1,0.050891,3.811853,[364  24] ; [28  5],[361.27315914  26.72684086] ; [30.72684086  2.27315914],0
p11,1,0.056226,3.645338,[348  40] ; [26  7],[344.68408551  43.31591449] ; [29.31591449  3.68408551],0
d2,1,0.064854,3.408694,[187 201] ; [10 22],[181.99047619 206.00952381] ; [15.00952381 16.99047619],0
n5,1,0.072319,3.229583,[318  68] ; [23 10],[314.14319809  71.85680191] ; [26.85680191  6.14319809],0
d3,1,0.083369,2.997974,[275 113] ; [18 14],[270.67619048 117.32380952] ; [22.32380952  9.67619048],0
u1,1,0.089468,2.883921,[ 68 320] ; [ 2 31],[ 64.51306413 323.48693587] ; [ 5.48693587 27.51306413],0
s8,1,0.092051,2.83813,[204 181] ; [12 20],[199.42446043 185.57553957] ; [16.57553957 15.42446043],0
s7,1,0.097264,2.749841,[206 164] ; [12 18],[201.65 168.35] ; [16.35 13.65],0
r1,1,0.099424,2.714761,[324  62] ; [24  9],[320.59188544  65.40811456] ; [27.40811456  5.59188544],0
p10,1,0.142195,2.154039,[364  22] ; [29  4],[362.0477327  23.9522673] ; [30.9522673  2.0477327],0
a2,1,0.14249,2.150866,[ 90 298] ; [ 4 29],[ 86.63182898 301.36817102] ; [ 7.36817102 25.63182898],0
p3,1,0.151661,2.055467,[255 133] ; [17 15],[251.27619048 136.72380952] ; [20.72380952 11.27619048],0
d1,1,0.230179,1.439756,[241 147] ; [17 16],[237.77672209 150.22327791] ; [20.22327791 12.77672209],0
v4,1,0.254399,1.298981,[374  10] ; [31  2],[372.94964029  11.05035971] ; [32.05035971  0.94964029],0
r2,1,0.272818,1.202525,[363  18] ; [30  3],[361.67391304  19.32608696] ; [31.32608696  1.67391304],0
s6,1,0.273504,1.199088,[268 106] ; [20 12],[265.30049261 108.69950739] ; [22.69950739  9.30049261],0
a5,1,0.302048,1.065129,[301  87] ; [23 10],[298.60332542  89.39667458] ; [25.39667458  7.60332542],0
u2,1,0.331237,0.944056,[59 45] ; [7 9],[57.2 46.8] ; [8.8 7.2],0
b5,1,0.361274,0.833459,[220 168] ; [16 17],[217.50118765 170.49881235] ; [18.49881235 14.50118765],0
a8,1,0.437048,0.604022,[ 54 300] ; [ 3 27],[ 52.546875 301.453125] ; [ 4.453125 25.546875],0
a6,1,0.438035,0.601425,[256 131] ; [19 13],[253.99761337 133.00238663] ; [21.00238663 10.99761337],0
p5,1,0.447613,0.57669,[ 73 315] ; [ 8 25],[ 74.65083135 313.34916865] ; [ 6.34916865 26.65083135],0
u3,1,0.475511,0.50914,[54 48] ; [10  6],[55.3220339 46.6779661] ; [8.6779661 7.3220339],0
n2,1,0.500427,0.45403,[47 14] ; [7 1],[47.73913043 13.26086957] ; [6.26086957 1.73913043],0
p12,1,0.519672,0.414544,[ 44 342] ; [ 5 28],[ 45.14081146 340.85918854] ; [ 3.85918854 29.14081146],0
a1,1,0.52179,0.410354,[ 22 366] ; [ 1 32],[ 21.19714964 366.80285036] ; [ 1.80285036 31.19714964],0
n1,1,0.526406,0.401325,[23 37] ; [4 4],[23.82352941 36.17647059] ; [3.17647059 4.82352941],0
v2,1,0.531965,0.390636,[221 155] ; [20 11],[222.64373464 153.35626536] ; [18.35626536 12.64373464],0
s2,1,0.542878,0.370232,[202 183] ; [15 17],[200.34772182 184.65227818] ; [16.65227818 15.34772182],0
b2,1,0.549247,0.358667,[ 94 141] ; [ 7 14],[ 92.71484375 142.28515625] ; [ 8.28515625 12.71484375],0
b3,1,0.549247,0.358667,[ 94 141] ; [ 7 14],[ 92.71484375 142.28515625] ; [ 8.28515625 12.71484375],0
n3,1,0.592993,0.285694,[43 17] ; [5 3],[42.35294118 17.64705882] ; [5.64705882 2.35294118],0
p1,1,0.614679,0.253417,[ 47 340] ; [ 5 28],[ 47.91428571 339.08571429] ; [ 4.08571429 28.91428571],0
v1,1,0.637308,0.222281,[234 145] ; [19 14],[232.73543689 146.26456311] ; [20.26456311 12.73543689],0
b1,1,0.751918,0.099927,[140 248] ; [11 22],[139.16389549 248.83610451] ; [11.83610451 21.16389549],0
v3,1,0.812617,0.056193,[168 209] ; [14 19],[167.35121951 209.64878049] ; [14.64878049 18.35121951],0
a7,1,0.815423,0.054492,[286 101] ; [25  8],[286.56428571 100.43571429] ; [24.43571429  8.56428571],0
b4,1,0.854713,0.033529,[217 171] ; [19 14],[217.50118765 170.49881235] ; [18.49881235 14.50118765],0
s4,1,0.85923,0.031455,[ 65 318] ; [ 6 27],[ 65.36778846 317.63221154] ; [ 5.63221154 27.36778846],0
u4,1,0.877523,0.02375,[ 10 377] ; [ 1 32],[ 10.13571429 376.86428571] ; [ 0.86428571 32.13571429],0
p6,1,0.878598,0.023332,[193 192] ; [17 16],[193.42105263 191.57894737] ; [16.57894737 16.42105263],0
a4,1,0.894669,0.017529,[174 213] ; [14 18],[173.64200477 213.35799523] ; [14.35799523 17.64200477],0
s5,1,0.959099,0.00263,[149 222] ; [13 19],[149.13647643 221.86352357] ; [12.86352357 19.13647643],0
