Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.025347,5.0,[8 2] ; [1 4],[6. 4.] ; [3. 2.],0
s6,1,0.025347,5.0,[8 2] ; [1 4],[6. 4.] ; [3. 2.],0
d4,1,0.038989,4.261364,[9 1] ; [2 3],[7.33333333 2.66666667] ; [3.66666667 1.33333333],0
s3,1,0.038989,4.261364,[9 1] ; [2 3],[7.33333333 2.66666667] ; [3.66666667 1.33333333],0
a5,1,0.121335,2.4,[8 2] ; [2 3],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
a6,1,0.121335,2.4,[8 2] ; [2 3],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
a7,1,0.121335,2.4,[8 2] ; [2 3],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
p8,1,0.143235,2.142857,[4 6] ; [4 1],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
p10,1,0.170904,1.875,[9 1] ; [3 2],[8. 2.] ; [4. 1.],0
s7,1,0.170904,1.875,[9 1] ; [3 2],[8. 2.] ; [4. 1.],0
n4,1,0.170904,1.875,[9 1] ; [3 2],[8. 2.] ; [4. 1.],0
s2,1,0.263552,1.25,[7 3] ; [2 3],[6. 4.] ; [3. 2.],0
r1,1,0.438578,0.6,[6 4] ; [4 1],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
b4,1,0.438578,0.6,[6 4] ; [4 1],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
v1,1,0.438578,0.6,[4 6] ; [1 4],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
b1,1,0.464214,0.535714,[4 6] ; [3 2],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
n1,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
v3,1,0.480478,0.497778,[3 7] ; [2 2],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
p12,1,0.591208,0.288462,[1 9] ; [1 4],[1.33333333 8.66666667] ; [0.66666667 4.33333333],0
n5,1,0.591208,0.288462,[9 1] ; [4 1],[8.66666667 1.33333333] ; [4.33333333 0.66666667],0
r2,1,0.648807,0.207407,[8 1] ; [4 1],[7.71428571 1.28571429] ; [4.28571429 0.71428571],0
n2,1,0.657619,0.196429,[6 1] ; [3 1],[5.72727273 1.27272727] ; [3.27272727 0.72727273],0
d3,1,0.698535,0.15,[7 3] ; [3 2],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
b5,1,0.698535,0.15,[7 3] ; [3 2],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
a3,1,0.698535,0.15,[7 3] ; [3 2],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
u3,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
r4,1,0.714393,0.133929,[5 5] ; [3 2],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
p11,1,0.714393,0.133929,[5 5] ; [3 2],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
n3,1,0.77816,0.079365,[3 4] ; [1 2],[2.8 4.2] ; [1.2 1.8],0
v2,1,0.851596,0.035,[3 7] ; [1 3],[2.85714286 7.14285714] ; [1.14285714 2.85714286],0
p7,1,0.912637,0.012037,[2 7] ; [1 3],[2.07692308 6.92307692] ; [0.92307692 3.07692308],0
s4,1,1.0,0.0,[2 8] ; [1 4],[2. 8.] ; [1. 4.],0
p3,1,1.0,0.0,[4 6] ; [2 3],[4. 6.] ; [2. 3.],0
p4,1,1.0,0.0,[6 4] ; [3 2],[6. 4.] ; [3. 2.],0
p6,1,1.0,0.0,[4 6] ; [2 3],[4. 6.] ; [2. 3.],0
n6,1,1.0,0.0,[8 2] ; [4 1],[8. 2.] ; [4. 1.],0
b3,1,1.0,0.0,[3 6] ; [1 2],[3. 6.] ; [1. 2.],0
b2,1,1.0,0.0,[3 6] ; [1 2],[3. 6.] ; [1. 2.],0
p2,1,1.0,0.0,[8 2] ; [4 1],[8. 2.] ; [4. 1.],0
