Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.046358,3.968521,[8 5] ; [2 8],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
s6,1,0.060907,3.512525,[25  9] ; [13 13],[21.53333333 12.46666667] ; [16.46666667  9.53333333],0
n6,1,0.077278,3.121229,[29  4] ; [18  8],[26.28813559  6.71186441] ; [20.71186441  5.28813559],0
p11,1,0.113192,2.509075,[25  9] ; [14 12],[22.1 11.9] ; [16.9  9.1],0
n4,1,0.132545,2.262443,[23 11] ; [22  4],[25.5  8.5] ; [19.5  6.5],0
p5,1,0.142955,2.145864,[ 5 27] ; [ 1 25],[ 3.31034483 28.68965517] ; [ 2.68965517 23.31034483],0
u3,1,0.160958,1.965207,[9 4] ; [4 6],[7.34782609 5.65217391] ; [5.65217391 4.34782609],0
u1,1,0.165664,1.921746,[ 7 27] ; [ 2 24],[ 5.1 28.9] ; [ 3.9 22.1],0
p9,1,0.197213,1.662896,[25  9] ; [15 11],[22.66666667 11.33333333] ; [17.33333333  8.66666667],0
p8,1,0.201847,1.628959,[16 18] ; [ 8 18],[13.6 20.4] ; [10.4 15.6],0
p1,1,0.224067,1.47813,[ 2 32] ; [ 4 22],[ 3.4 30.6] ; [ 2.6 23.4],0
r3,1,0.224067,1.47813,[32  2] ; [22  4],[30.6  3.4] ; [23.4  2.6],0
b3,1,0.239918,1.381074,[11 12] ; [ 5 12],[ 9.2 13.8] ; [ 6.8 10.2],0
b2,1,0.239918,1.381074,[11 12] ; [ 5 12],[ 9.2 13.8] ; [ 6.8 10.2],0
a1,1,0.271455,1.209379,[ 4 30] ; [ 1 25],[ 2.83333333 31.16666667] ; [ 2.16666667 23.83333333],0
r2,1,0.271455,1.209379,[30  4] ; [25  1],[31.16666667  2.83333333] ; [23.83333333  2.16666667],0
r1,1,0.345009,0.891731,[26  8] ; [17  9],[24.36666667  9.63333333] ; [18.63333333  7.36666667],0
p6,1,0.357001,0.848416,[13 21] ; [ 7 19],[11.33333333 22.66666667] ; [ 8.66666667 17.33333333],0
d3,1,0.414062,0.667106,[18 16] ; [11 15],[16.43333333 17.56666667] ; [12.56666667 13.43333333],0
p7,1,0.414062,0.667106,[16 18] ; [15 11],[17.56666667 16.43333333] ; [13.43333333 12.56666667],0
s3,1,0.414062,0.667106,[16 18] ; [15 11],[17.56666667 16.43333333] ; [13.43333333 12.56666667],0
r4,1,0.422219,0.644131,[30  4] ; [21  5],[28.9  5.1] ; [22.1  3.9],0
v1,1,0.45195,0.565757,[15 16] ; [10 16],[13.59649123 17.40350877] ; [11.40350877 14.59649123],0
