Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.23568,1.40625,[1 1] ; [1 7],[0.4 1.6] ; [1.6 6.4],0
b2,1,0.345779,0.888889,[1 1] ; [1 5],[0.5 1.5] ; [1.5 4.5],0
b3,1,0.345779,0.888889,[1 1] ; [1 5],[0.5 1.5] ; [1.5 4.5],0
a4,1,0.490153,0.47619,[1 1] ; [2 6],[0.6 1.4] ; [2.4 5.6],0
a6,1,0.490153,0.47619,[1 1] ; [2 6],[0.6 1.4] ; [2.4 5.6],0
d5,1,0.490153,0.47619,[1 1] ; [6 2],[1.4 0.6] ; [5.6 2.4],0
u2,1,0.709388,0.138889,[1 1] ; [1 2],[0.8 1.2] ; [1.2 1.8],0
u3,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
b1,1,0.746886,0.104167,[1 1] ; [5 3],[1.2 0.8] ; [4.8 3.2],0
d4,1,0.746886,0.104167,[1 1] ; [5 3],[1.2 0.8] ; [4.8 3.2],0
p2,1,0.746886,0.104167,[1 1] ; [5 3],[1.2 0.8] ; [4.8 3.2],0
p11,1,0.746886,0.104167,[1 1] ; [3 5],[0.8 1.2] ; [3.2 4.8],0
p9,1,0.857714,0.032143,[1 1] ; [3 4],[0.88888889 1.11111111] ; [3.11111111 3.88888889],0
a5,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
d1,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
