Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.157299,2.0,[1 2] ; [7 2],[2. 1.] ; [6. 3.],0
p3,1,0.157299,2.0,[1 2] ; [7 2],[2. 1.] ; [6. 3.],0
n6,1,0.197121,1.66358,[1 1] ; [8 1],[1.63636364 0.36363636] ; [7.36363636 1.63636364],0
s8,1,0.200751,1.636905,[2 1] ; [2 6],[1.09090909 1.90909091] ; [2.90909091 5.09090909],0
v1,1,0.259796,1.269841,[1 2] ; [5 2],[1.8 1.2] ; [4.2 2.8],0
b1,1,0.310494,1.028571,[1 2] ; [6 3],[1.75 1.25] ; [5.25 3.75],0
s1,1,0.371093,0.8,[1 2] ; [1 8],[0.5 2.5] ; [1.5 7.5],0
n1,1,0.414216,0.666667,[2 1] ; [1 2],[1.5 1.5] ; [1.5 1.5],0
n3,1,0.414216,0.666667,[1 2] ; [2 1],[1.5 1.5] ; [1.5 1.5],0
s3,1,0.490153,0.47619,[2 1] ; [3 4],[1.5 1.5] ; [3.5 3.5],0
a4,1,0.504985,0.444444,[2 1] ; [4 5],[1.5 1.5] ; [4.5 4.5],0
r1,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
s7,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
p7,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
p8,1,0.700311,0.148148,[2 1] ; [7 2],[2.25 0.75] ; [6.75 2.25],0
b5,1,0.735317,0.114286,[2 1] ; [5 4],[1.75 1.25] ; [5.25 3.75],0
s6,1,0.77816,0.079365,[1 2] ; [3 4],[1.2 1.8] ; [2.8 4.2],0
v4,1,0.880303,0.022676,[2 1] ; [5 2],[2.1 0.9] ; [4.9 2.1],0
a3,1,1.0,0.0,[2 1] ; [6 3],[2. 1.] ; [6. 3.],0
a2,1,1.0,0.0,[1 2] ; [3 6],[1. 2.] ; [3. 6.],0
