Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
b3,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
s3,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
s7,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
s8,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
u1,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
s2,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
a2,1,0.635256,0.225,[3 3] ; [1 2],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
b4,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
a4,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
a6,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
a7,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
