Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,3.5e-05,17.136943,[2 4] ; [ 14 464],[0.19834711 5.80165289] ; [ 15.80165289 462.19834711],1
a8,1,0.007698,7.102315,[2 1] ; [ 58 374],[0.4137931 2.5862069] ; [ 59.5862069 372.4137931],0
b3,1,0.024805,5.037475,[5 1] ; [113 183],[2.34437086 3.65562914] ; [115.65562914 180.34437086],0
b2,1,0.024805,5.037475,[5 1] ; [113 183],[2.34437086 3.65562914] ; [115.65562914 180.34437086],0
p5,1,0.035836,4.404869,[2 3] ; [ 50 422],[0.54507338 4.45492662] ; [ 51.45492662 420.54507338],0
s8,1,0.041743,4.145597,[5 1] ; [199 275],[2.55 3.45] ; [201.45 272.55],0
d2,1,0.056075,3.649835,[5 1] ; [210 264],[2.6875 3.3125] ; [212.3125 261.6875],0
a2,1,0.068015,3.330277,[3 3] ; [ 95 383],[1.21487603 4.78512397] ; [ 96.78512397 381.21487603],0
s7,1,0.080841,3.047917,[5 1] ; [218 241],[2.87741935 3.12258065] ; [220.12258065 238.87741935],0
s3,1,0.151474,2.05734,[5 1] ; [251 214],[3.2611465 2.7388535] ; [252.7388535 212.2611465],0
a4,1,0.188073,1.73265,[4 2] ; [191 285],[2.42738589 3.57261411] ; [192.57261411 283.42738589],0
d1,1,0.20339,1.617862,[5 1] ; [275 203],[3.47107438 2.52892562] ; [276.52892562 201.47107438],0
p4,1,0.224699,1.474107,[5 1] ; [277 194],[3.54716981 2.45283019] ; [278.45283019 192.54716981],0
u1,1,0.273107,1.201075,[2 4] ; [ 79 399],[1.00413223 4.99586777] ; [ 79.99586777 398.00413223],0
p7,1,0.303902,1.056991,[5 1] ; [289 170],[3.79354839 2.20645161] ; [290.20645161 168.79354839],0
p3,1,0.315544,1.007328,[4 2] ; [219 256],[2.78170478 3.21829522] ; [220.21829522 254.78170478],0
s2,1,0.379531,0.77222,[4 2] ; [229 242],[2.93081761 3.06918239] ; [230.06918239 240.93081761],0
p6,1,0.403952,0.696531,[3 3] ; [158 310],[2.03797468 3.96202532] ; [158.96202532 309.03797468],0
p8,1,0.534877,0.385118,[4 2] ; [252 215],[3.24735729 2.75264271] ; [252.75264271 214.24735729],0
p12,1,0.556059,0.346574,[1 5] ; [ 45 427],[0.57740586 5.42259414] ; [ 45.42259414 426.57740586],0
a7,1,0.658614,0.195212,[4 2] ; [355 121],[4.46887967 1.53112033] ; [354.53112033 121.46887967],0
n4,1,0.709529,0.138748,[5 1] ; [366 110],[4.61825726 1.38174274] ; [366.38174274 109.61825726],0
b4,1,0.749549,0.10191,[4 2] ; [288 190],[3.61983471 2.38016529] ; [288.38016529 189.61983471],0
b5,1,0.764972,0.089376,[4 2] ; [290 188],[3.6446281 2.3553719] ; [290.3553719 187.6446281],0
r1,1,0.822386,0.05039,[5 1] ; [379  97],[4.78008299 1.21991701] ; [379.21991701  96.78008299],0
a6,1,0.861322,0.030517,[4 2] ; [333 143],[4.19502075 1.80497925] ; [332.80497925 143.19502075],0
d5,1,0.891007,0.018777,[5 1] ; [387  90],[4.86956522 1.13043478] ; [387.13043478  89.86956522],0
s5,1,0.961554,0.002324,[2 4] ; [158 303],[2.05567452 3.94432548] ; [157.94432548 303.05567452],0
