Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.20686,1.593266,[3 8] ; [2 1],[3.92857143 7.07142857] ; [1.07142857 1.92857143],0
a2,1,0.287495,1.131313,[ 1 10] ; [1 2],[1.57142857 9.42857143] ; [0.42857143 2.57142857],0
p4,1,0.310494,1.028571,[6 3] ; [1 2],[5.25 3.75] ; [1.75 1.25],0
v1,1,0.347153,0.883838,[7 4] ; [1 2],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
s8,1,0.416448,0.660317,[4 6] ; [2 1],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
b1,1,0.514828,0.424242,[6 5] ; [1 2],[5.5 5.5] ; [1.5 1.5],0
s1,1,0.57077,0.321396,[2 9] ; [1 2],[2.35714286 8.64285714] ; [0.64285714 2.35714286],0
p11,1,0.57077,0.321396,[9 2] ; [2 1],[8.64285714 2.35714286] ; [2.35714286 0.64285714],0
r1,1,0.57077,0.321396,[9 2] ; [2 1],[8.64285714 2.35714286] ; [2.35714286 0.64285714],0
s3,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
p3,1,0.611541,0.257937,[5 5] ; [1 2],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
s7,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
a3,1,0.706879,0.141414,[6 5] ; [2 1],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
b5,1,0.836813,0.042424,[8 3] ; [2 1],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
p9,1,0.836813,0.042424,[8 3] ; [2 1],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
p7,1,0.905581,0.014069,[6 5] ; [1 1],[5.92307692 5.07692308] ; [1.07692308 0.92307692],0
p10,1,0.912637,0.012037,[7 3] ; [2 1],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
p8,1,0.92265,0.009428,[7 4] ; [2 1],[7.07142857 3.92857143] ; [1.92857143 1.07142857],0
