Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.009195,6.784615,[4 2] ; [ 1 11],[1.66666667 4.33333333] ; [3.33333333 8.66666667],0
s4,1,0.033895,4.5,[4 2] ; [ 2 10],[2. 4.] ; [4. 8.],0
p2,1,0.0455,4.0,[5 1] ; [4 8],[3. 3.] ; [6. 6.],0
p8,1,0.057398,3.611014,[3 3] ; [ 1 10],[1.41176471 4.58823529] ; [2.58823529 8.41176471],0
v1,1,0.063716,3.437921,[5 1] ; [4 7],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
r4,1,0.087375,2.922078,[4 2] ; [3 9],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
s5,1,0.168843,1.893182,[3 2] ; [3 9],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
b1,1,0.17146,1.87013,[5 1] ; [6 6],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
r2,1,0.235246,1.408861,[5 1] ; [6 5],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
s6,1,0.252136,1.311429,[4 1] ; [6 6],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
p11,1,0.288844,1.125,[3 3] ; [9 3],[4. 2.] ; [8. 4.],0
p10,1,0.288844,1.125,[5 1] ; [7 5],[4. 2.] ; [8. 4.],0
d3,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
b5,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
s3,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
b3,1,0.402388,0.701178,[2 4] ; [6 5],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
b2,1,0.402388,0.701178,[2 4] ; [6 5],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
d4,1,0.422678,0.642857,[4 2] ; [10  2],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
d5,1,0.45675,0.553846,[5 1] ; [8 4],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
n4,1,0.494125,0.467532,[3 3] ; [8 4],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
s2,1,0.494125,0.467532,[3 3] ; [4 8],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
n5,1,0.502335,0.45,[4 2] ; [6 6],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
v2,1,0.502335,0.45,[4 2] ; [6 6],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
d2,1,0.502335,0.45,[4 2] ; [6 6],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
p5,1,0.595883,0.28125,[1 5] ; [ 1 11],[0.66666667 5.33333333] ; [ 1.33333333 10.66666667],0
n6,1,0.622252,0.242716,[5 1] ; [8 3],[4.58823529 1.41176471] ; [8.41176471 2.58823529],0
r3,1,0.6885,0.160714,[5 1] ; [9 3],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
a8,1,0.6885,0.160714,[1 5] ; [3 9],[1.33333333 4.66666667] ; [2.66666667 9.33333333],0
b4,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
a6,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
a7,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
v3,1,0.793258,0.068687,[2 3] ; [4 8],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
d1,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
r1,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
a4,1,1.0,0.0,[2 4] ; [4 8],[2. 4.] ; [4. 8.],0
a2,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
s8,1,1.0,0.0,[2 4] ; [4 8],[2. 4.] ; [4. 8.],0
p1,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
