Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.009634,6.701299,[27 16] ; [15 28],[21. 22.] ; [21. 22.],0
p3,1,0.012927,6.17912,[51 76] ; [28 84],[41.9790795 85.0209205] ; [37.0209205 74.9790795],0
r3,1,0.018227,5.574233,[95 33] ; [96 15],[102.29288703  25.70711297] ; [88.70711297 22.29288703],0
s5,1,0.01992,5.418882,[40 83] ; [21 89],[32.20171674 90.79828326] ; [28.79828326 81.20171674],0
s6,1,0.020471,5.371304,[73 52] ; [49 64],[64.07563025 60.92436975] ; [57.92436975 55.07563025],0
s2,1,0.029306,4.749573,[58 70] ; [35 76],[49.80753138 78.19246862] ; [43.19246862 67.80753138],0
a6,1,0.030441,4.684227,[65 63] ; [73 40],[73.29460581 54.70539419] ; [64.70539419 48.29460581],0
s7,1,0.04687,3.950053,[51 63] ; [35 75],[43.76785714 70.23214286] ; [42.23214286 67.76785714],0
p9,1,0.04782,3.916301,[64 59] ; [43 67],[56.48497854 66.51502146] ; [50.51502146 59.48497854],0
s8,1,0.078502,3.095644,[41 86] ; [25 88],[34.925 92.075] ; [31.075 81.925],0
r4,1,0.081654,3.031672,[85 44] ; [86 27],[91.15289256 37.84710744] ; [79.84710744 33.15289256],0
p8,1,0.10549,2.620517,[28 98] ; [35 76],[33.49367089 92.50632911] ; [29.50632911 81.49367089],0
n1,1,0.131884,2.270186,[24 29] ; [13 30],[20.42708333 32.57291667] ; [16.57291667 26.42708333],0
a1,1,0.168909,1.892598,[ 13 116] ; [  6 107],[ 10.12809917 118.87190083] ; [  8.87190083 104.12809917],0
s4,1,0.208892,1.579088,[ 26 102] ; [16 97],[ 22.30705394 105.69294606] ; [19.69294606 93.30705394],0
r2,1,0.221151,1.496885,[107  21] ; [98 12],[110.25210084  17.74789916] ; [94.74789916 15.25210084],0
n5,1,0.289735,1.120853,[79 49] ; [61 50],[74.9790795 53.0209205] ; [65.0209205 45.9790795],0
p4,1,0.291731,1.111616,[55 72] ; [41 71],[51.0125523 75.9874477] ; [44.9874477 67.0125523],0
v2,1,0.299066,1.078356,[47 80] ; [48 62],[50.907173 76.092827] ; [44.092827 65.907173],0
d5,1,0.315562,1.007254,[94 33] ; [77 36],[90.4875 36.5125] ; [80.5125 32.4875],0
n6,1,0.336063,0.925393,[79 48] ; [75 35],[82.52320675 44.47679325] ; [71.47679325 38.52320675],0
a7,1,0.358583,0.842851,[78 50] ; [74 37],[81.40585774 46.59414226] ; [70.59414226 40.40585774],0
p2,1,0.367304,0.812766,[76 51] ; [74 39],[79.375 47.625] ; [70.625 42.375],0
d3,1,0.379707,0.77165,[71 55] ; [70 43],[74.33472803 51.66527197] ; [66.66527197 46.33472803],0
u2,1,0.380564,0.768879,[21 21] ; [17 25],[19. 23.] ; [19. 23.],0
p6,1,0.396733,0.718207,[32 93] ; [23 87],[29.25531915 95.74468085] ; [25.74468085 84.25531915],0
p1,1,0.409814,0.67934,[ 13 115] ; [  8 104],[ 11.2 116.8] ; [  9.8 102.2],0
u1,1,0.430973,0.620199,[ 16 113] ; [18 95],[ 18.12396694 110.87603306] ; [15.87603306 97.12396694],0
p5,1,0.457788,0.551296,[  7 119] ; [  4 109],[  5.79916318 120.20083682] ; [  5.20083682 107.79916318],0
p7,1,0.466106,0.531192,[57 69] ; [45 66],[54.2278481 71.7721519] ; [47.7721519 63.2278481],0
r1,1,0.468719,0.524995,[85 44] ; [78 33],[87.6125 41.3875] ; [75.3875 35.6125],0
b5,1,0.476703,0.506396,[80 49] ; [65 48],[77.29338843 51.70661157] ; [67.70661157 45.29338843],0
n2,1,0.499402,0.456207,[32 22] ; [29 15],[33.6122449 20.3877551] ; [27.3877551 16.6122449],0
p12,1,0.501222,0.452348,[  4 123] ; [  2 110],[  3.18828452 123.81171548] ; [  2.81171548 109.18828452],0
n4,1,0.514155,0.425602,[82 47] ; [66 45],[79.55 49.45] ; [68.45 42.55],0
v1,1,0.532006,0.390559,[52 77] ; [40 70],[49.65690377 79.34309623] ; [42.34309623 67.65690377],0
b2,1,0.571956,0.319421,[20 50] ; [25 51],[21.57534247 48.42465753] ; [23.42465753 52.57534247],0
b3,1,0.571956,0.319421,[20 50] ; [25 51],[21.57534247 48.42465753] ; [23.42465753 52.57534247],0
a4,1,0.57609,0.312599,[56 72] ; [45 67],[53.86666667 74.13333333] ; [47.13333333 64.86666667],0
a2,1,0.627115,0.235993,[ 26 103] ; [20 93],[ 24.52066116 104.47933884] ; [21.47933884 91.52066116],0
v3,1,0.660622,0.192768,[38 87] ; [30 78],[36.4806867 88.5193133] ; [31.5193133 76.4806867],0
b4,1,0.670967,0.180473,[73 56] ; [67 46],[74.62809917 54.37190083] ; [65.37190083 47.62809917],0
a3,1,0.715889,0.132466,[85 44] ; [70 40],[83.66108787 45.33891213] ; [71.33891213 38.66108787],0
v4,1,0.718933,0.129518,[104  24] ; [93 19],[105.06666667  22.93333333] ; [91.93333333 20.06666667],0
a8,1,0.728329,0.120651,[ 13 108] ; [12 86],[ 13.81278539 107.18721461] ; [11.18721461 86.81278539],0
a5,1,0.744888,0.105877,[78 51] ; [66 47],[76.76033058 52.23966942] ; [67.23966942 45.76033058],0
d1,1,0.762357,0.091438,[58 71] ; [53 60],[59.16942149 69.83057851] ; [51.83057851 61.16942149],0
s1,1,0.824914,0.048942,[  9 118] ; [  7 103],[  8.57383966 118.42616034] ; [  7.42616034 102.57383966],0
d2,1,0.86813,0.027567,[66 61] ; [57 55],[65.35983264 61.64016736] ; [57.64016736 54.35983264],0
n3,1,0.890479,0.018961,[34 19] ; [27 16],[33.67708333 19.32291667] ; [27.32291667 15.67708333],0
s3,1,0.893969,0.017765,[61 67] ; [51 58],[60.48945148 67.51054852] ; [51.51054852 57.48945148],0
d4,1,0.983547,0.000425,[92 35] ; [81 31],[91.92887029 35.07112971] ; [81.07112971 30.92887029],0
