Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,84.527631,[49 62] ; [212  24],[83.48991354 27.51008646] ; [177.51008646  58.48991354],1
r2,1,0.0,39.096743,[78 30] ; [222  10],[95.29411765 12.70588235] ; [204.70588235  27.29411765],1
r3,1,0.0,28.457664,[80 30] ; [218  15],[95.56851312 14.43148688] ; [202.43148688  30.56851312],1
v4,1,1e-06,23.227952,[81 29] ; [215  17],[95.20467836 14.79532164] ; [200.79532164  31.20467836],1
d4,1,4e-06,21.108456,[66 45] ; [192  41],[83.25 27.75] ; [174.75  58.25],1
d1,1,3.7e-05,17.023257,[33 78] ; [126 110],[50.86167147 60.13832853] ; [108.13832853 127.86167147],1
a5,1,5.4e-05,16.312726,[49 62] ; [158  78],[66.21613833 44.78386167] ; [140.78386167  95.21613833],1
a7,1,6.3e-05,16.022147,[57 53] ; [173  62],[73.33333333 36.66666667] ; [156.66666667  78.33333333],1
v2,1,0.000342,12.823296,[33 76] ; [111 106],[48.14723926 60.85276074] ; [ 95.85276074 121.14723926],1
d3,1,0.000401,12.526359,[53 56] ; [161  74],[67.80813953 41.19186047] ; [146.19186047  88.80813953],1
a6,1,0.000658,11.605388,[56 55] ; [163  72],[70.25722543 40.74277457] ; [148.74277457  86.25722543],1
p2,1,0.000864,11.098832,[64 45] ; [180  56],[77.08985507 31.91014493] ; [166.91014493  69.08985507],1
u3,1,0.001961,9.586134,[14 37] ; [46 38],[22.66666667 28.33333333] ; [37.33333333 46.66666667],0
s3,1,0.001994,9.554617,[29 80] ; [101 128],[41.92307692 67.07692308] ; [ 88.07692308 140.92307692],0
a1,1,0.003242,8.666018,[ 10 101] ; [  5 231],[  4.79827089 106.20172911] ; [ 10.20172911 225.79827089],0
v1,1,0.004425,8.100719,[28 79] ; [ 98 134],[39.7699115 67.2300885] ; [ 86.2300885 145.7699115],0
d5,1,0.004845,7.936471,[66 44] ; [176  59],[77.15942029 32.84057971] ; [164.84057971  70.15942029],0
s6,1,0.006286,7.466425,[36 72] ; [114 118],[47.64705882 60.35294118] ; [102.35294118 129.64705882],0
p11,1,0.012271,6.271306,[65 46] ; [170  66],[75.17291066 35.82708934] ; [159.82708934  76.17291066],0
a2,1,0.013296,6.129352,[ 10 101] ; [ 46 190],[17.91354467 93.08645533] ; [ 38.08645533 197.91354467],0
b1,1,0.016206,5.780366,[49 62] ; [ 73 163],[39.0259366 71.9740634] ; [ 82.9740634 153.0259366],0
p7,1,0.032233,4.586071,[36 73] ; [102 123],[45.03592814 63.96407186] ; [ 92.96407186 132.03592814],0
u2,1,0.033098,4.540698,[18 33] ; [45 38],[23.97761194 27.02238806] ; [39.02238806 43.97761194],0
s2,1,0.057446,3.609631,[27 84] ; [ 80 152],[34.62682216 76.37317784] ; [ 72.37317784 159.62682216],0
s1,1,0.059588,3.548817,[  2 109] ; [ 15 214],[  5.55 105.45] ; [ 11.45 217.55],0
b3,1,0.066778,3.36049,[25 35] ; [34 87],[19.55801105 40.44198895] ; [39.44198895 81.55801105],0
b2,1,0.066778,3.36049,[25 35] ; [34 87],[19.55801105 40.44198895] ; [39.44198895 81.55801105],0
p10,1,0.069665,3.290888,[61 47] ; [154  77],[68.49557522 39.50442478] ; [146.50442478  84.49557522],0
a3,1,0.090017,2.874061,[60 50] ; [150  84],[67.15116279 42.84883721] ; [142.84883721  91.15116279],0
u1,1,0.114036,2.49738,[  6 105] ; [ 25 211],[  9.91642651 101.08357349] ; [ 21.08357349 214.91642651],0
p4,1,0.116721,2.460771,[26 84] ; [ 74 158],[32.16374269 77.83625731] ; [ 67.83625731 164.16374269],0
a4,1,0.131184,2.278439,[34 76] ; [ 92 142],[40.29069767 69.70930233] ; [ 85.70930233 148.29069767],0
s4,1,0.141575,2.160758,[20 91] ; [ 28 203],[15.57894737 95.42105263] ; [ 32.42105263 198.57894737],0
n4,1,0.156731,2.005486,[64 47] ; [154  81],[69.93641618 41.06358382] ; [148.06358382  86.93641618],0
v3,1,0.167812,1.902384,[23 87] ; [ 62 160],[28.1626506 81.8373494] ; [ 56.8373494 165.1626506],0
p8,1,0.168167,1.899209,[29 79] ; [ 79 151],[34.50887574 73.49112426] ; [ 73.49112426 156.50887574],0
s7,1,0.179704,1.800067,[16 91] ; [ 48 179],[20.50299401 86.49700599] ; [ 43.49700599 183.50299401],0
p5,1,0.253034,1.306476,[  6 103] ; [  7 228],[  4.11918605 104.88081395] ; [  8.88081395 226.11918605],0
s5,1,0.26659,1.234209,[16 93] ; [ 45 184],[19.67159763 89.32840237] ; [ 41.32840237 187.67159763],0
n6,1,0.30092,1.070111,[76 35] ; [172  61],[80.02325581 30.97674419] ; [167.97674419  65.02325581],0
p1,1,0.362021,0.830871,[  4 106] ; [ 14 220],[  5.75581395 104.24418605] ; [ 12.24418605 221.75581395],0
n3,1,0.475255,0.509731,[29 17] ; [52 23],[30.79338843 15.20661157] ; [50.20661157 24.79338843],0
p6,1,0.500932,0.452962,[16 92] ; [ 41 190],[18.15929204 89.84070796] ; [ 38.84070796 192.15929204],0
p12,1,0.59324,0.285313,[  3 107] ; [  9 224],[  3.8483965 106.1516035] ; [  8.1516035 224.8483965],0
