Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.176098,[15  2] ; [ 3 21],[7.46341463 9.53658537] ; [10.53658537 13.46341463],1
d5,1,9.9e-05,15.148404,[16  1] ; [ 8 16],[9.95121951 7.04878049] ; [14.04878049  9.95121951],1
d4,1,9.9e-05,15.148404,[16  1] ; [ 8 16],[9.95121951 7.04878049] ; [14.04878049  9.95121951],1
d2,1,0.069294,3.299663,[10  6] ; [ 8 16],[7.2 8.8] ; [10.8 13.2],0
a4,1,0.106927,2.599059,[9 7] ; [ 7 16],[6.56410256 9.43589744] ; [ 9.43589744 13.56410256],0
a5,1,0.115589,2.476088,[12  5] ; [11 13],[9.53658537 7.46341463] ; [13.46341463 10.53658537],0
r2,1,0.162587,1.95,[12  3] ; [14 10],[10.  5.] ; [16.  8.],0
p5,1,0.165746,1.921,[ 3 14] ; [ 1 22],[ 1.7 15.3] ; [ 2.3 20.7],0
u3,1,0.170904,1.875,[2 3] ; [1 9],[1. 4.] ; [2. 8.],0
b3,1,0.171188,1.872513,[ 4 10] ; [9 8],[5.87096774 8.12903226] ; [7.12903226 9.87096774],0
b2,1,0.171188,1.872513,[ 4 10] ; [9 8],[5.87096774 8.12903226] ; [7.12903226 9.87096774],0
n5,1,0.171205,1.872359,[11  6] ; [20  4],[12.85365854  4.14634146] ; [18.14634146  5.85365854],0
p11,1,0.175016,1.839449,[ 4 13] ; [ 2 22],[ 2.48780488 14.51219512] ; [ 3.51219512 20.48780488],0
p3,1,0.175016,1.839449,[ 4 13] ; [ 2 22],[ 2.48780488 14.51219512] ; [ 3.51219512 20.48780488],0
v2,1,0.194,1.686977,[ 4 13] ; [ 2 21],[ 2.55 14.45] ; [ 3.45 19.55],0
p10,1,0.196134,1.670929,[ 6 11] ; [ 4 19],[ 4.25 12.75] ; [ 5.75 17.25],0
n1,1,0.256299,1.288636,[5 6] ; [7 3],[6.28571429 4.71428571] ; [5.71428571 4.28571429],0
v3,1,0.264069,1.247296,[ 3 14] ; [ 8 16],[ 4.56097561 12.43902439] ; [ 6.43902439 17.56097561],0
n2,1,0.27874,1.173223,[4 7] ; [6 4],[5.23809524 5.76190476] ; [4.76190476 5.23809524],0
a7,1,0.278912,1.172386,[10  7] ; [10 14],[8.29268293 8.70731707] ; [11.70731707 12.29268293],0
a1,1,0.292091,1.10996,[ 2 15] ; [ 6 18],[ 3.31707317 13.68292683] ; [ 4.68292683 19.31707317],0
v4,1,0.326333,0.963395,[9 8] ; [ 9 15],[7.46341463 9.53658537] ; [10.53658537 13.46341463],0
p4,1,0.329114,0.952381,[ 3 13] ; [ 2 22],[ 2. 14.] ; [ 3. 21.],0
s8,1,0.35737,0.847115,[ 2 15] ; [ 1 23],[ 1.24390244 15.75609756] ; [ 1.75609756 22.24390244],0
p8,1,0.368126,0.809981,[ 5 12] ; [ 4 19],[ 3.825 13.175] ; [ 5.175 17.825],0
s4,1,0.36926,0.806155,[ 3 14] ; [ 2 22],[ 2.07317073 14.92682927] ; [ 2.92682927 21.07317073],0
r1,1,0.374753,0.787843,[8 9] ; [ 8 16],[ 6.63414634 10.36585366] ; [ 9.36585366 14.63414634],0
p1,1,0.447086,0.57803,[ 2 15] ; [ 5 19],[ 2.90243902 14.09756098] ; [ 4.09756098 19.90243902],0
s1,1,0.447086,0.57803,[ 2 15] ; [ 5 19],[ 2.90243902 14.09756098] ; [ 4.09756098 19.90243902],0
s3,1,0.45494,0.558314,[ 5 12] ; [ 4 17],[ 4.02631579 12.97368421] ; [ 4.97368421 16.02631579],0
s7,1,0.466551,0.530134,[ 3 11] ; [ 3 21],[ 2.21052632 11.78947368] ; [ 3.78947368 20.21052632],0
b4,1,0.499778,0.455408,[11  6] ; [13 11],[9.95121951 7.04878049] ; [14.04878049  9.95121951],0
p7,1,0.527677,0.398864,[ 3 12] ; [ 3 21],[ 2.30769231 12.69230769] ; [ 3.69230769 20.30769231],0
r4,1,0.645962,0.211029,[ 3 14] ; [ 3 21],[ 2.48780488 14.51219512] ; [ 3.51219512 20.48780488],0
a2,1,0.645962,0.211029,[ 3 14] ; [ 3 21],[ 2.48780488 14.51219512] ; [ 3.51219512 20.48780488],0
