Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.035015,4.444444,[4 1] ; [ 4 11],[2. 3.] ; [6. 9.],0
d2,1,0.04313,4.090297,[1 4] ; [12  5],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
d5,1,0.077598,3.11451,[1 4] ; [11  6],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
d4,1,0.123778,2.368852,[2 3] ; [13  4],[3.40909091 1.59090909] ; [11.59090909  5.40909091],0
s1,1,0.150164,2.070588,[2 3] ; [ 2 15],[0.90909091 4.09090909] ; [ 3.09090909 13.90909091],0
n5,1,0.150164,2.070588,[3 2] ; [15  2],[4.09090909 0.90909091] ; [13.90909091  3.09090909],0
s7,1,0.17753,1.818182,[1 3] ; [10  6],[2.2 1.8] ; [8.8 7.2],0
p11,1,0.193472,1.69098,[1 4] ; [9 8],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
s6,1,0.193472,1.69098,[1 4] ; [9 8],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
s2,1,0.211346,1.562185,[2 3] ; [12  5],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
b1,1,0.279353,1.170236,[4 1] ; [9 8],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
n4,1,0.294433,1.099239,[3 2] ; [14  3],[3.86363636 1.13636364] ; [13.13636364  3.86363636],0
p9,1,0.323296,0.975566,[2 3] ; [11  6],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
p4,1,0.323296,0.975566,[3 2] ; [ 6 11],[2.04545455 2.95454545] ; [ 6.95454545 10.04545455],0
p2,1,0.323296,0.975566,[2 3] ; [11  6],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
b5,1,0.386876,0.748739,[4 1] ; [10  7],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
a6,1,0.457438,0.552157,[2 3] ; [10  7],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
d3,1,0.457438,0.552157,[2 3] ; [10  7],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
n6,1,0.457438,0.552157,[2 3] ; [10  7],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
a7,1,0.457438,0.552157,[2 3] ; [10  7],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
a5,1,0.467267,0.528431,[3 2] ; [13  4],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
n1,1,0.52179,0.410354,[1 1] ; [8 3],[1.38461538 0.61538462] ; [7.61538462 3.38461538],0
r1,1,0.61093,0.258824,[2 3] ; [9 8],[2.5 2.5] ; [8.5 8.5],0
a3,1,0.677856,0.172549,[4 1] ; [12  5],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
n3,1,0.715388,0.132955,[1 1] ; [7 4],[1.23076923 0.76923077] ; [6.76923077 4.23076923],0
a4,1,0.780512,0.077647,[2 3] ; [8 9],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
b4,1,0.847516,0.036975,[3 2] ; [11  6],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
s4,1,0.868516,0.027405,[1 4] ; [ 4 13],[1.13636364 3.86363636] ; [ 3.86363636 13.13636364],0
p1,1,0.904552,0.014379,[1 4] ; [ 3 14],[0.90909091 4.09090909] ; [ 3.09090909 13.90909091],0
p3,1,0.962486,0.002212,[2 3] ; [ 7 10],[2.04545455 2.95454545] ; [ 6.95454545 10.04545455],0
