Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.291005,[211  41] ; [62 50],[189.  63.] ; [84. 28.],1
p7,1,1e-06,24.986551,[180  70] ; [50 62],[158.83977901  91.16022099] ; [71.16022099 40.83977901],1
p3,1,3e-06,22.049245,[146 107] ; [36 79],[125.125 127.875] ; [56.875 58.125],1
n4,1,1e-05,19.420141,[208  48] ; [68 46],[190.96216216  65.03783784] ; [85.03783784 28.96216216],1
n5,1,2e-05,18.204855,[203  53] ; [66 48],[186.11891892  69.88108108] ; [82.88108108 31.11891892],1
p4,1,2.8e-05,17.575092,[162  92] ; [46 68],[143.56521739 110.43478261] ; [64.43478261 49.56521739],1
p2,1,3.9e-05,16.919054,[208  44] ; [73 43],[192.42391304  59.57608696] ; [88.57608696 27.42391304],1
p8,1,0.000105,15.039696,[149 101] ; [43 71],[131.86813187 118.13186813] ; [60.13186813 53.86813187],1
p9,1,0.000619,11.71838,[207  45] ; [73 38],[194.38016529  57.61983471] ; [85.61983471 25.38016529],1
r3,1,0.00268,9.013509,[240  14] ; [97 17],[232.60326087  21.39673913] ; [104.39673913   9.60326087],0
s8,1,0.002873,8.886613,[118 135] ; [35 81],[104.90243902 148.09756098] ; [48.09756098 67.90243902],0
u3,1,0.002935,8.847578,[43 24] ; [16 29],[35.29464286 31.70535714] ; [23.70535714 21.29464286],0
p6,1,0.00731,7.195186,[105 144] ; [31 82],[ 93.54696133 155.45303867] ; [42.45303867 70.54696133],0
u2,1,0.007351,7.185113,[42 24] ; [17 28],[35.08108108 30.91891892] ; [23.91891892 21.08108108],0
a5,1,0.008198,6.989779,[197  59] ; [74 42],[186.49462366  69.50537634] ; [84.50537634 31.49462366],0
n6,1,0.011625,6.367193,[204  52] ; [77 37],[194.42162162  61.57837838] ; [86.57837838 27.42162162],0
v4,1,0.01608,5.79408,[238  16] ; [99 16],[231.97289973  22.02710027] ; [105.02710027   9.97289973],0
v1,1,0.01787,5.60886,[136 113] ; [47 67],[125.52892562 123.47107438] ; [57.47107438 56.52892562],0
r4,1,0.019849,5.425096,[223  33] ; [90 26],[215.39784946  40.60215054] ; [97.60215054 18.39784946],0
s7,1,0.024372,5.067955,[116 127] ; [38 71],[106.3125 136.6875] ; [47.6875 61.3125],0
a3,1,0.024519,5.057514,[189  66] ; [70 42],[179.95912807  75.04087193] ; [79.04087193 32.95912807],0
p12,1,0.043903,4.060296,[ 17 234] ; [  2 113],[ 13.03005464 237.96994536] ; [  5.96994536 109.03005464],0
s1,1,0.048191,3.903311,[  8 245] ; [  9 106],[ 11.6875 241.3125] ; [  5.3125 109.6875],0
n1,1,0.053444,3.729984,[24 20] ; [15 29],[19.5 24.5] ; [19.5 24.5],0
a7,1,0.058478,3.580036,[163  92] ; [85 30],[170.91891892  84.08108108] ; [77.08108108 37.91891892],0
p5,1,0.067576,3.340937,[ 37 216] ; [  9 106],[ 31.625 221.375] ; [ 14.375 100.625],0
s4,1,0.081602,3.032705,[ 36 216] ; [25 91],[ 41.77173913 210.22826087] ; [19.22826087 96.77173913],0
n3,1,0.090224,2.870366,[34 10] ; [26 17],[30.34482759 13.65517241] ; [29.65517241 13.34482759],0
s6,1,0.095835,2.773524,[155  92] ; [61 53],[147.78947368  99.21052632] ; [68.21052632 45.78947368],0
b5,1,0.099792,2.708866,[140 116] ; [74 42],[147.2688172 108.7311828] ; [66.7311828 49.2688172],0
d3,1,0.103335,2.653305,[161  95] ; [83 33],[167.91397849  88.08602151] ; [76.08602151 39.91397849],0
s3,1,0.16281,1.947927,[143 108] ; [56 58],[136.84657534 114.15342466] ; [62.15342466 51.84657534],0
r1,1,0.173999,1.848147,[200  55] ; [82 32],[194.87804878  60.12195122] ; [87.12195122 26.87804878],0
a4,1,0.188235,1.73138,[123 132] ; [47 68],[117.16216216 137.83783784] ; [52.83783784 62.16216216],0
s5,1,0.203323,1.618345,[ 78 168] ; [27 81],[ 72.96610169 173.03389831] ; [32.03389831 75.96610169],0
a1,1,0.216512,1.527338,[ 17 239] ; [  4 112],[ 14.4516129 241.5483871] ; [  6.5483871 109.4516129],0
s2,1,0.260234,1.26751,[125 128] ; [50 66],[119.98644986 133.01355014] ; [55.01355014 60.98644986],0
a8,1,0.277614,1.178735,[ 34 205] ; [10 91],[ 30.92941176 208.07058824] ; [13.07058824 87.92941176],0
b4,1,0.431615,0.618473,[148 108] ; [62 54],[144.51612903 111.48387097] ; [65.48387097 50.51612903],0
v3,1,0.43714,0.603779,[ 96 155] ; [37 72],[ 92.73055556 158.26944444] ; [40.26944444 68.73055556],0
v2,1,0.454095,0.560411,[132 111] ; [54 54],[128.76923077 114.23076923] ; [57.23076923 50.76923077],0
r2,1,0.465364,0.532962,[229  24] ; [104   8],[230.81917808  22.18082192] ; [102.18082192   9.81917808],0
d4,1,0.477051,0.505598,[206  49] ; [90 26],[203.45013477  51.54986523] ; [92.54986523 23.45013477],0
n2,1,0.480177,0.498462,[34 11] ; [31 14],[32.5 12.5] ; [32.5 12.5],0
d2,1,0.527994,0.398251,[126 130] ; [53 63],[123.1827957 132.8172043] ; [55.8172043 60.1827957],0
u1,1,0.616696,0.250539,[ 41 215] ; [21 95],[ 42.66666667 213.33333333] ; [19.33333333 96.66666667],0
p1,1,0.734104,0.115377,[ 20 233] ; [  8 108],[ 19.19783198 233.80216802] ; [  8.80216802 107.19783198],0
a6,1,0.753707,0.098442,[165  90] ; [77 39],[166.33423181  88.66576819] ; [75.66576819 40.33423181],0
d5,1,0.758456,0.094562,[195  60] ; [87 29],[193.82749326  61.17250674] ; [88.17250674 27.82749326],0
b3,1,0.822229,0.05048,[ 57 105] ; [21 36],[ 57.69863014 104.30136986] ; [20.30136986 36.69863014],0
b2,1,0.822229,0.05048,[ 57 105] ; [21 36],[ 57.69863014 104.30136986] ; [20.30136986 36.69863014],0
d1,1,0.901675,0.015263,[143 113] ; [64 52],[142.4516129 113.5483871] ; [64.5483871 51.4516129],0
a2,1,0.948268,0.00421,[ 61 195] ; [28 88],[ 61.24731183 194.75268817] ; [27.75268817 88.24731183],0
