Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.001984,9.564431,[  4 100] ; [2 4],[ 5.67272727 98.32727273] ; [0.32727273 5.67272727],0
b2,1,0.003593,8.478697,[21 48] ; [6 1],[24.51315789 44.48684211] ; [2.48684211 4.51315789],0
b3,1,0.003593,8.478697,[21 48] ; [6 1],[24.51315789 44.48684211] ; [2.48684211 4.51315789],0
a2,1,0.003677,8.436668,[15 89] ; [4 3],[17.8018018 86.1981982] ; [1.1981982 5.8018018],0
v3,1,0.004569,8.042788,[29 74] ; [5 1],[32.12844037 70.87155963] ; [1.87155963 4.12844037],0
a1,1,0.012291,6.268338,[ 5 99] ; [2 5],[ 6.55855856 97.44144144] ; [0.44144144 6.55855856],0
s8,1,0.02006,5.406644,[30 73] ; [5 2],[32.77272727 70.22727273] ; [2.22727273 4.77272727],0
u1,1,0.026868,4.899283,[13 91] ; [3 4],[14.99099099 89.00900901] ; [1.00900901 5.99099099],0
s7,1,0.033979,4.495771,[32 68] ; [5 2],[34.57943925 65.42056075] ; [2.42056075 4.57943925],0
d1,1,0.037744,4.3165,[47 57] ; [6 1],[49.65765766 54.34234234] ; [3.34234234 3.65765766],0
d2,1,0.056964,3.623641,[50 53] ; [6 1],[52.43636364 50.56363636] ; [3.56363636 3.43636364],0
a8,1,0.065187,3.400247,[14 79] ; [2 2],[15.34020619 77.65979381] ; [0.65979381 3.34020619],0
v2,1,0.079744,3.070116,[47 54] ; [5 1],[49.08411215 51.91588785] ; [2.91588785 3.08411215],0
p4,1,0.096141,2.768422,[41 63] ; [5 2],[43.0990991 60.9009009] ; [2.9009009 4.0990991],0
p3,1,0.101141,2.687462,[29 75] ; [4 3],[30.91891892 73.08108108] ; [2.08108108 4.91891892],0
a4,1,0.107609,2.588992,[42 62] ; [5 2],[44.03603604 59.96396396] ; [2.96396396 4.03603604],0
p12,1,0.119836,2.419465,[  3 100] ; [1 6],[ 3.74545455 99.25454545] ; [0.25454545 6.74545455],0
s3,1,0.145503,2.118769,[44 58] ; [5 2],[45.85321101 56.14678899] ; [3.14678899 3.85321101],0
s2,1,0.200978,1.63525,[34 68] ; [4 3],[35.55963303 66.44036697] ; [2.44036697 4.55963303],0
p8,1,0.245966,1.346072,[36 66] ; [4 3],[37.43119266 64.56880734] ; [2.56880734 4.43119266],0
p7,1,0.26175,1.259476,[51 52] ; [5 2],[52.43636364 50.56363636] ; [3.56363636 3.43636364],0
n4,1,0.289337,1.122706,[69 35] ; [6 1],[70.27027027 33.72972973] ; [4.72972973 2.27027027],0
d5,1,0.310336,1.029247,[70 34] ; [6 1],[71.20720721 32.79279279] ; [4.79279279 2.20720721],0
r1,1,0.461318,0.542694,[76 28] ; [6 1],[76.82882883 27.17117117] ; [5.17117117 1.82882883],0
p2,1,0.461318,0.542694,[76 28] ; [6 1],[76.82882883 27.17117117] ; [5.17117117 1.82882883],0
p6,1,0.491058,0.474207,[31 71] ; [3 4],[31.81651376 70.18348624] ; [2.18348624 4.81651376],0
a7,1,0.523577,0.406842,[61 42] ; [5 2],[61.8 41.2] ; [4.2 2.8],0
a6,1,0.536254,0.382526,[62 42] ; [5 2],[62.77477477 41.22522523] ; [4.22522523 2.77477477],0
b5,1,0.601496,0.272746,[64 40] ; [5 2],[64.64864865 39.35135135] ; [4.35135135 2.64864865],0
b4,1,0.707059,0.141233,[67 37] ; [5 2],[67.45945946 36.54054054] ; [4.54054054 2.45945946],0
s5,1,0.785142,0.074324,[24 76] ; [2 5],[24.29906542 75.70093458] ; [1.70093458 5.29906542],0
