Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-05,19.521412,[52 10] ; [10 17],[43.19101124 18.80898876] ; [18.80898876  8.19101124],1
p10,1,0.000453,12.301075,[53  9] ; [13 13],[46.5 15.5] ; [19.5  6.5],1
p11,1,0.000481,12.187435,[52 10] ; [13 14],[45.28089888 16.71910112] ; [19.71910112  7.28089888],1
n6,1,0.002948,8.839547,[56  5] ; [18  9],[51.29545455  9.70454545] ; [22.70454545  4.29545455],0
p9,1,0.006132,7.511072,[56  6] ; [18  9],[51.5505618 10.4494382] ; [22.4494382  4.5505618],0
v2,1,0.047312,3.934264,[32 29] ; [ 8 19],[27.72727273 33.27272727] ; [12.27272727 14.72727273],0
u3,1,0.072285,3.230359,[ 8 15] ; [8 4],[10.51428571 12.48571429] ; [5.48571429 6.51428571],0
p4,1,0.079707,3.070872,[48 14] ; [16 11],[44.58426966 17.41573034] ; [19.41573034  7.58426966],0
v1,1,0.083579,2.993888,[37 24] ; [11 16],[33.27272727 27.72727273] ; [14.72727273 12.27272727],0
s5,1,0.087266,2.9241,[14 42] ; [11 14],[17.28395062 38.71604938] ; [ 7.71604938 17.28395062],0
v3,1,0.091338,2.850633,[23 38] ; [ 5 21],[19.63218391 41.36781609] ; [ 8.36781609 17.63218391],0
s1,1,0.137507,2.205632,[ 2 60] ; [ 3 24],[ 3.48314607 58.51685393] ; [ 1.51685393 25.48314607],0
s4,1,0.144931,2.124812,[10 52] ; [ 8 19],[12.53932584 49.46067416] ; [ 5.46067416 21.53932584],0
r3,1,0.151108,2.061026,[57  5] ; [22  5],[55.03370787  6.96629213] ; [23.96629213  3.03370787],0
p8,1,0.17272,1.859173,[35 27] ; [11 16],[32.04494382 29.95505618] ; [13.95505618 13.04494382],0
b1,1,0.235995,1.404362,[26 36] ; [15 12],[28.56179775 33.43820225] ; [12.43820225 14.56179775],0
d2,1,0.294455,1.099141,[20 41] ; [12 15],[22.18181818 38.81818182] ; [ 9.81818182 17.18181818],0
u2,1,0.33068,0.946233,[ 9 13] ; [7 5],[10.35294118 11.64705882] ; [5.64705882 6.35294118],0
r4,1,0.354328,0.857896,[43 19] ; [16 11],[41.1011236 20.8988764] ; [17.8988764  9.1011236],0
d5,1,0.376291,0.782785,[49 13] ; [19  8],[47.37078652 14.62921348] ; [20.62921348  6.37078652],0
a6,1,0.406221,0.689833,[38 24] ; [14 13],[36.2247191 25.7752809] ; [15.7752809 11.2247191],0
p5,1,0.412963,0.670253,[11 50] ; [ 3 24],[ 9.70454545 51.29545455] ; [ 4.29545455 22.70454545],0
p6,1,0.43412,0.611776,[28 34] ; [ 9 16],[26.36781609 35.63218391] ; [10.63218391 14.36781609],0
a1,1,0.452844,0.563523,[ 4 58] ; [ 3 24],[ 4.87640449 57.12359551] ; [ 2.12359551 24.87640449],0
n2,1,0.477968,0.503497,[9 4] ; [9 2],[9.75 3.25] ; [8.25 2.75],0
s3,1,0.487169,0.482774,[36 26] ; [13 13],[34.52272727 27.47727273] ; [14.47727273 11.52272727],0
a3,1,0.514165,0.425582,[39 23] ; [15 12],[37.61797753 24.38202247] ; [16.38202247 10.61797753],0
s2,1,0.534059,0.386662,[30 32] ; [15 12],[31.34831461 30.65168539] ; [13.65168539 13.34831461],0
v4,1,0.537766,0.379696,[52 10] ; [24  3],[52.94382022  9.05617978] ; [23.05617978  3.94382022],0
d3,1,0.566657,0.328309,[35 27] ; [17 10],[36.2247191 25.7752809] ; [15.7752809 11.2247191],0
p12,1,0.604774,0.267856,[ 4 58] ; [ 1 26],[ 3.48314607 58.51685393] ; [ 1.51685393 25.48314607],0
p2,1,0.621097,0.244329,[51 11] ; [21  6],[50.15730337 11.84269663] ; [21.84269663  5.15730337],0
n1,1,0.627867,0.234965,[6 7] ; [4 7],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
p1,1,0.633535,0.227298,[ 9 53] ; [ 5 22],[ 9.75280899 52.24719101] ; [ 4.24719101 22.75280899],0
s7,1,0.636906,0.222812,[30 28] ; [12 14],[29. 29.] ; [13. 13.],0
a7,1,0.636921,0.222791,[40 22] ; [16 11],[39.01123596 22.98876404] ; [16.98876404 10.01123596],0
a5,1,0.636921,0.222791,[40 22] ; [16 11],[39.01123596 22.98876404] ; [16.98876404 10.01123596],0
p7,1,0.652654,0.20257,[43 19] ; [20  7],[43.88764045 18.11235955] ; [19.11235955  7.88764045],0
s6,1,0.717113,0.131276,[38 22] ; [16 11],[37.24137931 22.75862069] ; [16.75862069 10.24137931],0
d4,1,0.718588,0.129849,[46 16] ; [21  6],[46.6741573 15.3258427] ; [20.3258427  6.6741573],0
r2,1,0.72406,0.124636,[52 10] ; [21  5],[51.43181818 10.56818182] ; [21.56818182  4.43181818],0
b3,1,0.72656,0.122294,[14 27] ; [ 5 12],[13.43103448 27.56896552] ; [ 5.56896552 11.43103448],0
b2,1,0.72656,0.122294,[14 27] ; [ 5 12],[13.43103448 27.56896552] ; [ 5.56896552 11.43103448],0
s8,1,0.805549,0.060601,[27 35] ; [11 16],[26.47191011 35.52808989] ; [11.52808989 15.47191011],0
u1,1,0.812198,0.05645,[ 3 59] ; [ 1 26],[ 2.78651685 59.21348315] ; [ 1.21348315 25.78651685],0
b4,1,0.825884,0.048393,[36 26] ; [15 12],[35.52808989 26.47191011] ; [15.47191011 11.52808989],0
n3,1,0.851054,0.035259,[9 4] ; [8 3],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
b5,1,0.881318,0.02229,[38 24] ; [17 10],[38.31460674 23.68539326] ; [16.68539326 10.31460674],0
d1,1,0.904987,0.014248,[29 33] ; [13 14],[29.25842697 32.74157303] ; [12.74157303 14.25842697],0
a4,1,0.96066,0.002433,[21 41] ; [ 9 18],[20.8988764 41.1011236] ; [ 9.1011236 17.8988764],0
a2,1,0.980365,0.000606,[ 7 55] ; [ 3 24],[ 6.96629213 55.03370787] ; [ 3.03370787 23.96629213],0
