Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,70.104615,[ 18 132] ; [71 46],[ 50. 100.] ; [39. 78.],1
n4,1,2.1e-05,18.072935,[93 57] ; [100  17],[108.42696629  41.57303371] ; [84.57303371 32.42696629],1
p6,1,5.9e-05,16.139655,[ 14 136] ; [33 84],[ 26.40449438 123.59550562] ; [20.59550562 96.40449438],1
s6,1,0.000204,13.794595,[78 70] ; [87 29],[92.5 55.5] ; [72.5 43.5],1
s7,1,0.00039,12.577865,[ 46 103] ; [58 52],[59.83011583 89.16988417] ; [44.16988417 65.83011583],1
s8,1,0.00063,11.684554,[ 43 107] ; [57 59],[56.39097744 93.60902256] ; [43.60902256 72.39097744],1
d2,1,0.001395,10.211976,[56 93] ; [67 50],[68.89849624 80.10150376] ; [54.10150376 62.89849624],0
n5,1,0.002555,9.100652,[96 53] ; [95 22],[106.9887218  42.0112782] ; [84.0112782 32.9887218],0
d1,1,0.00505,7.861425,[69 81] ; [74 43],[80.33707865 69.66292135] ; [62.66292135 54.33707865],0
s2,1,0.005453,7.722693,[60 88] ; [67 49],[71.1969697 76.8030303] ; [55.8030303 60.1969697],0
n6,1,0.006425,7.427053,[113  36] ; [104  13],[121.55263158  27.44736842] ; [95.44736842 21.55263158],0
d5,1,0.00775,7.090255,[103  47] ; [97 20],[112.35955056  37.64044944] ; [87.64044944 29.35955056],0
p8,1,0.011716,6.353299,[ 33 116] ; [42 74],[ 42.16981132 106.83018868] ; [32.83018868 83.16981132],0
p2,1,0.01275,6.20352,[103  47] ; [96 21],[111.79775281  38.20224719] ; [87.20224719 29.79775281],0
p5,1,0.013121,6.152772,[  6 143] ; [ 14 101],[ 11.28787879 137.71212121] ; [  8.71212121 106.28787879],0
v4,1,0.037952,4.307178,[135  15] ; [113   4],[139.3258427  10.6741573] ; [108.6741573   8.3258427],0
u3,1,0.042768,4.104566,[28 29] ; [26 11],[32.74468085 24.25531915] ; [21.25531915 15.74468085],0
v1,1,0.043532,4.07461,[63 83] ; [62 49],[71.01167315 74.98832685] ; [53.98832685 57.01167315],0
a1,1,0.044229,4.047781,[  8 142] ; [  1 116],[  5.05617978 144.94382022] ; [  3.94382022 113.05617978],0
u2,1,0.044965,4.019962,[26 30] ; [25 12],[30.70967742 25.29032258] ; [20.29032258 16.70967742],0
a4,1,0.046908,3.948672,[57 92] ; [59 58],[64.97744361 84.02255639] ; [51.02255639 65.97744361],0
s1,1,0.049399,3.861745,[  3 145] ; [  8 108],[  6.16666667 141.83333333] ; [  4.83333333 111.16666667],0
d3,1,0.054244,3.705177,[88 62] ; [82 35],[95.50561798 54.49438202] ; [74.49438202 42.50561798],0
p12,1,0.055386,3.670438,[  9 140] ; [ 15 102],[ 13.44360902 135.55639098] ; [ 10.55639098 106.44360902],0
n2,1,0.055832,3.65706,[40  9] ; [18 11],[36.43589744 12.56410256] ; [21.56410256  7.43589744],0
a5,1,0.081425,3.036228,[98 52] ; [88 29],[104.49438202  45.50561798] ; [81.50561798 35.49438202],0
u1,1,0.086377,2.940628,[ 17 133] ; [22 95],[ 21.91011236 128.08988764] ; [17.08988764 99.91011236],0
s5,1,0.086584,2.936765,[ 30 111] ; [33 74],[ 35.81854839 105.18145161] ; [27.18145161 79.81854839],0
n1,1,0.089297,2.887001,[19 30] ; [17 12],[22.61538462 26.38461538] ; [13.38461538 15.61538462],0
r4,1,0.117595,2.449068,[123  27] ; [104  13],[127.52808989  22.47191011] ; [99.47191011 17.52808989],0
v2,1,0.186662,1.743771,[64 75] ; [62 52],[69.22529644 69.77470356] ; [56.77470356 57.22529644],0
p10,1,0.222715,1.486792,[124  26] ; [103  14],[127.52808989  22.47191011] ; [99.47191011 17.52808989],0
b1,1,0.244191,1.356236,[ 45 105] ; [43 74],[ 49.43820225 100.56179775] ; [38.56179775 78.43820225],0
a3,1,0.311621,1.023792,[93 56] ; [80 37],[96.90601504 52.09398496] ; [76.09398496 40.90601504],0
r1,1,0.329201,0.952037,[103  47] ; [86 30],[106.57894737  43.42105263] ; [82.42105263 33.57894737],0
s3,1,0.355487,0.853772,[72 75] ; [64 53],[75.72727273 71.27272727] ; [60.27272727 56.72727273],0
b3,1,0.389052,0.741902,[30 41] ; [25 46],[27.5 43.5] ; [27.5 43.5],0
b2,1,0.389052,0.741902,[30 41] ; [25 46],[27.5 43.5] ; [27.5 43.5],0
b4,1,0.401706,0.703213,[96 54] ; [69 48],[92.69662921 57.30337079] ; [72.30337079 44.69662921],0
a8,1,0.425075,0.636242,[ 13 128] ; [13 92],[ 14.90243902 126.09756098] ; [11.09756098 93.90243902],0
d4,1,0.441699,0.591866,[116  34] ; [95 22],[118.53932584  31.46067416] ; [92.46067416 24.53932584],0
u4,1,0.471578,0.518276,[  3 147] ; [  4 113],[  3.93258427 146.06741573] ; [  3.06741573 113.93258427],0
s4,1,0.50496,0.444497,[ 25 124] ; [ 16 100],[ 23.05283019 125.94716981] ; [17.94716981 98.05283019],0
a2,1,0.527656,0.398903,[ 25 125] ; [23 94],[ 26.96629213 123.03370787] ; [21.03370787 95.96629213],0
v3,1,0.627974,0.234818,[44 99] ; [37 73],[45.7826087 97.2173913] ; [35.2173913 74.7826087],0
a6,1,0.661794,0.191352,[100  50] ; [75 42],[98.31460674 51.68539326] ; [76.68539326 40.31460674],0
r3,1,0.708893,0.139385,[137  12] ; [109   8],[137.79699248  11.20300752] ; [108.20300752   8.79699248],0
a7,1,0.748969,0.1024,[105  45] ; [84 33],[106.17977528  43.82022472] ; [82.82022472 34.17977528],0
p1,1,0.834954,0.043411,[ 13 137] ; [ 11 106],[ 13.48314607 136.51685393] ; [ 10.51685393 106.48314607],0
p11,1,0.881911,0.022066,[114  36] ; [88 29],[113.48314607  36.51685393] ; [88.51685393 28.48314607],0
r2,1,0.890898,0.018815,[139  11] ; [108   8],[139.28571429  10.71428571] ; [107.71428571   8.28571429],0
b5,1,0.908969,0.013073,[99 51] ; [78 39],[99.43820225 50.56179775] ; [77.56179775 39.43820225],0
n3,1,0.968852,0.001525,[34 15] ; [20  9],[33.92307692 15.07692308] ; [20.07692308  8.92307692],0
