Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,1.5e-05,18.800636,[20 50] ; [12  1],[26.98795181 43.01204819] ; [5.01204819 7.98795181],1
b3,1,1.5e-05,18.800636,[20 50] ; [12  1],[26.98795181 43.01204819] ; [5.01204819 7.98795181],1
s8,1,2.1e-05,18.060641,[41 86] ; [12  1],[48.07857143 78.92142857] ; [4.92142857 8.07857143],1
p5,1,2.2e-05,17.99537,[  7 119] ; [5 7],[ 10.95652174 115.04347826] ; [ 1.04347826 10.95652174],1
p12,1,4.4e-05,16.697318,[  4 123] ; [4 9],[  7.25714286 119.74285714] ; [ 0.74285714 12.25714286],1
p8,1,0.000261,13.331544,[28 98] ; [9 4],[33.53956835 92.46043165] ; [3.46043165 9.53956835],1
v3,1,0.000358,12.739828,[38 87] ; [8 1],[42.91044776 82.08955224] ; [3.08955224 5.91044776],1
a2,1,0.00086,11.106355,[ 26 103] ; [8 5],[30.88732394 98.11267606] ; [3.11267606 9.88732394],1
d1,1,0.001136,10.591702,[58 71] ; [12  1],[63.5915493 65.4084507] ; [6.4084507 6.5915493],0
s3,1,0.002142,9.423487,[61 67] ; [12  1],[66.26950355 61.73049645] ; [6.73049645 6.26950355],0
v1,1,0.002285,9.305007,[52 77] ; [9 1],[56.61151079 72.38848921] ; [4.38848921 5.61151079],0
p4,1,0.004487,8.075586,[55 72] ; [11  2],[59.87142857 67.12857143] ; [6.12857143 6.87142857],0
s7,1,0.006425,7.427205,[51 63] ; [11  2],[55.65354331 58.34645669] ; [6.34645669 6.65354331],0
s2,1,0.006914,7.295242,[58 70] ; [11  2],[62.63829787 65.36170213] ; [6.36170213 6.63829787],0
v2,1,0.007578,7.130592,[47 80] ; [8 2],[50.98540146 76.01459854] ; [4.01459854 5.98540146],0
p3,1,0.010889,6.483379,[51 76] ; [10  3],[55.33571429 71.66428571] ; [5.66428571 7.33571429],0
u1,1,0.011647,6.363756,[ 16 113] ; [5 8],[ 19.07746479 109.92253521] ; [ 1.92253521 11.07746479],0
s6,1,0.016743,5.723137,[73 52] ; [12  1],[76.99275362 48.00724638] ; [8.00724638 4.99275362],0
a4,1,0.02238,5.216014,[56 72] ; [10  3],[59.91489362 68.08510638] ; [6.08510638 6.91489362],0
a5,1,0.023122,5.159314,[78 51] ; [12  1],[81.76056338 47.23943662] ; [8.23943662 4.76056338],0
d2,1,0.024226,5.078404,[66 61] ; [11  2],[69.85 57.15] ; [7.15 5.85],0
p6,1,0.031345,4.633949,[32 93] ; [7 6],[35.32608696 89.67391304] ; [3.67391304 9.32608696],0
d3,1,0.048516,3.892012,[71 55] ; [11  2],[74.33093525 51.66906475] ; [7.66906475 5.33093525],0
a6,1,0.071895,3.23921,[65 63] ; [10  3],[68.08510638 59.91489362] ; [6.91489362 6.08510638],0
a8,1,0.073894,3.194331,[ 13 108] ; [3 7],[ 14.77862595 106.22137405] ; [1.22137405 8.77862595],0
p2,1,0.07944,3.076327,[76 51] ; [11  2],[78.92142857 48.07857143] ; [8.07857143 4.92142857],0
p7,1,0.099078,2.720315,[57 69] ; [9 4],[59.82733813 66.17266187] ; [6.17266187 6.82733813],0
n4,1,0.128099,2.315398,[82 47] ; [11  2],[84.48591549 44.51408451] ; [8.51408451 4.48591549],0
a1,1,0.157707,1.996079,[ 13 116] ; [ 3 10],[ 14.53521127 114.46478873] ; [ 1.46478873 11.53521127],0
r1,1,0.169141,1.890538,[85 44] ; [11  2],[87.21126761 41.78873239] ; [8.78873239 4.21126761],0
s4,1,0.270532,1.214048,[ 26 102] ; [ 1 12],[ 24.5106383 103.4893617] ; [ 2.4893617 10.5106383],0
d5,1,0.400561,0.706642,[94 33] ; [11  2],[95.25 31.75] ; [9.75 3.25],0
a7,1,0.557823,0.343488,[78 50] ; [9 4],[78.9787234 49.0212766] ; [8.0212766 4.9787234],0
p1,1,0.777145,0.080113,[ 13 115] ; [ 1 12],[ 12.70921986 115.29078014] ; [ 1.29078014 11.70921986],0
s5,1,0.794824,0.067627,[40 83] ; [4 7],[40.3880597 82.6119403] ; [3.6119403 7.3880597],0
b4,1,0.849261,0.036123,[73 56] ; [7 6],[72.67605634 56.32394366] ; [7.32394366 5.67605634],0
s1,1,0.935629,0.006523,[  9 118] ; [ 1 12],[  9.07142857 117.92857143] ; [ 0.92857143 12.07142857],0
b5,1,0.973061,0.00114,[80 49] ; [8 5],[79.94366197 49.05633803] ; [8.05633803 4.94366197],0
