Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000383,12.611739,[11  2] ; [ 5 17],[5.94285714 7.05714286] ; [10.05714286 11.94285714],1
d5,1,0.001039,10.756433,[ 2 11] ; [16  6],[6.68571429 6.31428571] ; [11.31428571 10.68571429],0
d1,1,0.005574,7.683261,[ 1 12] ; [12 10],[4.82857143 8.17142857] ; [ 8.17142857 13.82857143],0
a1,1,0.010098,6.617535,[5 8] ; [ 1 21],[ 2.22857143 10.77142857] ; [ 3.77142857 18.22857143],0
r3,1,0.011582,6.373834,[ 2 11] ; [13  9],[5.57142857 7.42857143] ; [ 9.42857143 12.57142857],0
r1,1,0.02231,5.221445,[ 2 11] ; [12 10],[5.2 7.8] ; [ 8.8 13.2],0
d3,1,0.02231,5.221445,[ 2 11] ; [12 10],[5.2 7.8] ; [ 8.8 13.2],0
b4,1,0.031807,4.608886,[4 9] ; [15  7],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
s3,1,0.096108,2.76897,[ 2 11] ; [ 9 12],[4.20588235 8.79411765] ; [ 6.79411765 14.20588235],0
d2,1,0.105264,2.62392,[4 9] ; [13  9],[6.31428571 6.68571429] ; [10.68571429 11.31428571],0
a3,1,0.133288,2.253788,[5 7] ; [15  7],[7.05882353 4.94117647] ; [12.94117647  9.05882353],0
a5,1,0.148571,2.086861,[5 8] ; [14  8],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
n2,1,0.157299,2.0,[3 6] ; [6 3],[4.5 4.5] ; [4.5 4.5],0
p3,1,0.161723,1.958042,[ 1 12] ; [ 6 16],[ 2.6 10.4] ; [ 4.4 17.6],0
s6,1,0.161723,1.958042,[ 1 12] ; [ 6 16],[ 2.6 10.4] ; [ 4.4 17.6],0
u2,1,0.184708,1.759334,[1 7] ; [3 4],[2.13333333 5.86666667] ; [1.86666667 5.13333333],0
b1,1,0.198674,1.652098,[6 7] ; [15  7],[7.8 5.2] ; [13.2  8.8],0
b2,1,0.246566,1.342657,[5 3] ; [ 6 10],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
b3,1,0.246566,1.342657,[5 3] ; [ 6 10],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
p1,1,0.253236,1.305361,[ 3 10] ; [ 2 20],[ 1.85714286 11.14285714] ; [ 3.14285714 18.85714286],0
a4,1,0.266636,1.233974,[4 9] ; [11 11],[5.57142857 7.42857143] ; [ 9.42857143 12.57142857],0
b5,1,0.266636,1.233974,[4 9] ; [11 11],[5.57142857 7.42857143] ; [ 9.42857143 12.57142857],0
n3,1,0.342782,0.9,[3 6] ; [5 4],[4. 5.] ; [4. 5.],0
s2,1,0.391504,0.734266,[ 1 12] ; [ 4 18],[ 1.85714286 11.14285714] ; [ 3.14285714 18.85714286],0
s4,1,0.391504,0.734266,[ 1 12] ; [ 4 18],[ 1.85714286 11.14285714] ; [ 3.14285714 18.85714286],0
p11,1,0.41835,0.654947,[ 2 11] ; [ 6 16],[ 2.97142857 10.02857143] ; [ 5.02857143 16.97142857],0
p4,1,0.41835,0.654947,[ 2 11] ; [ 6 16],[ 2.97142857 10.02857143] ; [ 5.02857143 16.97142857],0
p8,1,0.442695,0.589286,[3 9] ; [ 3 18],[2.18181818 9.81818182] ; [ 3.81818182 17.18181818],0
a6,1,0.457868,0.551102,[7 6] ; [ 9 13],[5.94285714 7.05714286] ; [10.05714286 11.94285714],0
s7,1,0.496367,0.462695,[ 1 12] ; [ 3 16],[ 1.625 11.375] ; [ 2.375 16.625],0
n4,1,0.507903,0.438386,[8 5] ; [11 11],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
v3,1,0.513464,0.427002,[ 3 10] ; [ 3 18],[ 2.29411765 10.70588235] ; [ 3.70588235 17.29411765],0
s1,1,0.571751,0.319761,[ 2 11] ; [ 2 20],[ 1.48571429 11.51428571] ; [ 2.51428571 19.48571429],0
a8,1,0.606238,0.26569,[ 2 11] ; [ 2 19],[ 1.52941176 11.47058824] ; [ 2.47058824 18.52941176],0
a7,1,0.631259,0.230358,[6 7] ; [12 10],[6.68571429 6.31428571] ; [11.31428571 10.68571429],0
n1,1,0.637352,0.222222,[5 4] ; [4 5],[4.5 4.5] ; [4.5 4.5],0
r2,1,0.64266,0.21528,[7 6] ; [13  8],[7.64705882 5.35294118] ; [12.35294118  8.64705882],0
p10,1,0.676193,0.174443,[ 2 10] ; [ 5 17],[2.47058824 9.52941176] ; [ 4.52941176 17.47058824],0
p2,1,0.724159,0.124542,[ 3 10] ; [ 6 15],[3.44117647 9.55882353] ; [ 5.55882353 15.44117647],0
v1,1,0.783758,0.075309,[ 3 10] ; [ 6 16],[3.34285714 9.65714286] ; [ 5.65714286 16.34285714],0
p7,1,0.783758,0.075309,[ 3 10] ; [ 6 16],[3.34285714 9.65714286] ; [ 5.65714286 16.34285714],0
a2,1,0.831981,0.045012,[ 2 11] ; [ 4 18],[ 2.22857143 10.77142857] ; [ 3.77142857 18.22857143],0
p9,1,0.859748,0.031221,[4 8] ; [ 8 14],[4.23529412 7.76470588] ; [ 7.76470588 14.23529412],0
p6,1,0.929939,0.00773,[ 2 11] ; [ 3 18],[ 1.91176471 11.08823529] ; [ 3.08823529 17.91176471],0
