Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,9.2e-05,15.292494,[145 234] ; [12  1],[151.79336735 227.20663265] ; [5.20663265 7.79336735],1
b2,1,9.2e-05,15.292494,[145 234] ; [12  1],[151.79336735 227.20663265] ; [5.20663265 7.79336735],1
a2,1,0.000981,10.863353,[139 479] ; [8 5],[143.97147385 474.02852615] ; [3.02852615 9.97147385],1
s8,1,0.000997,10.833957,[284 330] ; [12  1],[289.86283892 324.13716108] ; [6.13716108 6.86283892],1
a1,1,0.001302,10.339545,[ 26 592] ; [ 3 10],[ 28.40253566 589.59746434] ; [ 0.59746434 12.40253566],0
v3,1,0.003582,8.484335,[243 354] ; [8 1],[247.27227723 349.72772277] ; [3.72772277 5.27227723],0
p5,1,0.004987,7.883976,[ 82 532] ; [5 7],[ 85.33226837 528.66773163] ; [ 1.66773163 10.33226837],0
d2,1,0.005567,7.685496,[282 333] ; [11  2],[286.93471338 328.06528662] ; [6.06528662 6.93471338],0
s3,1,0.010776,6.501859,[346 261] ; [12  1],[350.49354839 256.50645161] ; [7.50645161 5.49354839],0
p12,1,0.011904,6.325081,[ 59 556] ; [4 9],[ 61.69585987 553.30414013] ; [ 1.30414013 11.69585987],0
s7,1,0.014933,5.924318,[300 294] ; [11  2],[304.33937397 289.66062603] ; [6.66062603 6.33937397],0
d1,1,0.016459,5.753196,[367 251] ; [12  1],[371.19175911 246.80824089] ; [7.80824089 5.19175911],0
a4,1,0.016672,5.730581,[269 348] ; [10  3],[273.24285714 343.75714286] ; [5.75714286 7.24285714],0
s2,1,0.019043,5.497544,[317 295] ; [11  2],[321.1776 290.8224] ; [6.8224 6.1776],0
v1,1,0.033797,4.504952,[339 261] ; [9 1],[342.29508197 257.70491803] ; [5.70491803 4.29508197],0
u1,1,0.04582,3.988217,[106 512] ; [5 8],[108.71315372 509.28684628] ; [ 2.28684628 10.71315372],0
s6,1,0.067161,3.351091,[415 190] ; [12  1],[418.01779935 186.98220065] ; [8.98220065 4.01779935],0
p3,1,0.101337,2.684375,[333 283] ; [10  3],[335.91096979 280.08903021] ; [7.08903021 5.91096979],0
p4,1,0.128093,2.31546,[395 220] ; [11  2],[397.5955414 217.4044586] ; [8.4044586 4.5955414],0
a8,1,0.13918,2.186998,[ 78 493] ; [3 7],[ 79.60585198 491.39414802] ; [1.39414802 8.60585198],0
b1,1,0.139269,2.186013,[211 407] ; [7 6],[213.50871632 404.49128368] ; [4.49128368 8.50871632],0
a5,1,0.172013,1.865308,[470 148] ; [12  1],[472.06973059 145.93026941] ; [9.93026941 3.06973059],0
v2,1,0.17592,1.831762,[348 244] ; [8 2],[350.08637874 241.91362126] ; [5.91362126 4.08637874],0
d3,1,0.228083,1.452774,[426 191] ; [11  2],[427.98253968 189.01746032] ; [9.01746032 3.98253968],0
p6,1,0.232368,1.426305,[229 380] ; [7 6],[231.06752412 377.93247588] ; [4.93247588 8.06752412],0
s1,1,0.237136,1.397536,[ 15 596] ; [ 1 12],[ 15.66666667 595.33333333] ; [ 0.33333333 12.66666667],0
s4,1,0.386981,0.748406,[102 509] ; [ 1 12],[100.85416667 510.14583333] ; [ 2.14583333 10.85416667],0
p8,1,0.462456,0.539943,[360 249] ; [9 4],[361.28778135 247.71221865] ; [7.71221865 5.28778135],0
a6,1,0.571565,0.32007,[429 187] ; [10  3],[429.92686804 186.07313196] ; [9.07313196 3.92686804],0
n4,1,0.695647,0.15304,[496 122] ; [11  2],[496.55467512 121.44532488] ; [10.44532488  2.55467512],0
r1,1,0.70971,0.138567,[495 120] ; [11  2],[495.52547771 119.47452229] ; [10.47452229  2.52547771],0
b4,1,0.723023,0.125615,[363 255] ; [7 6],[362.37717908 255.62282092] ; [7.62282092 5.37717908],0
a7,1,0.756043,0.096523,[451 166] ; [9 4],[450.50793651 166.49206349] ; [9.49206349 3.50793651],0
p2,1,0.757944,0.094976,[538  77] ; [11  2],[537.63535032  77.36464968] ; [11.36464968  1.63535032],0
d5,1,0.795564,0.067129,[504 112] ; [11  2],[504.35612083 111.64387917] ; [10.64387917  2.35612083],0
b5,1,0.81202,0.056559,[360 258] ; [8 5],[360.41838352 257.58161648] ; [7.58161648 5.41838352],0
p1,1,0.847347,0.037058,[ 57 559] ; [ 1 12],[ 56.80127186 559.19872814] ; [ 1.19872814 11.80127186],0
s5,1,0.928377,0.00808,[210 389] ; [4 7],[210.14098361 388.85901639] ; [3.85901639 7.14098361],0
p7,1,0.978756,0.000709,[414 187] ; [9 4],[414.04397394 186.95602606] ; [8.95602606 4.04397394],0
