Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.1e-05,19.294641,[ 6 17] ; [53 16],[14.75  8.25] ; [44.25 24.75],1
n6,1,0.006114,7.51634,[12 11] ; [56 13],[17.  6.] ; [51. 18.],0
a4,1,0.027773,4.842105,[ 5 18] ; [33 36],[ 9.5 13.5] ; [28.5 40.5],0
s7,1,0.047968,3.911111,[ 6 16] ; [34 32],[10. 12.] ; [30. 36.],0
v2,1,0.04863,3.888063,[ 9 13] ; [44 24],[12.95555556  9.04444444] ; [40.04444444 27.95555556],0
v3,1,0.080308,3.058654,[ 6 16] ; [33 35],[ 9.53333333 12.46666667] ; [29.46666667 38.53333333],0
b1,1,0.091911,2.84058,[ 8 15] ; [38 31],[11.5 11.5] ; [34.5 34.5],0
p10,1,0.117205,2.45428,[14  9] ; [52 15],[16.86666667  6.13333333] ; [49.13333333 17.86666667],0
a5,1,0.136646,2.215323,[14  9] ; [53 16],[16.75  6.25] ; [50.25 18.75],0
u3,1,0.151494,2.057143,[5 1] ; [9 9],[3.5 2.5] ; [10.5  7.5],0
s8,1,0.16582,1.92033,[ 8 15] ; [35 33],[10.86813187 12.13186813] ; [32.13186813 35.86813187],0
p2,1,0.18128,1.787102,[19  4] ; [47 22],[16.5  6.5] ; [49.5 19.5],0
n1,1,0.196667,1.666955,[1 4] ; [6 5],[2.1875 2.8125] ; [4.8125 6.1875],0
p6,1,0.227769,1.454737,[ 3 17] ; [19 48],[ 5.05747126 14.94252874] ; [16.94252874 50.05747126],0
b5,1,0.264488,1.245113,[12 11] ; [45 24],[14.25  8.75] ; [42.75 26.25],0
a8,1,0.29304,1.105601,[ 1 21] ; [ 8 56],[ 2.30232558 19.69767442] ; [ 6.69767442 57.30232558],0
a2,1,0.29794,1.083393,[ 3 20] ; [16 53],[ 4.75 18.25] ; [14.25 54.75],0
u1,1,0.314666,1.010989,[ 2 21] ; [12 57],[ 3.5 19.5] ; [10.5 58.5],0
u2,1,0.323296,0.975566,[3 2] ; [ 6 11],[2.04545455 2.95454545] ; [ 6.95454545 10.04545455],0
s6,1,0.337495,0.919923,[15  8] ; [36 31],[13.03333333  9.96666667] ; [37.96666667 29.03333333],0
r1,1,0.363584,0.825474,[15  8] ; [51 17],[16.68131868  6.31868132] ; [49.31868132 18.68131868],0
a7,1,0.38546,0.753216,[16  7] ; [41 28],[14.25  8.75] ; [42.75 26.25],0
b4,1,0.398391,0.713178,[14  9] ; [35 34],[12.25 10.75] ; [36.75 32.25],0
a1,1,0.425716,0.634483,[ 2 21] ; [ 3 66],[ 1.25 21.75] ; [ 3.75 65.25],0
r4,1,0.474658,0.511111,[21  2] ; [59 10],[20.  3.] ; [60.  9.],0
n3,1,0.540818,0.374026,[4 1] ; [10  1],[4.375 0.625] ; [9.625 1.375],0
s3,1,0.546367,0.363866,[11 12] ; [38 31],[12.25 10.75] ; [36.75 32.25],0
d4,1,0.559402,0.340741,[19  4] ; [53 16],[18.  5.] ; [54. 15.],0
s5,1,0.568375,0.325408,[ 6 16] ; [22 43],[ 7.08045977 14.91954023] ; [20.91954023 44.08045977],0
d2,1,0.589613,0.290949,[ 9 14] ; [31 37],[10.10989011 12.89010989] ; [29.89010989 38.10989011],0
v4,1,0.625853,0.237726,[22  1] ; [64  5],[21.5  1.5] ; [64.5  4.5],0
d3,1,0.629807,0.232323,[11 12] ; [37 32],[12. 11.] ; [36. 33.],0
v1,1,0.701039,0.147393,[13  9] ; [37 31],[12.22222222  9.77777778] ; [37.77777778 30.22222222],0
p12,1,0.753417,0.098682,[ 1 22] ; [ 2 65],[ 0.76666667 22.23333333] ; [ 2.23333333 64.76666667],0
d5,1,0.777767,0.079654,[18  5] ; [52 17],[17.5  5.5] ; [52.5 16.5],0
p11,1,0.789188,0.071484,[16  7] ; [50 19],[16.5  6.5] ; [49.5 19.5],0
p8,1,0.79995,0.064218,[11 12] ; [30 37],[10.47777778 12.52222222] ; [30.52222222 36.47777778],0
s2,1,0.806845,0.059779,[ 9 14] ; [29 40],[ 9.5 13.5] ; [28.5 40.5],0
b2,1,0.818625,0.052585,[5 6] ; [20 28],[4.66101695 6.33898305] ; [20.33898305 27.66101695],0
b3,1,0.818625,0.052585,[5 6] ; [20 28],[4.66101695 6.33898305] ; [20.33898305 27.66101695],0
p9,1,0.834052,0.043893,[18  5] ; [51 16],[17.63333333  5.36666667] ; [51.36666667 15.63333333],0
r3,1,0.839435,0.041053,[21  2] ; [62  7],[20.75  2.25] ; [62.25  6.75],0
s4,1,0.862807,0.02986,[ 3 20] ; [10 59],[ 3.25 19.75] ; [ 9.75 59.25],0
a6,1,0.864287,0.029214,[15  8] ; [43 25],[14.65934066  8.34065934] ; [43.34065934 24.65934066],0
a3,1,0.917416,0.010751,[17  6] ; [51 17],[17.18681319  5.81318681] ; [50.81318681 17.18681319],0
p7,1,0.980765,0.000581,[16  6] ; [50 19],[15.95604396  6.04395604] ; [50.04395604 18.95604396],0
d1,1,1.0,0.0,[11 12] ; [33 36],[11. 12.] ; [33. 36.],0
p1,1,1.0,0.0,[ 3 20] ; [ 9 60],[ 3. 20.] ; [ 9. 60.],0
