Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001159,10.555354,[76 10] ; [15 10],[70.5045045 15.4954955] ; [20.4954955  4.5045045],0
s6,1,0.00125,10.414566,[66 19] ; [11 14],[59.5 25.5] ; [17.5  7.5],0
r3,1,0.013332,6.124487,[82  4] ; [20  5],[79.02702703  6.97297297] ; [22.97297297  2.02702703],0
p1,1,0.014998,5.916669,[10 76] ; [ 8 17],[13.94594595 72.05405405] ; [ 4.05405405 20.94594595],0
p2,1,0.020828,5.341165,[68 18] ; [14 11],[63.53153153 22.46846847] ; [18.46846847  6.53153153],0
n5,1,0.053304,3.734359,[68 18] ; [15 10],[64.30630631 21.69369369] ; [18.69369369  6.30630631],0
r4,1,0.081434,3.036044,[77  9] ; [19  6],[74.37837838 11.62162162] ; [21.62162162  3.37837838],0
a3,1,0.107659,2.588257,[58 28] ; [21  4],[61.20720721 24.79279279] ; [17.79279279  7.20720721],0
d1,1,0.122026,2.391128,[56 30] ; [12 13],[52.68468468 33.31531532] ; [15.31531532  9.68468468],0
v2,1,0.149123,2.081197,[45 38] ; [ 9 15],[41.88785047 41.11214953] ; [12.11214953 11.88785047],0
p5,1,0.163621,1.94044,[12 72] ; [ 1 24],[10.01834862 73.98165138] ; [ 2.98165138 22.01834862],0
v4,1,0.183335,1.770383,[82  4] ; [22  3],[80.57657658  5.42342342] ; [23.42342342  1.57657658],0
p9,1,0.197269,1.662481,[71 14] ; [18  7],[68.77272727 16.22727273] ; [20.22727273  4.77272727],0
d5,1,0.230314,1.43892,[74 12] ; [19  6],[72.05405405 13.94594595] ; [20.94594595  4.05405405],0
d3,1,0.233944,1.416721,[56 30] ; [13 12],[53.45945946 32.54054054] ; [15.54054054  9.45945946],0
a6,1,0.249209,1.327735,[51 35] ; [18  7],[53.45945946 32.54054054] ; [15.54054054  9.45945946],0
r1,1,0.262823,1.253825,[67 18] ; [17  8],[64.90909091 20.09090909] ; [19.09090909  5.90909091],0
n2,1,0.271455,1.20938,[14  8] ; [6 1],[15.17241379  6.82758621] ; [4.82758621 2.17241379],0
a7,1,0.300525,1.071861,[61 25] ; [15 10],[58.88288288 27.11711712] ; [17.11711712  7.88288288],0
p6,1,0.306604,1.045249,[22 63] ; [ 4 21],[20.09090909 64.90909091] ; [ 5.90909091 19.09090909],0
b4,1,0.341707,0.904016,[53 33] ; [18  7],[55.00900901 30.99099099] ; [15.99099099  9.00900901],0
p8,1,0.357174,0.847804,[29 57] ; [ 6 19],[27.11711712 58.88288288] ; [ 7.88288288 17.11711712],0
n3,1,0.366018,0.817138,[15  7] ; [6 1],[15.93103448  6.06896552] ; [5.06896552 1.93103448],0
u1,1,0.37376,0.791127,[17 69] ; [ 3 22],[15.4954955 70.5045045] ; [ 4.5045045 20.4954955],0
n4,1,0.376628,0.781681,[72 14] ; [19  6],[70.5045045 15.4954955] ; [20.4954955  4.5045045],0
a5,1,0.428297,0.627438,[62 24] ; [20  5],[63.53153153 22.46846847] ; [18.46846847  6.53153153],0
u2,1,0.430955,0.620248,[16 12] ; [1 2],[15.35483871 12.64516129] ; [1.64516129 1.35483871],0
p11,1,0.435821,0.60726,[62 24] ; [16  9],[60.43243243 25.56756757] ; [17.56756757  7.43243243],0
s7,1,0.460123,0.545595,[33 43] ; [12 11],[34.54545455 41.45454545] ; [10.45454545 12.54545455],0
a2,1,0.461161,0.543076,[15 71] ; [ 6 19],[16.27027027 69.72972973] ; [ 4.72972973 20.27027027],0
p10,1,0.466844,0.529437,[64 21] ; [17  8],[62.59090909 22.40909091] ; [18.40909091  6.59090909],0
s3,1,0.502274,0.450128,[48 37] ; [16  9],[49.45454545 35.54545455] ; [14.54545455 10.45454545],0
s2,1,0.574579,0.31508,[49 35] ; [13 12],[47.77981651 36.22018349] ; [14.22018349 10.77981651],0
u3,1,0.580912,0.304762,[17 11] ; [3 1],[17.5 10.5] ; [2.5 1.5],0
d2,1,0.613011,0.255814,[48 38] ; [12 12],[46.90909091 39.09090909] ; [13.09090909 10.90909091],0
a4,1,0.628681,0.233854,[40 46] ; [13 12],[41.06306306 44.93693694] ; [11.93693694 13.06306306],0
b3,1,0.689648,0.159467,[20 34] ; [6 8],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
b2,1,0.689648,0.159467,[20 34] ; [6 8],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
s1,1,0.702984,0.145386,[ 5 80] ; [ 2 23],[ 5.40909091 79.59090909] ; [ 1.59090909 23.40909091],0
n1,1,0.741854,0.108503,[11 11] ; [4 3],[11.37931034 10.62068966] ; [3.62068966 3.37931034],0
b5,1,0.767972,0.087042,[51 35] ; [14 11],[50.36036036 35.63963964] ; [14.63963964 10.36036036],0
s5,1,0.777162,0.0801,[25 54] ; [ 8 15],[25.55882353 53.44117647] ; [ 7.44117647 15.55882353],0
b1,1,0.824464,0.049198,[40 46] ; [11 14],[39.51351351 46.48648649] ; [11.48648649 13.51351351],0
s4,1,0.831623,0.045207,[12 72] ; [ 4 21],[12.33027523 71.66972477] ; [ 3.66972477 21.33027523],0
v3,1,0.837446,0.042091,[26 54] ; [ 8 15],[26.40776699 53.59223301] ; [ 7.59223301 15.40776699],0
d4,1,0.875406,0.024585,[70 16] ; [20  5],[69.72972973 16.27027027] ; [20.27027027  4.72972973],0
v1,1,0.878325,0.023438,[43 37] ; [13 12],[42.66666667 37.33333333] ; [13.33333333 11.66666667],0
a1,1,0.903839,0.014596,[ 3 83] ; [ 1 24],[ 3.0990991 82.9009009] ; [ 0.9009009 24.0990991],0
s8,1,0.933965,0.006865,[40 45] ; [12 13],[40.18181818 44.81818182] ; [11.81818182 13.18181818],0
