Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.743492,[88 12] ; [50 34],[75. 25.] ; [63. 21.],1
s4,1,0.001494,10.086375,[31 67] ; [10 74],[22.07692308 75.92307692] ; [18.92307692 65.07692308],0
s6,1,0.003428,8.564364,[91  9] ; [63 21],[83.69565217 16.30434783] ; [70.30434783 13.69565217],0
p10,1,0.00597,7.559405,[94  6] ; [67 16],[87.97814208 12.02185792] ; [73.02185792  9.97814208],0
n2,1,0.015887,5.815385,[22  4] ; [8 8],[18.57142857  7.42857143] ; [11.42857143  4.57142857],0
p5,1,0.0204,5.377379,[30 70] ; [13 71],[23.36956522 76.63043478] ; [19.63043478 64.36956522],0
p1,1,0.079877,3.06741,[20 79] ; [ 9 75],[15.68852459 83.31147541] ; [13.31147541 70.68852459],0
s3,1,0.081626,3.032226,[76 23] ; [54 29],[70.71428571 28.28571429] ; [59.28571429 23.71428571],0
v1,1,0.107075,2.596876,[70 30] ; [48 34],[64.83516484 35.16483516] ; [53.16483516 28.83516484],0
p7,1,0.114274,2.4941,[88 11] ; [66 16],[84.2320442 14.7679558] ; [69.7679558 12.2320442],0
b4,1,0.12864,2.308845,[60 40] ; [41 43],[54.89130435 45.10869565] ; [46.10869565 37.89130435],0
r4,1,0.13064,2.284887,[96  4] ; [76  8],[93.47826087  6.52173913] ; [78.52173913  5.47826087],0
n3,1,0.179627,1.800704,[16 10] ; [13  3],[17.95238095  8.04761905] ; [11.04761905  4.95238095],0
p9,1,0.223966,1.478775,[95  5] ; [75  8],[92.89617486  7.10382514] ; [77.10382514  5.89617486],0
p2,1,0.22854,1.449925,[86 14] ; [77  7],[88.58695652 11.41304348] ; [74.41304348  9.58695652],0
d1,1,0.247197,1.339075,[70 30] ; [52 32],[66.30434783 33.69565217] ; [55.69565217 28.30434783],0
r2,1,0.248202,1.333395,[96  4] ; [82  1],[97.26775956  2.73224044] ; [80.73224044  2.26775956],0
a5,1,0.251008,1.317685,[83 17] ; [64 20],[79.89130435 20.10869565] ; [67.10869565 16.89130435],0
a4,1,0.256957,1.285079,[56 44] ; [40 44],[52.17391304 47.82608696] ; [43.82608696 40.17391304],0
u4,1,0.293404,1.103934,[ 2 98] ; [ 4 80],[ 3.26086957 96.73913043] ; [ 2.73913043 81.26086957],0
a1,1,0.317579,0.998892,[10 90] ; [ 5 79],[ 8.15217391 91.84782609] ; [ 6.84782609 77.15217391],0
r3,1,0.327984,0.95684,[97  3] ; [79  5],[95.65217391  4.34782609] ; [80.34782609  3.65217391],0
p12,1,0.347044,0.884236,[17 83] ; [10 73],[14.75409836 85.24590164] ; [12.24590164 70.75409836],0
a2,1,0.367934,0.810629,[31 69] ; [21 63],[28.26086957 71.73913043] ; [23.73913043 60.26086957],0
n5,1,0.381338,0.766385,[82 18] ; [72 11],[84.15300546 15.84699454] ; [69.84699454 13.15300546],0
s8,1,0.400744,0.706092,[75 24] ; [59 25],[72.49180328 26.50819672] ; [61.50819672 22.49180328],0
v4,1,0.401811,0.702899,[97  3] ; [83  1],[97.82608696  2.17391304] ; [82.17391304  1.82608696],0
u1,1,0.404462,0.695019,[28 72] ; [19 65],[25.54347826 74.45652174] ; [21.45652174 62.54347826],0
b1,1,0.405662,0.691478,[38 62] ; [37 47],[40.76086957 59.23913043] ; [34.23913043 49.76086957],0
b5,1,0.451522,0.566828,[54 46] ; [50 34],[56.52173913 43.47826087] ; [47.47826087 36.52173913],0
p8,1,0.456383,0.55475,[71 29] ; [54 28],[68.68131868 31.31868132] ; [56.31868132 25.68131868],0
p3,1,0.460034,0.545812,[71 28] ; [56 28],[68.70491803 30.29508197] ; [58.29508197 25.70491803],0
n1,1,0.463071,0.538462,[16 10] ; [8 8],[14.85714286 11.14285714] ; [9.14285714 6.85714286],0
n4,1,0.502044,0.450612,[86 14] ; [75  9],[87.5 12.5] ; [73.5 10.5],0
d5,1,0.503261,0.448052,[83 15] ; [68 16],[81.30769231 16.69230769] ; [69.69230769 14.30769231],0
a6,1,0.534841,0.385185,[61 37] ; [56 28],[63. 35.] ; [54. 30.],0
u3,1,0.617536,0.249346,[16  3] ; [14  4],[15.40540541  3.59459459] ; [14.59459459  3.40540541],0
u2,1,0.633677,0.227107,[15  4] ; [13  5],[14.37837838  4.62162162] ; [13.62162162  4.37837838],0
d3,1,0.643306,0.214445,[76 23] ; [62 22],[74.6557377 24.3442623] ; [63.3442623 20.6557377],0
a3,1,0.69495,0.153779,[81 18] ; [66 17],[79.96153846 19.03846154] ; [67.03846154 15.96153846],0
p11,1,0.712198,0.136091,[80 20] ; [69 15],[80.97826087 19.02173913] ; [68.02173913 15.97826087],0
p4,1,0.742216,0.108188,[82 17] ; [68 16],[81.14754098 17.85245902] ; [68.85245902 15.14754098],0
n6,1,0.763824,0.090278,[91  7] ; [77  7],[90.46153846  7.53846154] ; [77.53846154  6.46153846],0
s1,1,0.776527,0.080569,[ 5 95] ; [ 5 79],[ 5.43478261 94.56521739] ; [ 4.56521739 79.43478261],0
a8,1,0.786208,0.07357,[13 78] ; [12 64],[13.62275449 77.37724551] ; [11.37724551 64.62275449],0
a7,1,0.855736,0.033053,[69 31] ; [59 25],[69.56521739 30.43478261] ; [58.43478261 25.56521739],0
b3,1,0.85758,0.032204,[33 34] ; [31 34],[32.48484848 34.51515152] ; [31.51515152 33.48484848],0
b2,1,0.85758,0.032204,[33 34] ; [31 34],[32.48484848 34.51515152] ; [31.51515152 33.48484848],0
v3,1,0.861061,0.030633,[47 52] ; [40 42],[47.58563536 51.41436464] ; [39.41436464 42.58563536],0
v2,1,0.881563,0.022198,[60 39] ; [50 34],[59.50819672 39.49180328] ; [50.49180328 33.50819672],0
r1,1,0.928625,0.008024,[85 15] ; [71 13],[84.7826087 15.2173913] ; [71.2173913 12.7826087],0
d2,1,0.937386,0.006171,[56 43] ; [48 36],[56.26229508 42.73770492] ; [47.73770492 36.26229508],0
d4,1,1.0,0.0,[84 14] ; [72 12],[84. 14.] ; [72. 12.],0
