Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003241,8.666705,[17 14] ; [95 23],[23.30201342  7.69798658] ; [88.69798658 29.30201342],0
n4,1,0.016626,5.735441,[20 11] ; [99 19],[24.75838926  6.24161074] ; [94.24161074 23.75838926],0
p10,1,0.028745,4.782814,[18 13] ; [90 26],[22.7755102  8.2244898] ; [85.2244898 30.7755102],0
p9,1,0.051292,3.798702,[21 10] ; [96 19],[24.84246575  6.15753425] ; [92.15753425 22.84246575],0
d5,1,0.072527,3.224892,[23  8] ; [103  15],[26.2147651  4.7852349] ; [99.7852349 18.2147651],0
v1,1,0.129419,2.299456,[11 17] ; [63 51],[14.5915493 13.4084507] ; [59.4084507 54.5915493],0
u1,1,0.130488,2.286693,[ 9 22] ; [20 98],[ 6.03355705 24.96644295] ; [22.96644295 95.03355705],0
p11,1,0.134059,2.24486,[18 13] ; [85 33],[21.4295302  9.5704698] ; [81.5704698 36.4295302],0
a7,1,0.151978,2.052286,[20 11] ; [91 27],[23.09395973  7.90604027] ; [87.90604027 30.09395973],0
p1,1,0.154873,2.023581,[ 1 30] ; [ 14 104],[ 3.12080537 27.87919463] ; [ 11.87919463 106.12080537],0
p8,1,0.161262,1.962353,[ 7 24] ; [42 75],[10.26351351 20.73648649] ; [38.73648649 78.26351351],0
d3,1,0.20804,1.585011,[19 12] ; [86 32],[21.84563758  9.15436242] ; [83.15436242 34.84563758],0
p5,1,0.213491,1.547595,[ 1 28] ; [ 13 105],[ 2.76190476 26.23809524] ; [ 11.23809524 106.76190476],0
b3,1,0.240719,1.376377,[ 9 10] ; [24 49],[ 6.81521739 12.18478261] ; [26.18478261 46.81521739],0
b2,1,0.240719,1.376377,[ 9 10] ; [24 49],[ 6.81521739 12.18478261] ; [26.18478261 46.81521739],0
r2,1,0.262684,1.254556,[30  1] ; [106  11],[28.48648649  2.51351351] ; [107.51351351   9.48648649],0
u4,1,0.282117,1.156864,[ 2 29] ; [  3 115],[ 1.04026846 29.95973154] ; [  3.95973154 114.04026846],0
v3,1,0.314358,1.012275,[12 16] ; [37 76],[ 9.73049645 18.26950355] ; [39.26950355 73.73049645],0
s4,1,0.316073,1.005128,[ 6 24] ; [ 15 102],[ 4.28571429 25.71428571] ; [ 16.71428571 100.28571429],0
b4,1,0.392201,0.732107,[21 10] ; [70 48],[18.93288591 12.06711409] ; [72.06711409 45.93288591],0
d1,1,0.405494,0.691975,[18 13] ; [78 40],[19.97315436 11.02684564] ; [76.02684564 41.97315436],0
r3,1,0.459819,0.546335,[30  1] ; [110   8],[29.12751678  1.87248322] ; [110.87248322   7.12751678],0
s1,1,0.466212,0.530939,[ 3 28] ; [  7 110],[ 2.09459459 28.90540541] ; [  7.90540541 109.09459459],0
d4,1,0.468822,0.524751,[24  7] ; [98 20],[25.38255034  5.61744966] ; [96.61744966 21.38255034],0
a2,1,0.509459,0.435178,[ 8 23] ; [24 94],[ 6.65771812 24.34228188] ; [25.34228188 92.65771812],0
u2,1,0.513414,0.427103,[8 4] ; [23 18],[7.01886792 4.98113208] ; [23.98113208 17.01886792],0
r1,1,0.52688,0.400406,[25  6] ; [88 29],[23.66891892  7.33108108] ; [89.33108108 27.66891892],0
