Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.005457,7.721534,[1 1] ; [ 1 32],[0.11428571 1.88571429] ; [ 1.88571429 31.11428571],0
s3,1,0.564746,0.331553,[1 1] ; [25 11],[1.36842105 0.63157895] ; [24.63157895 11.36842105],0
s2,1,0.628687,0.233846,[1 1] ; [24 12],[1.31578947 0.68421053] ; [23.68421053 12.31578947],0
a3,1,0.669489,0.182201,[1 1] ; [24 13],[1.28205128 0.71794872] ; [23.71794872 13.28205128],0
a6,1,0.730579,0.118581,[1 1] ; [23 14],[1.23076923 0.76923077] ; [22.76923077 14.23076923],0
p11,1,0.730579,0.118581,[1 1] ; [23 14],[1.23076923 0.76923077] ; [22.76923077 14.23076923],0
d3,1,0.791082,0.070175,[1 1] ; [22 15],[1.17948718 0.82051282] ; [21.82051282 15.17948718],0
p10,1,0.851116,0.035229,[1 1] ; [16 21],[0.87179487 1.12820513] ; [16.12820513 20.87179487],0
v2,1,0.877769,0.023654,[1 1] ; [20 16],[1.10526316 0.89473684] ; [19.89473684 16.10526316],0
b5,1,0.910808,0.012548,[1 1] ; [20 17],[1.07692308 0.92307692] ; [19.92307692 17.07692308],0
d1,1,0.910808,0.012548,[1 1] ; [20 17],[1.07692308 0.92307692] ; [19.92307692 17.07692308],0
p7,1,0.938959,0.005864,[1 1] ; [19 17],[1.05263158 0.94736842] ; [18.94736842 17.05263158],0
d2,1,0.970293,0.001387,[1 1] ; [19 18],[1.02564103 0.97435897] ; [18.97435897 18.02564103],0
