Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.2e-05,19.175684,[14 54] ; [25 15],[24.55555556 43.44444444] ; [14.44444444 25.55555556],1
p6,1,0.000196,13.871338,[ 7 61] ; [16 23],[14.61682243 53.38317757] ; [ 8.38317757 30.61682243],1
p8,1,0.001099,10.652754,[11 57] ; [18 22],[18.25925926 49.74074074] ; [10.74074074 29.25925926],0
p7,1,0.002574,9.08689,[16 49] ; [21 18],[23.125 41.875] ; [13.875 25.125],0
s8,1,0.045507,3.999769,[24 44] ; [22 18],[28.96296296 39.03703704] ; [17.03703704 22.96296296],0
s6,1,0.055559,3.665235,[36 32] ; [28 11],[40.6728972 27.3271028] ; [23.3271028 15.6728972],0
d5,1,0.065214,3.399567,[39 29] ; [30 10],[43.44444444 24.55555556] ; [25.55555556 14.44444444],0
v4,1,0.084758,2.971222,[57 11] ; [38  2],[59.81481481  8.18518519] ; [35.18518519  4.81481481],0
p5,1,0.089722,2.879363,[ 4 63] ; [ 6 31],[ 6.44230769 60.55769231] ; [ 3.55769231 33.44230769],0
p1,1,0.092521,2.829947,[ 8 60] ; [ 1 39],[ 5.66666667 62.33333333] ; [ 3.33333333 36.66666667],0
p10,1,0.125148,2.351679,[45 23] ; [32  8],[48.48148148 19.51851852] ; [28.51851852 11.48148148],0
s2,1,0.145943,2.114147,[28 39] ; [22 17],[31.60377358 35.39622642] ; [18.39622642 20.60377358],0
s5,1,0.189508,1.721438,[15 50] ; [13 24],[17.84313725 47.15686275] ; [10.15686275 26.84313725],0
p9,1,0.201539,1.631186,[46 21] ; [32  8],[48.8411215 18.1588785] ; [29.1588785 10.8411215],0
v1,1,0.229757,1.442363,[28 39] ; [20 17],[30.92307692 36.07692308] ; [17.07692308 19.92307692],0
d1,1,0.23186,1.429412,[31 37] ; [23 17],[34. 34.] ; [20. 20.],0
n6,1,0.238093,1.391852,[53 15] ; [34  5],[55.28971963 12.71028037] ; [31.71028037  7.28971963],0
n3,1,0.248381,1.332389,[13  9] ; [8 2],[14.4375  7.5625] ; [6.5625 3.4375],0
v3,1,0.275163,1.190824,[25 38] ; [11 27],[22.45544554 40.54455446] ; [13.54455446 24.45544554],0
a2,1,0.280017,1.167008,[12 56] ; [ 4 36],[10.07407407 57.92592593] ; [ 5.92592593 34.07407407],0
