Feature,DoF,P Value,Chi Square,Is Significant
p8,1,0.001669,9.882424,0
r3,1,0.00447,8.082336,0
n5,1,0.011123,6.445568,0
r4,1,0.012876,6.186117,0
n4,1,0.014265,6.004998,0
p7,1,0.053581,3.725713,0
p5,1,0.06419,3.425686,0
a6,1,0.073559,3.201771,0
s5,1,0.07978,3.069376,0
a5,1,0.089612,2.881324,0
p3,1,0.139766,2.180529,0
p9,1,0.152078,2.051285,0
p4,1,0.164876,1.928929,0
d4,1,0.175502,1.83531,0
s2,1,0.220054,1.504022,0
n6,1,0.234843,1.411284,0
v2,1,0.241761,1.370298,0
s7,1,0.250825,1.318704,0
p2,1,0.303303,1.059615,0
d1,1,0.335567,0.927296,0
b3,1,0.350948,0.870025,0
b2,1,0.350948,0.870025,0
a8,1,0.374349,0.789178,0
u2,1,0.425368,0.635436,0
d2,1,0.433961,0.6122,0
v4,1,0.437584,0.602609,0
a2,1,0.472089,0.517081,0
p1,1,0.484134,0.489537,0
u1,1,0.489805,0.476955,0
s6,1,0.491407,0.473445,0
a1,1,0.494899,0.465858,0
v3,1,0.501894,0.45093,0
r2,1,0.516361,0.421156,0
s1,1,0.51936,0.415164,0
p12,1,0.562921,0.334672,0
a4,1,0.567399,0.327053,0
b5,1,0.61971,0.246275,0
d5,1,0.621153,0.244251,0
a3,1,0.642347,0.215686,0
r1,1,0.656799,0.197436,0
s4,1,0.657014,0.197172,0
n1,1,0.665101,0.187386,0
v1,1,0.686304,0.163115,0
u3,1,0.731805,0.11746,0
n3,1,0.803511,0.061904,0
s3,1,0.820362,0.051565,0
d3,1,0.829812,0.046201,0
a7,1,0.860816,0.030742,0
p6,1,0.864559,0.029095,0
n2,1,0.903752,0.014622,0
b4,1,0.940295,0.00561,0
s8,1,0.958608,0.002694,0
