Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001766,9.777778,[ 5 28] ; [7 4],[ 9. 24.] ; [3. 8.],0
s6,1,0.003936,8.312968,[ 9 27] ; [8 3],[13.0212766 22.9787234] ; [3.9787234 7.0212766],0
v3,1,0.007368,7.181038,[ 2 34] ; [4 7],[ 4.59574468 31.40425532] ; [1.40425532 9.59574468],0
p9,1,0.012861,6.188066,[17 18] ; [10  1],[20.54347826 14.45652174] ; [6.45652174 4.54347826],0
p11,1,0.019729,5.43573,[15 21] ; [9 2],[18.38297872 17.61702128] ; [5.61702128 5.38297872],0
p8,1,0.046331,3.969527,[ 8 27] ; [6 5],[10.65217391 24.34782609] ; [3.34782609 7.65217391],0
r3,1,0.102664,2.663657,[19 16] ; [9 2],[21.30434783 13.69565217] ; [6.69565217 4.30434783],0
p2,1,0.116836,2.459228,[20 16] ; [9 2],[22.21276596 13.78723404] ; [6.78723404 4.21276596],0
v4,1,0.137893,2.201318,[17 19] ; [8 3],[19.14893617 16.85106383] ; [5.85106383 5.14893617],0
r4,1,0.162415,1.951597,[ 6 30] ; [4 7],[ 7.65957447 28.34042553] ; [2.34042553 8.65957447],0
a5,1,0.201241,1.633347,[15 21] ; [7 4],[16.85106383 19.14893617] ; [5.14893617 5.85106383],0
b3,1,0.207673,1.587576,[ 6 19] ; [3 3],[ 7.25806452 17.74193548] ; [1.74193548 4.25806452],0
b2,1,0.207673,1.587576,[ 6 19] ; [3 3],[ 7.25806452 17.74193548] ; [1.74193548 4.25806452],0
n1,1,0.240575,1.377219,[ 3 10] ; [3 3],[4.10526316 8.89473684] ; [1.89473684 4.10526316],0
s2,1,0.246081,1.345418,[ 7 29] ; [4 7],[ 8.42553191 27.57446809] ; [2.57446809 8.42553191],0
n2,1,0.2524,1.309972,[5 8] ; [4 2],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
r1,1,0.271016,1.211595,[10 26] ; [5 6],[11.4893617 24.5106383] ; [3.5106383 7.4893617],0
p4,1,0.275556,1.188877,[13 23] ; [6 5],[14.55319149 21.44680851] ; [4.44680851 6.55319149],0
s5,1,0.30127,1.068562,[ 5 31] ; [3 8],[ 6.12765957 29.87234043] ; [1.87234043 9.12765957],0
d4,1,0.309785,1.031594,[20 16] ; [8 3],[21.44680851 14.55319149] ; [6.55319149 4.44680851],0
a4,1,0.332692,0.93839,[ 8 28] ; [ 1 10],[ 6.89361702 29.10638298] ; [2.10638298 8.89361702],0
b5,1,0.358006,0.844875,[22 14] ; [5 6],[20.68085106 15.31914894] ; [6.31914894 4.68085106],0
a3,1,0.39596,0.720559,[14 21] ; [6 5],[15.2173913 19.7826087] ; [4.7826087 6.2173913],0
n3,1,0.405187,0.692877,[6 7] ; [4 2],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
u3,1,0.426285,0.632922,[ 5 17] ; [2 3],[ 5.7037037 16.2962963] ; [1.2962963 3.7037037],0
p7,1,0.452095,0.565393,[15 21] ; [6 5],[16.08510638 19.91489362] ; [4.91489362 6.08510638],0
s4,1,0.536805,0.381494,[ 6 30] ; [ 1 10],[ 5.36170213 30.63829787] ; [1.63829787 9.36170213],0
d1,1,0.536805,0.381494,[ 6 30] ; [ 1 10],[ 5.36170213 30.63829787] ; [1.63829787 9.36170213],0
n4,1,0.556802,0.345271,[16 20] ; [6 5],[16.85106383 19.14893617] ; [5.14893617 5.85106383],0
n5,1,0.556802,0.345271,[20 16] ; [5 6],[19.14893617 16.85106383] ; [5.85106383 5.14893617],0
b1,1,0.576903,0.311269,[23 13] ; [6 5],[22.21276596 13.78723404] ; [6.78723404 4.21276596],0
s3,1,0.624186,0.240028,[10 25] ; [4 7],[10.65217391 24.34782609] ; [3.34782609 7.65217391],0
d5,1,0.635207,0.225065,[16 20] ; [4 7],[15.31914894 20.68085106] ; [4.68085106 6.31914894],0
b4,1,0.69776,0.150813,[22 14] ; [6 5],[21.44680851 14.55319149] ; [6.55319149 4.44680851],0
d3,1,0.69776,0.150813,[14 22] ; [5 6],[14.55319149 21.44680851] ; [4.44680851 6.55319149],0
d2,1,0.774447,0.082118,[ 8 28] ; [2 9],[ 7.65957447 28.34042553] ; [2.34042553 8.65957447],0
a7,1,0.824018,0.049453,[15 21] ; [5 6],[15.31914894 20.68085106] ; [4.68085106 6.31914894],0
p5,1,0.827992,0.047209,[ 4 31] ; [ 1 10],[ 3.80434783 31.19565217] ; [1.19565217 9.80434783],0
p6,1,0.827992,0.047209,[ 4 31] ; [ 1 10],[ 3.80434783 31.19565217] ; [1.19565217 9.80434783],0
n6,1,0.829333,0.046465,[21 14] ; [7 4],[21.30434783 13.69565217] ; [6.69565217 4.30434783],0
p3,1,0.834944,0.043416,[11 25] ; [3 8],[10.72340426 25.27659574] ; [3.27659574 7.72340426],0
v1,1,0.906841,0.013695,[ 6 30] ; [2 9],[ 6.12765957 29.87234043] ; [1.87234043 9.12765957],0
p1,1,0.937187,0.00621,[ 3 33] ; [ 1 10],[ 3.06382979 32.93617021] ; [ 0.93617021 10.06382979],0
s1,1,0.937187,0.00621,[ 3 33] ; [ 1 10],[ 3.06382979 32.93617021] ; [ 0.93617021 10.06382979],0
a6,1,0.952972,0.003478,[16 20] ; [5 6],[16.08510638 19.91489362] ; [4.91489362 6.08510638],0
a8,1,0.967835,0.001626,[ 6 28] ; [2 9],[ 6.04444444 27.95555556] ; [1.95555556 9.04444444],0
