Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,7.2e-05,15.751442,[ 4 22] ; [17  7],[10.92 15.08] ; [10.08 13.92],1
v4,1,0.000721,11.435178,[14 12] ; [23  1],[19.24  6.76] ; [17.76  6.24],1
p9,1,0.001067,10.706683,[ 9 16] ; [19  4],[14.58333333 10.41666667] ; [13.41666667  9.58333333],0
p4,1,0.001245,10.421969,[ 3 23] ; [13 11],[ 8.32 17.68] ; [ 7.68 16.32],0
p10,1,0.001521,10.052968,[ 9 17] ; [19  5],[14.56 11.44] ; [13.44 10.56],0
p7,1,0.002701,8.998957,[ 3 22] ; [12 11],[ 7.8125 17.1875] ; [ 7.1875 15.8125],0
p3,1,0.003826,8.364756,[ 4 22] ; [13 11],[ 8.84 17.16] ; [ 8.16 15.84],0
s2,1,0.006969,7.280856,[ 3 23] ; [11 13],[ 7.28 18.72] ; [ 6.72 17.28],0
n6,1,0.013328,6.125,[10 15] ; [18  6],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
s6,1,0.015616,5.845591,[ 5 21] ; [12 11],[ 9.02040816 16.97959184] ; [ 7.97959184 15.02040816],0
b5,1,0.02354,5.128205,[ 9 17] ; [16  8],[13. 13.] ; [12. 12.],0
p6,1,0.02354,5.128205,[ 2 24] ; [ 8 16],[ 5.2 20.8] ; [ 4.8 19.2],0
s8,1,0.024993,5.024349,[ 3 23] ; [ 9 14],[ 6.36734694 19.63265306] ; [ 5.63265306 17.36734694],0
s5,1,0.031757,4.611589,[ 3 23] ; [ 9 15],[ 6.24 19.76] ; [ 5.76 18.24],0
p8,1,0.035395,4.426021,[ 7 19] ; [13 10],[10.6122449 15.3877551] ; [ 9.3877551 13.6122449],0
u3,1,0.039962,4.219481,[1 7] ; [6 4],[3.11111111 4.88888889] ; [3.88888889 6.11111111],0
s7,1,0.044517,4.036828,[ 4 20] ; [10 13],[ 7.14893617 16.85106383] ; [ 6.85106383 16.14893617],0
a1,1,0.054196,3.706662,[ 6 20] ; [ 1 23],[ 3.64 22.36] ; [ 3.36 20.64],0
a4,1,0.066193,3.375,[11 13] ; [ 5 19],[ 8. 16.] ; [ 8. 16.],0
s4,1,0.095353,2.781593,[ 2 24] ; [ 6 18],[ 4.16 21.84] ; [ 3.84 20.16],0
v2,1,0.101438,2.682793,[ 3 23] ; [ 7 16],[ 5.30612245 20.69387755] ; [ 4.69387755 18.30612245],0
s1,1,0.101497,2.681867,[ 5 21] ; [ 1 23],[ 3.12 22.88] ; [ 2.88 21.12],0
s3,1,0.103517,2.650512,[ 6 18] ; [11 12],[ 8.68085106 15.31914894] ; [ 8.31914894 14.68085106],0
d1,1,0.119499,2.423878,[12 14] ; [ 6 18],[ 9.36 16.64] ; [ 8.64 15.36],0
n3,1,0.135575,2.227482,[5 8] ; [10  5],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
a6,1,0.153346,2.038646,[15 11] ; [ 9 15],[12.48 13.52] ; [11.52 12.48],0
r4,1,0.15918,1.981995,[ 6 20] ; [10 14],[ 8.32 17.68] ; [ 7.68 16.32],0
a2,1,0.186505,1.745014,[ 4 22] ; [ 1 23],[ 2.6 23.4] ; [ 2.4 21.6],0
n4,1,0.266192,1.236264,[20  6] ; [15  9],[18.2  7.8] ; [16.8  7.2],0
v3,1,0.277129,1.181114,[ 8 18] ; [ 4 19],[ 6.36734694 19.63265306] ; [ 5.63265306 17.36734694],0
a3,1,0.315041,1.009424,[18  7] ; [14 10],[16.32653061  8.67346939] ; [15.67346939  8.32653061],0
b3,1,0.357617,0.846245,[ 8 10] ; [ 5 12],[ 6.68571429 11.31428571] ; [ 6.31428571 10.68571429],0
b2,1,0.357617,0.846245,[ 8 10] ; [ 5 12],[ 6.68571429 11.31428571] ; [ 6.31428571 10.68571429],0
n2,1,0.359339,0.840201,[8 6] ; [11  4],[9.17241379 4.82758621] ; [9.82758621 5.17241379],0
n5,1,0.411152,0.675467,[21  5] ; [17  7],[19.76  6.24] ; [18.24  5.76],0
v1,1,0.422536,0.643251,[ 8 18] ; [10 14],[ 9.36 16.64] ; [ 8.64 15.36],0
p1,1,0.516601,0.420673,[ 5 21] ; [ 3 21],[ 4.16 21.84] ; [ 3.84 20.16],0
d5,1,0.597746,0.278409,[16 10] ; [13 11],[15.08 10.92] ; [13.92 10.08],0
d2,1,0.65591,0.19853,[12 13] ; [10 14],[11.2244898 13.7755102] ; [10.7755102 13.2244898],0
b1,1,0.749465,0.101981,[14 12] ; [14 10],[14.56 11.44] ; [13.44 10.56],0
d3,1,0.768278,0.086806,[13 13] ; [11 13],[12.48 13.52] ; [11.52 12.48],0
p5,1,0.768999,0.086251,[ 4 22] ; [ 3 21],[ 3.64 22.36] ; [ 3.36 20.64],0
d4,1,0.78565,0.073964,[14 12] ; [12 12],[13.52 12.48] ; [12.48 11.52],0
a7,1,0.78565,0.073964,[14 12] ; [12 12],[13.52 12.48] ; [12.48 11.52],0
n1,1,0.812126,0.056494,[9 5] ; [9 6],[8.68965517 5.31034483] ; [9.31034483 5.68965517],0
a5,1,0.944208,0.004897,[16 10] ; [15  9],[16.12  9.88] ; [14.88  9.12],0
u1,1,0.953923,0.003339,[ 1 25] ; [ 1 23],[ 1.04 24.96] ; [ 0.96 23.04],0
b4,1,0.963404,0.002105,[15 11] ; [14 10],[15.08 10.92] ; [13.92 10.08],0
r1,1,0.981875,0.000516,[12 14] ; [11 13],[11.96 14.04] ; [11.04 12.96],0
