Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.9e-05,16.938343,[57  2] ; [20 11],[50.47777778  8.52222222] ; [26.52222222  4.47777778],1
r2,1,0.000259,13.343598,[55  4] ; [18 11],[48.94318182 10.05681818] ; [24.05681818  4.94318182],1
v3,1,0.01979,5.430307,[23 34] ; [ 5 26],[18.13636364 38.86363636] ; [ 9.86363636 21.13636364],0
b1,1,0.029807,4.72039,[22 37] ; [19 12],[26.87777778 32.12222222] ; [14.12222222 16.87777778],0
b4,1,0.040927,4.179051,[38 21] ; [13 18],[33.43333333 25.56666667] ; [17.56666667 13.43333333],0
p10,1,0.049527,3.857393,[48 11] ; [18 11],[44.25 14.75] ; [21.75  7.25],0
b3,1,0.054615,3.693812,[16 23] ; [ 3 16],[12.77586207 26.22413793] ; [ 6.22413793 12.77586207],0
b2,1,0.054615,3.693812,[16 23] ; [ 3 16],[12.77586207 26.22413793] ; [ 6.22413793 12.77586207],0
p9,1,0.091706,2.844177,[52  7] ; [23  8],[49.16666667  9.83333333] ; [25.83333333  5.16666667],0
d5,1,0.146769,2.105519,[48 11] ; [21 10],[45.23333333 13.76666667] ; [23.76666667  7.23333333],0
n6,1,0.160085,1.97342,[52  7] ; [23  7],[49.71910112  9.28089888] ; [25.28089888  4.71910112],0
p11,1,0.170341,1.879939,[46 13] ; [20 11],[43.26666667 15.73333333] ; [22.73333333  8.26666667],0
s5,1,0.19943,1.646546,[19 35] ; [ 6 22],[16.46341463 37.53658537] ; [ 8.53658537 19.46341463],0
s7,1,0.199913,1.643008,[30 25] ; [12 18],[27.17647059 27.82352941] ; [14.82352941 15.17647059],0
s1,1,0.215931,1.531213,[ 2 57] ; [ 3 28],[ 3.27777778 55.72222222] ; [ 1.72222222 29.27777778],0
p2,1,0.224249,1.47697,[50  9] ; [23  8],[47.85555556 11.14444444] ; [25.14444444  5.85555556],0
v1,1,0.224871,1.473011,[34 24] ; [14 17],[31.28089888 26.71910112] ; [16.71910112 14.28089888],0
a7,1,0.225442,1.469389,[40 19] ; [17 14],[37.36666667 21.63333333] ; [19.63333333 11.36666667],0
a1,1,0.242495,1.36603,[ 6 53] ; [ 1 30],[ 4.58888889 54.41111111] ; [ 2.41111111 28.58888889],0
p5,1,0.251536,1.314752,[11 47] ; [ 3 28],[ 9.12359551 48.87640449] ; [ 4.87640449 26.12359551],0
p1,1,0.264727,1.24387,[11 48] ; [ 3 28],[ 9.17777778 49.82222222] ; [ 4.82222222 26.17777778],0
a4,1,0.27221,1.205577,[22 37] ; [ 8 23],[19.66666667 39.33333333] ; [10.33333333 20.66666667],0
s6,1,0.273608,1.198566,[38 19] ; [17 14],[35.625 21.375] ; [19.375 11.625],0
b5,1,0.294987,1.096721,[39 20] ; [17 14],[36.71111111 22.28888889] ; [19.28888889 11.71111111],0
a2,1,0.307937,1.039502,[ 8 51] ; [ 2 29],[ 6.55555556 52.44444444] ; [ 3.44444444 27.55555556],0
s4,1,0.318172,0.996446,[10 49] ; [ 8 23],[11.8 47.2] ; [ 6.2 24.8],0
d2,1,0.319738,0.990016,[23 35] ; [ 9 22],[20.85393258 37.14606742] ; [11.14606742 19.85393258],0
s8,1,0.34816,0.880152,[27 32] ; [11 20],[24.91111111 34.08888889] ; [13.08888889 17.91111111],0
n5,1,0.354328,0.857896,[43 16] ; [19 11],[41.1011236 17.8988764] ; [20.8988764  9.1011236],0
p6,1,0.374865,0.787475,[27 31] ; [11 19],[25.04545455 32.95454545] ; [12.95454545 17.04545455],0
v2,1,0.387384,0.747139,[28 30] ; [12 19],[26.06741573 31.93258427] ; [13.93258427 17.06741573],0
n4,1,0.410558,0.677185,[43 16] ; [20 11],[41.3 17.7] ; [21.7  9.3],0
d4,1,0.415417,0.663245,[43 16] ; [25  6],[44.57777778 14.42222222] ; [23.42222222  7.57777778],0
