Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.3e-05,17.920581,[58  5] ; [39 26],[47.7421875 15.2578125] ; [49.2578125 15.7421875],1
p2,1,5.4e-05,16.306424,[44 20] ; [22 44],[32.49230769 31.50769231] ; [33.50769231 32.49230769],1
r4,1,0.000464,12.256685,[50 14] ; [32 34],[40.36923077 23.63076923] ; [41.63076923 24.36923077],1
p7,1,0.002723,8.984244,[32 31] ; [16 48],[23.81102362 39.18897638] ; [24.18897638 39.81102362],0
p10,1,0.005396,7.741841,[22 41] ; [ 9 56],[15.2578125 47.7421875] ; [15.7421875 49.2578125],0
v4,1,0.006936,7.289552,[55  8] ; [43 21],[48.61417323 14.38582677] ; [49.38582677 14.61417323],0
n3,1,0.020921,5.333344,[15  5] ; [14 19],[10.94339623  9.05660377] ; [18.05660377 14.94339623],0
n6,1,0.022054,5.241543,[46 18] ; [34 31],[39.68992248 24.31007752] ; [40.31007752 24.68992248],0
b4,1,0.028201,4.815742,[45 19] ; [34 32],[38.89230769 25.10769231] ; [40.10769231 25.89230769],0
p6,1,0.028866,4.775604,[15 49] ; [ 6 59],[10.41860465 53.58139535] ; [10.58139535 54.41860465],0
a1,1,0.031945,4.601467,[ 1 63] ; [ 7 59],[ 3.93846154 60.06153846] ; [ 4.06153846 61.93846154],0
b1,1,0.03566,4.413298,[27 37] ; [40 26],[32.98461538 31.01538462] ; [34.01538462 31.98461538],0
u3,1,0.165205,1.925926,[16 11] ; [10 15],[13.5 13.5] ; [12.5 12.5],0
s2,1,0.174637,1.842684,[20 43] ; [14 52],[16.60465116 46.39534884] ; [17.39534884 48.60465116],0
s3,1,0.180639,1.792356,[28 36] ; [21 44],[24.31007752 39.68992248] ; [24.68992248 40.31007752],0
n2,1,0.19023,1.715832,[13  6] ; [18 18],[10.70909091  8.29090909] ; [20.29090909 15.70909091],0
s4,1,0.212836,1.552032,[ 5 57] ; [10 56],[ 7.265625 54.734375] ; [ 7.734375 58.265625],0
