Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.6e-05,17.069022,[ 8 15] ; [52 12],[15.86206897  7.13793103] ; [44.13793103 19.86206897],1
n6,1,0.001657,9.895085,[13 10] ; [56  8],[18.24137931  4.75862069] ; [50.75862069 13.24137931],0
p9,1,0.021387,5.294945,[14  9] ; [53 10],[17.91860465  5.08139535] ; [49.08139535 13.91860465],0
p2,1,0.021542,5.282432,[13 10] ; [51 12],[17.11627907  5.88372093] ; [46.88372093 16.11627907],0
n3,1,0.023886,5.102922,[6 5] ; [18  2],[8.51612903 2.48387097] ; [15.48387097  4.51612903],0
v3,1,0.035976,4.398258,[ 6 16] ; [34 30],[10.23255814 11.76744186] ; [29.76744186 34.23255814],0
p11,1,0.050107,3.837874,[14  9] ; [52 12],[17.44827586  5.55172414] ; [48.55172414 15.44827586],0
u2,1,0.077121,3.124546,[2 7] ; [11  8],[4.17857143 4.82142857] ; [ 8.82142857 10.17857143],0
p10,1,0.082998,3.005201,[13 10] ; [47 15],[16.23529412  6.76470588] ; [43.76470588 18.23529412],0
r4,1,0.085588,2.955453,[10 13] ; [41 23],[13.48275862  9.51724138] ; [37.51724138 26.48275862],0
d4,1,0.124454,2.360356,[16  7] ; [54 10],[18.50574713  4.49425287] ; [51.49425287 12.50574713],0
u3,1,0.183677,1.767619,[6 3] ; [ 8 12],[4.34482759 4.65517241] ; [ 9.65517241 10.34482759],0
s4,1,0.190404,1.714487,[ 6 17] ; [ 9 55],[ 3.96551724 19.03448276] ; [11.03448276 52.96551724],0
v1,1,0.202762,1.622366,[12 11] ; [41 20],[14.51190476  8.48809524] ; [38.48809524 22.51190476],0
p5,1,0.210263,1.569614,[ 1 22] ; [ 9 55],[ 2.64367816 20.35632184] ; [ 7.35632184 56.64367816],0
p3,1,0.243047,1.362835,[ 8 14] ; [32 31],[10.35294118 11.64705882] ; [29.64705882 33.35294118],0
s5,1,0.315567,1.007231,[ 8 14] ; [14 42],[ 6.20512821 15.79487179] ; [15.79487179 40.20512821],0
n2,1,0.319135,0.99249,[7 4] ; [16  4],[8.16129032 2.83870968] ; [14.83870968  5.16129032],0
s7,1,0.334963,0.929614,[ 8 15] ; [27 31],[ 9.9382716 13.0617284] ; [25.0617284 32.9382716],0
d1,1,0.338175,0.917338,[11 12] ; [38 26],[12.95402299 10.04597701] ; [36.04597701 27.95402299],0
