Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,45.796154,[83 22] ; [ 8 34],[65. 40.] ; [26. 16.],1
s2,1,0.00014,14.503113,[68 38] ; [12 29],[57.68707483 48.31292517] ; [22.31292517 18.68707483],1
s7,1,0.001088,10.672197,[59 42] ; [10 27],[50.5 50.5] ; [18.5 18.5],0
s8,1,0.0038,8.376798,[51 55] ; [ 9 32],[43.26530612 62.73469388] ; [16.73469388 24.26530612],0
s6,1,0.004071,8.251954,[76 27] ; [20 21],[68.66666667 34.33333333] ; [27.33333333 13.66666667],0
s5,1,0.004211,8.190346,[42 57] ; [ 7 34],[34.65 64.35] ; [14.35 26.65],0
n6,1,0.012594,6.225205,[82 21] ; [25 17],[76.00689655 26.99310345] ; [30.99310345 11.00689655],0
r2,1,0.017245,5.671296,[100   5] ; [35  7],[96.42857143  8.57142857] ; [38.57142857  3.42857143],0
b1,1,0.024833,5.035473,[49 57] ; [28 14],[55.14864865 50.85135135] ; [21.85135135 20.14864865],0
a5,1,0.038514,4.282169,[70 36] ; [20 22],[64.45945946 41.54054054] ; [25.54054054 16.45945946],0
v4,1,0.040424,4.200012,[101   5] ; [35  6],[98.06802721  7.93197279] ; [37.93197279  3.06802721],0
n5,1,0.070725,3.266107,[71 33] ; [22 20],[66.24657534 37.75342466] ; [26.75342466 15.24657534],0
p6,1,0.076713,3.133192,[42 63] ; [10 31],[37.39726027 67.60273973] ; [14.60273973 26.39726027],0
s3,1,0.082568,3.013611,[64 41] ; [19 23],[59.28571429 45.71428571] ; [23.71428571 18.28571429],0
r4,1,0.082704,3.010946,[91 15] ; [31 11],[87.37837838 18.62162162] ; [34.62162162  7.37837838],0
a4,1,0.15267,2.045365,[49 57] ; [14 28],[45.12162162 60.87837838] ; [17.87837838 24.12162162],0
d5,1,0.198449,1.65375,[83 22] ; [29 13],[80. 25.] ; [32. 10.],0
a3,1,0.230494,1.437812,[68 36] ; [23 19],[64.82191781 39.17808219] ; [26.17808219 15.82191781],0
p4,1,0.268382,1.225,[63 42] ; [21 21],[60. 45.] ; [24. 18.],0
a8,1,0.270709,1.213149,[11 82] ; [ 2 35],[ 9.3 83.7] ; [ 3.7 33.3],0
d4,1,0.272277,1.20524,[84 22] ; [29 12],[81.4829932 24.5170068] ; [31.5170068  9.4829932],0
b3,1,0.275994,1.186711,[14 31] ; [ 5 21],[12.04225352 32.95774648] ; [ 6.95774648 19.04225352],0
b2,1,0.275994,1.186711,[14 31] ; [ 5 21],[12.04225352 32.95774648] ; [ 6.95774648 19.04225352],0
p5,1,0.276567,1.183885,[11 95] ; [ 2 40],[ 9.31081081 96.68918919] ; [ 3.68918919 38.31081081],0
a1,1,0.330844,0.945592,[  2 104] ; [ 2 40],[  2.86486486 103.13513514] ; [ 1.13513514 40.86486486],0
u3,1,0.342716,0.900244,[20 16] ; [ 8 11],[18.32727273 17.67272727] ; [9.67272727 9.32727273],0
d1,1,0.348954,0.877259,[57 49] ; [19 23],[54.43243243 51.56756757] ; [21.56756757 20.43243243],0
s4,1,0.355134,0.855026,[21 85] ; [11 30],[23.07482993 82.92517007] ; [ 8.92517007 32.07482993],0
n4,1,0.393657,0.727617,[72 32] ; [26 16],[69.80821918 34.19178082] ; [28.19178082 13.80821918],0
u2,1,0.440161,0.595862,[18 18] ; [ 7 11],[16.66666667 19.33333333] ; [8.33333333 9.66666667],0
a7,1,0.491452,0.473345,[76 29] ; [28 14],[74.28571429 30.71428571] ; [29.71428571 12.28571429],0
s1,1,0.503716,0.447098,[ 5 99] ; [ 1 41],[ 4.2739726 99.7260274] ; [ 1.7260274 40.2739726],0
u1,1,0.508988,0.436148,[20 86] ; [ 6 36],[18.62162162 87.37837838] ; [ 7.37837838 34.62162162],0
r3,1,0.533964,0.386842,[96  9] ; [37  5],[95. 10.] ; [38.  4.],0
v1,1,0.566019,0.329389,[53 52] ; [19 23],[51.42857143 53.57142857] ; [20.57142857 21.42857143],0
d2,1,0.601297,0.273044,[53 53] ; [19 23],[51.56756757 54.43243243] ; [20.43243243 21.56756757],0
n1,1,0.625893,0.237671,[14 19] ; [ 6 11],[13.2 19.8] ; [ 6.8 10.2],0
n3,1,0.674424,0.176471,[22 12] ; [12  5],[22.66666667 11.33333333] ; [11.33333333  5.66666667],0
d3,1,0.67622,0.174413,[73 31] ; [28 14],[71.94520548 32.05479452] ; [29.05479452 12.94520548],0
p3,1,0.717839,0.130573,[47 59] ; [20 22],[47.98648649 58.01351351] ; [19.01351351 22.98648649],0
v2,1,0.732051,0.117237,[48 54] ; [18 23],[47.07692308 54.92307692] ; [18.92307692 22.07692308],0
b5,1,0.754613,0.097695,[71 35] ; [27 15],[70.18918919 35.81081081] ; [27.81081081 14.18918919],0
v3,1,0.75629,0.096321,[34 70] ; [12 28],[33.22222222 70.77777778] ; [12.77777778 27.22222222],0
a6,1,0.757432,0.095392,[66 40] ; [25 17],[65.17567568 40.82432432] ; [25.82432432 16.17567568],0
p1,1,0.775051,0.081667,[ 9 96] ; [ 3 39],[ 8.57142857 96.42857143] ; [ 3.42857143 38.57142857],0
a2,1,0.778598,0.079043,[25 81] ; [ 9 33],[24.35135135 81.64864865] ; [ 9.64864865 32.35135135],0
u4,1,0.847489,0.036988,[  2 104] ; [ 1 41],[  2.14864865 103.85135135] ; [ 0.85135135 41.14864865],0
r1,1,0.856921,0.032506,[79 26] ; [31 11],[78.57142857 26.42857143] ; [31.42857143 10.57142857],0
b4,1,0.908342,0.013255,[62 44] ; [25 17],[62.31081081 43.68918919] ; [24.68918919 17.31081081],0
p7,1,0.916209,0.011069,[59 46] ; [24 18],[59.28571429 45.71428571] ; [23.71428571 18.28571429],0
n2,1,1.0,0.0,[24 10] ; [12  5],[24. 10.] ; [12.  5.],0
p8,1,1.0,0.0,[40 65] ; [16 26],[40. 65.] ; [16. 26.],0
