Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.6e-05,16.245837,[ 8 24] ; [26  9],[16.23880597 15.76119403] ; [17.76119403 17.23880597],1
b3,1,0.358597,0.8428,[9 9] ; [ 9 16],[ 7.53488372 10.46511628] ; [10.46511628 14.53488372],0
n6,1,0.429441,0.624336,[24  8] ; [29  6],[25.31343284  6.68656716] ; [27.68656716  7.31343284],0
a2,1,0.458385,0.549834,[ 2 30] ; [ 4 31],[ 2.86567164 29.13432836] ; [ 3.13432836 31.86567164],0
p12,1,0.458385,0.549834,[ 2 30] ; [ 4 31],[ 2.86567164 29.13432836] ; [ 3.13432836 31.86567164],0
b4,1,0.476674,0.506462,[21 11] ; [20 15],[19.58208955 12.41791045] ; [21.41791045 13.58208955],0
p8,1,0.495913,0.463671,[20 12] ; [19 16],[18.62686567 13.37313433] ; [20.37313433 14.62686567],0
n2,1,0.562343,0.335664,[8 5] ; [8 3],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
a7,1,0.569165,0.324082,[21 11] ; [20 14],[19.87878788 12.12121212] ; [21.12121212 12.87878788],0
a3,1,0.581811,0.303317,[18 14] ; [22 13],[19.10447761 12.89552239] ; [20.89552239 14.10447761],0
p7,1,0.60837,0.262555,[21 10] ; [25  9],[21.93846154  9.06153846] ; [24.06153846  9.93846154],0
n5,1,0.614644,0.253468,[23  8] ; [24 11],[22.07575758  8.92424242] ; [24.92424242 10.07575758],0
b1,1,0.692579,0.156308,[14 18] ; [17 18],[14.80597015 17.19402985] ; [16.19402985 18.80597015],0
a8,1,0.754247,0.097997,[ 3 28] ; [ 4 29],[ 3.390625 27.609375] ; [ 3.609375 29.390625],0
d2,1,0.770168,0.085355,[13 19] ; [13 22],[12.41791045 19.58208955] ; [13.58208955 21.41791045],0
v4,1,0.783706,0.075347,[29  3] ; [31  4],[28.65671642  3.34328358] ; [31.34328358  3.65671642],0
n4,1,0.791552,0.069852,[22 10] ; [23 12],[21.49253731 10.50746269] ; [23.50746269 11.49253731],0
p4,1,0.810855,0.057276,[22 10] ; [25 10],[22.44776119  9.55223881] ; [24.55223881 10.44776119],0
a4,1,0.813417,0.055706,[11 21] ; [13 22],[11.46268657 20.53731343] ; [12.53731343 22.46268657],0
n1,1,0.827435,0.047521,[6 6] ; [5 6],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
p1,1,0.830467,0.04584,[ 4 28] ; [ 5 30],[ 4.29850746 27.70149254] ; [ 4.70149254 30.29850746],0
p2,1,0.863935,0.029367,[26  6] ; [29  6],[26.26865672  5.73134328] ; [28.73134328  6.26865672],0
r2,1,0.889014,0.019475,[27  4] ; [30  4],[27.18461538  3.81538462] ; [29.81538462  4.18461538],0
p5,1,0.892537,0.018251,[ 4 28] ; [ 4 31],[ 3.82089552 28.17910448] ; [ 4.17910448 30.82089552],0
p11,1,0.89717,0.016702,[26  6] ; [28  7],[25.79104478  6.20895522] ; [28.20895522  6.79104478],0
a6,1,0.958451,0.002714,[19 13] ; [21 14],[19.10447761 12.89552239] ; [20.89552239 14.10447761],0
v3,1,0.968679,0.001542,[12 19] ; [13 21],[11.92307692 19.07692308] ; [13.07692308 20.92307692],0
