Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003241,8.666705,[95 23] ; [17 14],[88.69798658 29.30201342] ; [23.30201342  7.69798658],0
n4,1,0.016626,5.735441,[99 19] ; [20 11],[94.24161074 23.75838926] ; [24.75838926  6.24161074],0
p10,1,0.028745,4.782814,[90 26] ; [18 13],[85.2244898 30.7755102] ; [22.7755102  8.2244898],0
p9,1,0.051292,3.798702,[96 19] ; [21 10],[92.15753425 22.84246575] ; [24.84246575  6.15753425],0
d5,1,0.072527,3.224892,[103  15] ; [23  8],[99.7852349 18.2147651] ; [26.2147651  4.7852349],0
v1,1,0.129419,2.299456,[63 51] ; [11 17],[59.4084507 54.5915493] ; [14.5915493 13.4084507],0
u1,1,0.130488,2.286693,[20 98] ; [ 9 22],[22.96644295 95.03355705] ; [ 6.03355705 24.96644295],0
p11,1,0.134059,2.24486,[85 33] ; [18 13],[81.5704698 36.4295302] ; [21.4295302  9.5704698],0
a7,1,0.151978,2.052286,[91 27] ; [20 11],[87.90604027 30.09395973] ; [23.09395973  7.90604027],0
p1,1,0.154873,2.023581,[ 14 104] ; [ 1 30],[ 11.87919463 106.12080537] ; [ 3.12080537 27.87919463],0
p8,1,0.161262,1.962353,[42 75] ; [ 7 24],[38.73648649 78.26351351] ; [10.26351351 20.73648649],0
d3,1,0.20804,1.585011,[86 32] ; [19 12],[83.15436242 34.84563758] ; [21.84563758  9.15436242],0
p5,1,0.213491,1.547595,[ 13 105] ; [ 1 28],[ 11.23809524 106.76190476] ; [ 2.76190476 26.23809524],0
b3,1,0.240719,1.376377,[24 49] ; [ 9 10],[26.18478261 46.81521739] ; [ 6.81521739 12.18478261],0
b2,1,0.240719,1.376377,[24 49] ; [ 9 10],[26.18478261 46.81521739] ; [ 6.81521739 12.18478261],0
r2,1,0.262684,1.254556,[106  11] ; [30  1],[107.51351351   9.48648649] ; [28.48648649  2.51351351],0
u4,1,0.282117,1.156864,[  3 115] ; [ 2 29],[  3.95973154 114.04026846] ; [ 1.04026846 29.95973154],0
v3,1,0.314358,1.012275,[37 76] ; [12 16],[39.26950355 73.73049645] ; [ 9.73049645 18.26950355],0
s4,1,0.316073,1.005128,[ 15 102] ; [ 6 24],[ 16.71428571 100.28571429] ; [ 4.28571429 25.71428571],0
b4,1,0.392201,0.732107,[70 48] ; [21 10],[72.06711409 45.93288591] ; [18.93288591 12.06711409],0
