Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,34.267241,[44 14] ; [ 9 39],[29. 29.] ; [24. 24.],1
p11,1,9.5e-05,15.229885,[39 19] ; [14 34],[29. 29.] ; [24. 24.],1
s7,1,0.003476,8.539323,[19 35] ; [ 4 38],[12.9375 41.0625] ; [10.0625 31.9375],0
r3,1,0.003672,8.439071,[52  6] ; [32 16],[45.96226415 12.03773585] ; [38.03773585  9.96226415],0
p2,1,0.006259,7.474244,[40 17] ; [21 27],[33.11428571 23.88571429] ; [27.88571429 20.11428571],0
n2,1,0.006435,7.424242,[15  3] ; [ 9 13],[10.8  7.2] ; [13.2  8.8],0
b5,1,0.008332,6.960601,[39 19] ; [20 28],[32.28301887 25.71698113] ; [26.71698113 21.28301887],0
r4,1,0.010572,6.535846,[44 14] ; [25 23],[37.75471698 20.24528302] ; [31.24528302 16.75471698],0
d3,1,0.014445,5.982929,[40 16] ; [23 25],[33.92307692 22.07692308] ; [29.07692308 18.92307692],0
p7,1,0.022707,5.190781,[33 22] ; [18 30],[27.23300971 27.76699029] ; [23.76699029 24.23300971],0
v4,1,0.026678,4.911523,[49  9] ; [31 16],[44.19047619 13.80952381] ; [35.80952381 11.19047619],0
s6,1,0.045259,4.00895,[28 30] ; [14 34],[22.98113208 35.01886792] ; [19.01886792 28.98113208],0
a7,1,0.052899,3.747096,[43 15] ; [27 21],[38.30188679 19.69811321] ; [31.69811321 16.30188679],0
r2,1,0.074773,3.174998,[51  7] ; [35 12],[47.5047619 10.4952381] ; [38.4952381  8.5047619],0
p3,1,0.083272,2.999862,[21 37] ; [10 38],[16.96226415 41.03773585] ; [14.03773585 33.96226415],0
d4,1,0.087077,2.927598,[45 12] ; [30 17],[41.10576923 15.89423077] ; [33.89423077 13.10576923],0
b4,1,0.092514,2.830078,[28 30] ; [31 17],[32.28301887 25.71698113] ; [26.71698113 21.28301887],0
p4,1,0.093054,2.820724,[27 30] ; [15 33],[22.8 34.2] ; [19.2 28.8],0
s2,1,0.096555,2.761547,[22 36] ; [11 37],[18.05660377 39.94339623] ; [14.94339623 33.05660377],0
d2,1,0.122883,2.380187,[20 37] ; [24 24],[23.88571429 33.11428571] ; [20.11428571 27.88571429],0
a1,1,0.150439,2.067792,[ 2 56] ; [ 5 43],[ 3.83018868 54.16981132] ; [ 3.16981132 44.83018868],0
n3,1,0.161713,1.958132,[13  5] ; [10 10],[10.89473684  7.10526316] ; [12.10526316  7.89473684],0
b1,1,0.166191,1.91697,[26 32] ; [28 20],[29.54716981 28.45283019] ; [24.45283019 23.54716981],0
n1,1,0.207119,1.591453,[ 8 10] ; [ 5 15],[ 6.15789474 11.84210526] ; [ 6.84210526 13.15789474],0
s8,1,0.219253,1.509252,[14 44] ; [ 7 41],[11.49056604 46.50943396] ; [ 9.50943396 38.49056604],0
a8,1,0.223997,1.478578,[ 6 49] ; [ 2 44],[ 4.35643564 50.64356436] ; [ 3.64356436 42.35643564],0
b2,1,0.238359,1.390275,[ 6 27] ; [ 9 20],[ 7.98387097 25.01612903] ; [ 7.01612903 21.98387097],0
b3,1,0.238359,1.390275,[ 6 27] ; [ 9 20],[ 7.98387097 25.01612903] ; [ 7.01612903 21.98387097],0
v2,1,0.263485,1.250355,[21 33] ; [13 33],[18.36 35.64] ; [15.64 30.36],0
d1,1,0.265169,1.241567,[28 30] ; [18 30],[25.16981132 32.83018868] ; [20.83018868 27.16981132],0
s5,1,0.328731,0.95389,[ 8 46] ; [ 4 43],[ 6.41584158 47.58415842] ; [ 5.58415842 41.41584158],0
s3,1,0.371594,0.798326,[31 27] ; [21 26],[28.72380952 29.27619048] ; [23.27619048 23.72380952],0
r1,1,0.392378,0.731561,[39 18] ; [29 19],[36.91428571 20.08571429] ; [31.08571429 16.91428571],0
a6,1,0.4192,0.652558,[41 16] ; [31 17],[39.08571429 17.91428571] ; [32.91428571 15.08571429],0
p8,1,0.448593,0.574205,[21 36] ; [14 33],[19.18269231 37.81730769] ; [15.81730769 31.18269231],0
a3,1,0.461414,0.542461,[35 23] ; [25 22],[33.14285714 24.85714286] ; [26.85714286 20.14285714],0
