Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.030754,4.666667,[1 6] ; [5 2],[3. 4.] ; [3. 4.],0
r2,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
a3,1,0.108809,2.571429,[2 5] ; [5 2],[3.5 3.5] ; [3.5 3.5],0
b3,1,0.200751,1.636905,[2 2] ; [1 6],[1.09090909 2.90909091] ; [1.90909091 5.09090909],0
b2,1,0.200751,1.636905,[2 2] ; [1 6],[1.09090909 2.90909091] ; [1.90909091 5.09090909],0
b5,1,0.236724,1.4,[4 3] ; [6 1],[5. 2.] ; [5. 2.],0
a6,1,0.236724,1.4,[1 6] ; [3 4],[2. 5.] ; [2. 5.],0
p2,1,0.236724,1.4,[4 3] ; [6 1],[5. 2.] ; [5. 2.],0
n6,1,0.236724,1.4,[4 3] ; [6 1],[5. 2.] ; [5. 2.],0
n3,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
n2,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
b1,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
p10,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
p9,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
p6,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
p4,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
p11,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
a5,1,0.280087,1.166667,[3 4] ; [5 2],[4. 3.] ; [4. 3.],0
d5,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
d1,1,0.280087,1.166667,[4 3] ; [2 5],[3. 4.] ; [3. 4.],0
a4,1,0.280087,1.166667,[4 3] ; [2 5],[3. 4.] ; [3. 4.],0
r4,1,0.514828,0.424242,[2 5] ; [1 6],[1.5 5.5] ; [1.5 5.5],0
p3,1,0.514828,0.424242,[2 5] ; [1 6],[1.5 5.5] ; [1.5 5.5],0
n5,1,0.514828,0.424242,[5 2] ; [6 1],[5.5 1.5] ; [5.5 1.5],0
p8,1,0.576999,0.311111,[2 5] ; [3 4],[2.5 4.5] ; [2.5 4.5],0
d3,1,0.576999,0.311111,[4 3] ; [5 2],[4.5 2.5] ; [4.5 2.5],0
n4,1,0.576999,0.311111,[5 2] ; [4 3],[4.5 2.5] ; [4.5 2.5],0
d4,1,0.576999,0.311111,[5 2] ; [4 3],[4.5 2.5] ; [4.5 2.5],0
b4,1,0.576999,0.311111,[3 4] ; [2 5],[2.5 4.5] ; [2.5 4.5],0
d2,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
s6,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
a7,1,0.59298,0.285714,[3 4] ; [4 3],[3.5 3.5] ; [3.5 3.5],0
p7,1,0.724939,0.12381,[3 4] ; [2 4],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
n1,1,0.80915,0.058333,[1 2] ; [1 3],[0.85714286 2.14285714] ; [1.14285714 2.85714286],0
s5,1,0.852876,0.034392,[2 5] ; [2 4],[2.15384615 4.84615385] ; [1.84615385 4.15384615],0
v4,1,1.0,0.0,[5 2] ; [5 2],[5. 2.] ; [5. 2.],0
v1,1,1.0,0.0,[1 6] ; [1 6],[1. 6.] ; [1. 6.],0
r1,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
