Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000134,14.589294,[17 16] ; [13 66],[ 8.83928571 24.16071429] ; [21.16071429 57.83928571],1
p5,1,0.000329,12.896217,[ 8 25] ; [ 2 74],[ 3.02752294 29.97247706] ; [ 6.97247706 69.02752294],1
p7,1,0.000545,11.954529,[20 12] ; [21 56],[12.03669725 19.96330275] ; [28.96330275 48.03669725],1
s3,1,0.007067,7.255768,[10 21] ; [48 31],[16.34545455 14.65454545] ; [41.65454545 37.34545455],0
d4,1,0.007147,7.235736,[18 14] ; [64 15],[23.63963964  8.36036036] ; [58.36036036 20.63963964],0
b5,1,0.014621,5.961516,[16 17] ; [58 22],[21.61061947 11.38938053] ; [52.38938053 27.61061947],0
p3,1,0.015013,5.915,[17 15] ; [23 57],[11.42857143 20.57142857] ; [28.57142857 51.42857143],0
p4,1,0.024509,5.058243,[17 15] ; [24 55],[11.81981982 20.18018018] ; [29.18018018 49.81981982],0
r3,1,0.024874,5.032639,[27  6] ; [76  4],[30.07964602  2.92035398] ; [72.92035398  7.07964602],0
d5,1,0.039703,4.230542,[18 14] ; [60 19],[22.48648649  9.51351351] ; [55.51351351 23.48648649],0
d2,1,0.041752,4.145235,[10 22] ; [41 37],[14.83636364 17.16363636] ; [36.16363636 41.83636364],0
u1,1,0.065601,3.3898,[ 2 31] ; [16 64],[ 5.25663717 27.74336283] ; [12.74336283 67.25663717],0
a3,1,0.090365,2.867861,[17 15] ; [56 24],[20.85714286 11.14285714] ; [52.14285714 27.85714286],0
s1,1,0.101141,2.687462,[ 4 29] ; [ 3 75],[ 2.08108108 30.91891892] ; [ 4.91891892 73.08108108],0
a2,1,0.128008,2.316494,[ 4 29] ; [20 60],[ 7.00884956 25.99115044] ; [16.99115044 63.00884956],0
s5,1,0.146556,2.107735,[13 19] ; [19 53],[ 9.84615385 22.15384615] ; [22.15384615 49.84615385],0
v2,1,0.154914,2.023189,[20 11] ; [36 37],[16.69230769 14.30769231] ; [39.30769231 33.69230769],0
v1,1,0.156502,2.007705,[19 14] ; [33 44],[15.6 17.4] ; [36.4 40.6],0
a7,1,0.174977,1.839779,[25  8] ; [50 30],[21.90265487 11.09734513] ; [53.09734513 26.90265487],0
a1,1,0.213398,1.548226,[ 1 32] ; [ 8 72],[ 2.62831858 30.37168142] ; [ 6.37168142 73.62831858],0
p11,1,0.230171,1.439803,[26  7] ; [54 26],[23.36283186  9.63716814] ; [56.63716814 23.36283186],0
s8,1,0.230804,1.435897,[12 20] ; [40 40],[14.85714286 17.14285714] ; [37.14285714 42.85714286],0
u2,1,0.242908,1.363636,[7 9] ; [15  9],[8.8 7.2] ; [13.2 10.8],0
b1,1,0.252579,1.308983,[11 22] ; [36 44],[13.72566372 19.27433628] ; [33.27433628 46.72566372],0
p1,1,0.315224,1.008661,[ 5 28] ; [ 7 73],[ 3.50442478 29.49557522] ; [ 8.49557522 71.50442478],0
p12,1,0.315224,1.008661,[ 5 28] ; [ 7 73],[ 3.50442478 29.49557522] ; [ 8.49557522 71.50442478],0
s4,1,0.326538,0.962579,[ 6 27] ; [21 57],[ 8.02702703 24.97297297] ; [18.97297297 59.02702703],0
n3,1,0.388904,0.742367,[5 3] ; [24  7],[5.94871795 2.05128205] ; [23.05128205  7.94871795],0
p10,1,0.391604,0.733955,[29  4] ; [65 15],[27.45132743  5.54867257] ; [66.54867257 13.45132743],0
v4,1,0.397454,0.716016,[31  2] ; [71  9],[29.78761062  3.21238938] ; [72.21238938  7.78761062],0
v3,1,0.424424,0.638034,[14 19] ; [24 46],[12.17475728 20.82524272] ; [25.82524272 44.17475728],0
s7,1,0.486911,0.483346,[12 18] ; [37 41],[13.61111111 16.38888889] ; [35.38888889 42.61111111],0
u4,1,0.487653,0.481701,[ 1 32] ; [ 5 75],[ 1.75221239 31.24778761] ; [ 4.24778761 75.75221239],0
a6,1,0.521577,0.410774,[19 13] ; [52 27],[20.46846847 11.53153153] ; [50.53153153 28.46846847],0
n6,1,0.539267,0.376901,[25  7] ; [58 22],[23.71428571  8.28571429] ; [59.28571429 20.71428571],0
s2,1,0.548152,0.360638,[15 17] ; [42 37],[16.43243243 15.56756757] ; [40.56756757 38.43243243],0
d3,1,0.573123,0.317486,[18 14] ; [49 30],[19.31531532 12.68468468] ; [47.68468468 31.31531532],0
u3,1,0.601456,0.272805,[10  6] ; [13 11],[9.2 6.8] ; [13.8 10.2],0
n4,1,0.629078,0.233313,[22 11] ; [57 23],[23.07079646  9.92920354] ; [55.92920354 24.07079646],0
a4,1,0.632096,0.229229,[14 18] ; [39 41],[15.14285714 16.85714286] ; [37.85714286 42.14285714],0
