Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.042808,4.102983,[ 4 48] ; [1 1],[ 4.81481481 47.18518519] ; [0.18518519 1.81481481],0
n4,1,0.130735,2.28375,[49  7] ; [1 1],[48.27586207  7.72413793] ; [1.72413793 0.27586207],0
p5,1,0.176787,1.824432,[ 8 47] ; [1 1],[ 8.68421053 46.31578947] ; [0.31578947 1.68421053],0
n6,1,0.254552,1.298149,[46 10] ; [1 1],[45.37931034 10.62068966] ; [1.62068966 0.37931034],0
p9,1,0.350794,0.870582,[43 12] ; [1 1],[42.45614035 12.54385965] ; [1.54385965 0.45614035],0
a4,1,0.384392,0.756609,[13 43] ; [1 1],[13.51724138 42.48275862] ; [0.48275862 1.51724138],0
p10,1,0.394866,0.723905,[42 13] ; [1 1],[41.49122807 13.50877193] ; [1.50877193 0.49122807],0
p11,1,0.470441,0.52094,[41 15] ; [1 1],[40.55172414 15.44827586] ; [1.44827586 0.55172414],0
a7,1,0.597,0.279545,[38 18] ; [1 1],[37.65517241 18.34482759] ; [1.34482759 0.65517241],0
a5,1,0.679562,0.17062,[36 20] ; [1 1],[35.72413793 20.27586207] ; [1.27586207 0.72413793],0
s6,1,0.768703,0.086478,[32 21] ; [1 1],[31.8 21.2] ; [1.2 0.8],0
b5,1,0.841142,0.040173,[32 24] ; [1 1],[31.86206897 24.13793103] ; [1.13793103 0.86206897],0
u2,1,0.84562,0.037912,[ 9 12] ; [1 1],[ 9.13043478 11.86956522] ; [0.86956522 1.13043478],0
s3,1,0.85334,0.034173,[30 23] ; [1 1],[29.87272727 23.12727273] ; [1.12727273 0.87272727],0
p8,1,0.939516,0.005758,[29 26] ; [1 1],[28.94736842 26.05263158] ; [1.05263158 0.94736842],0
u3,1,0.948644,0.004149,[10 11] ; [1 1],[10.04347826 10.95652174] ; [0.95652174 1.04347826],0
