Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.626923,[31 74] ; [17  4],[40. 65.] ; [ 8. 13.],1
p8,1,0.000985,10.855885,[20 87] ; [11 10],[25.9140625 81.0859375] ; [ 5.0859375 15.9140625],1
p2,1,0.012155,6.288131,[50 58] ; [16  5],[55.25581395 52.74418605] ; [10.74418605 10.25581395],0
n3,1,0.0238,5.109126,[21 23] ; [8 1],[24.0754717 19.9245283] ; [4.9245283 4.0754717],0
p11,1,0.028866,4.775604,[49 59] ; [15  6],[53.58139535 54.41860465] ; [10.41860465 10.58139535],0
p4,1,0.031952,4.601092,[26 80] ; [10 11],[30.04724409 75.95275591] ; [ 5.95275591 15.04724409],0
u3,1,0.039519,4.238432,[23 16] ; [3 9],[19.88235294 19.11764706] ; [6.11764706 5.88235294],0
a3,1,0.063253,3.449966,[69 38] ; [ 9 12],[65.203125 41.796875] ; [12.796875  8.203125],0
r4,1,0.070386,3.273986,[65 43] ; [17  4],[68.65116279 39.34883721] ; [13.34883721  7.65116279],0
a8,1,0.083261,3.000072,[ 8 92] ; [ 4 15],[10.08403361 89.91596639] ; [ 1.91596639 17.08403361],0
a5,1,0.088035,2.909951,[63 45] ; [ 8 13],[59.44186047 48.55813953] ; [11.55813953  9.44186047],0
d5,1,0.088507,2.901314,[77 31] ; [11 10],[73.6744186 34.3255814] ; [14.3255814  6.6744186],0
r3,1,0.095938,2.771796,[78 28] ; [19  2],[80.96062992 25.03937008] ; [16.03937008  4.96062992],0
p1,1,0.096137,2.768491,[  5 102] ; [ 3 18],[  6.6875 100.3125] ; [ 1.3125 19.6875],0
d1,1,0.09892,2.722866,[52 56] ; [ 6 15],[48.55813953 59.44186047] ; [ 9.44186047 11.55813953],0
a4,1,0.100122,2.703594,[42 65] ; [ 4 16],[38.75590551 68.24409449] ; [ 7.24409449 12.75590551],0
a2,1,0.101658,2.679345,[21 87] ; [ 1 20],[18.41860465 89.58139535] ; [ 3.58139535 17.41860465],0
v4,1,0.125201,2.35102,[79 26] ; [19  2],[81.66666667 23.33333333] ; [16.33333333  4.66666667],0
a6,1,0.14179,2.158427,[65 43] ; [ 9 12],[61.95348837 46.04651163] ; [12.04651163  8.95348837],0
s3,1,0.145977,2.113791,[38 69] ; [11 10],[40.9609375 66.0390625] ; [ 8.0390625 12.9609375],0
n2,1,0.156644,2.006324,[24 22] ; [7 2],[25.92727273 20.07272727] ; [5.07272727 3.92727273],0
s7,1,0.16186,1.956766,[25 76] ; [ 8 12],[27.54545455 73.45454545] ; [ 5.45454545 14.54545455],0
s2,1,0.190614,1.712866,[26 81] ; [ 8 13],[28.421875 78.578125] ; [ 5.578125 15.421875],0
p5,1,0.196008,1.671873,[  1 106] ; [ 1 20],[  1.671875 105.328125] ; [ 0.328125 20.671875],0
s8,1,0.198564,1.652908,[19 89] ; [ 6 14],[21.09375 86.90625] ; [ 3.90625 16.09375],0
s6,1,0.312496,1.020098,[41 67] ; [10 10],[43.03125 64.96875] ; [ 7.96875 12.03125],0
s4,1,0.337562,0.919668,[14 94] ; [ 1 18],[12.75590551 95.24409449] ; [ 2.24409449 16.75590551],0
n1,1,0.365053,0.820433,[15 30] ; [4 4],[16.13207547 28.86792453] ; [2.86792453 5.13207547],0
v1,1,0.391207,0.735189,[31 77] ; [ 8 13],[32.65116279 75.34883721] ; [ 6.34883721 14.65116279],0
v3,1,0.40204,0.702215,[29 75] ; [ 4 17],[27.456 76.544] ; [ 5.544 15.456],0
b4,1,0.407611,0.685757,[67 41] ; [11 10],[65.30232558 42.69767442] ; [12.69767442  8.30232558],0
d2,1,0.449594,0.571676,[55 51] ; [ 9 12],[53.41732283 52.58267717] ; [10.58267717 10.41732283],0
b3,1,0.466934,0.529222,[19 48] ; [5 8],[20.1 46.9] ; [3.9 9.1],0
b2,1,0.466934,0.529222,[19 48] ; [5 8],[20.1 46.9] ; [3.9 9.1],0
d4,1,0.476077,0.507837,[74 32] ; [13  8],[72.61417323 33.38582677] ; [14.38582677  6.61417323],0
u1,1,0.588441,0.292786,[15 93] ; [ 2 19],[14.23255814 93.76744186] ; [ 2.76744186 18.23255814],0
d3,1,0.591177,0.28851,[60 48] ; [13  8],[61.11627907 46.88372093] ; [11.88372093  9.11627907],0
n6,1,0.609909,0.260308,[65 42] ; [14  7],[66.0390625 40.9609375] ; [12.9609375  8.0390625],0
u2,1,0.631012,0.23069,[22 16] ; [6 6],[21.28 16.72] ; [6.72 5.28],0
s5,1,0.64132,0.21702,[18 90] ; [ 4 15],[18.70866142 89.29133858] ; [ 3.29133858 15.70866142],0
r1,1,0.755088,0.097305,[75 32] ; [14  7],[74.3984375 32.6015625] ; [14.6015625  6.3984375],0
r2,1,0.827388,0.047547,[88 17] ; [18  3],[88.33333333 16.66666667] ; [17.66666667  3.33333333],0
a7,1,0.832877,0.044527,[63 43] ; [13  8],[63.43307087 42.56692913] ; [12.56692913  8.43307087],0
b1,1,0.902858,0.014897,[55 53] ; [11 10],[55.25581395 52.74418605] ; [10.74418605 10.25581395],0
p10,1,0.946595,0.004487,[26 81] ; [ 5 15],[26.11811024 80.88188976] ; [ 4.88188976 15.11811024],0
s1,1,0.951853,0.003646,[  6 101] ; [ 1 18],[  5.94444444 101.05555556] ; [ 1.05555556 17.94444444],0
v2,1,0.959034,0.002638,[39 65] ; [ 8 13],[39.104 64.896] ; [ 7.896 13.104],0
b5,1,0.973414,0.001111,[57 51] ; [11 10],[56.93023256 51.06976744] ; [11.06976744  9.93023256],0
n4,1,0.984697,0.000368,[66 41] ; [13  8],[66.0390625 40.9609375] ; [12.9609375  8.0390625],0
n5,1,0.990984,0.000128,[61 46] ; [12  9],[61.0234375 45.9765625] ; [11.9765625  9.0234375],0
