Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.000126,14.698272,[3 4] ; [ 2 60],[0.50724638 6.49275362] ; [ 4.49275362 57.50724638],1
p3,1,0.004062,8.255863,[6 1] ; [19 43],[2.53623188 4.46376812] ; [22.46376812 39.53623188],0
a2,1,0.012895,6.183427,[5 2] ; [16 46],[2.13043478 4.86956522] ; [18.86956522 43.13043478],0
p5,1,0.013479,6.105069,[3 4] ; [ 6 56],[0.91304348 6.08695652] ; [ 8.08695652 53.91304348],0
s7,1,0.02911,4.761079,[6 1] ; [24 33],[3.28125 3.71875] ; [26.71875 30.28125],0
p4,1,0.030512,4.680198,[6 1] ; [26 35],[3.29411765 3.70588235] ; [28.70588235 32.29411765],0
a4,1,0.04192,4.13845,[6 1] ; [28 34],[3.44927536 3.55072464] ; [30.55072464 31.44927536],0
d2,1,0.06092,3.512149,[6 1] ; [30 32],[3.65217391 3.34782609] ; [32.34782609 29.65217391],0
p8,1,0.115558,2.476515,[5 2] ; [25 37],[3.04347826 3.95652174] ; [26.95652174 35.04347826],0
v1,1,0.133543,2.250829,[4 1] ; [28 34],[2.3880597 2.6119403] ; [29.6119403 32.3880597],0
v3,1,0.160954,1.965236,[3 1] ; [24 37],[1.66153846 2.33846154] ; [25.33846154 35.66153846],0
u1,1,0.193332,1.69204,[3 4] ; [13 49],[1.62318841 5.37681159] ; [14.37681159 47.62318841],0
p6,1,0.262309,1.256531,[4 3] ; [22 40],[2.63768116 4.36231884] ; [23.36231884 38.63768116],0
s6,1,0.269433,1.219632,[6 1] ; [39 21],[4.70149254 2.29850746] ; [40.29850746 19.70149254],0
a5,1,0.291885,1.110904,[6 1] ; [41 21],[4.76811594 2.23188406] ; [42.23188406 19.76811594],0
p1,1,0.310651,1.027907,[1 6] ; [ 3 59],[0.4057971 6.5942029] ; [ 3.5942029 58.4057971],0
n4,1,0.327289,0.959595,[6 1] ; [42 20],[4.86956522 2.13043478] ; [43.13043478 18.86956522],0
a6,1,0.365823,0.817805,[6 1] ; [43 19],[4.97101449 2.02898551] ; [44.02898551 17.97101449],0
s4,1,0.407706,0.685481,[1 6] ; [18 44],[1.92753623 5.07246377] ; [17.07246377 44.92753623],0
s1,1,0.44854,0.574338,[1 6] ; [ 4 58],[0.50724638 6.49275362] ; [ 4.49275362 57.50724638],0
b4,1,0.493077,0.469805,[3 4] ; [35 27],[3.85507246 3.14492754] ; [34.14492754 27.85507246],0
b5,1,0.572829,0.317972,[4 3] ; [42 20],[4.66666667 2.33333333] ; [41.33333333 20.66666667],0
a7,1,0.643845,0.213748,[5 2] ; [49 13],[5.47826087 1.52173913] ; [48.52173913 13.47826087],0
r1,1,0.676892,0.173646,[6 1] ; [49 13],[5.57971014 1.42028986] ; [49.42028986 12.57971014],0
a8,1,0.701123,0.147306,[1 6] ; [ 5 47],[0.71186441 6.28813559] ; [ 5.28813559 46.71186441],0
d3,1,0.721837,0.126739,[5 2] ; [48 14],[5.37681159 1.62318841] ; [47.62318841 14.37681159],0
s5,1,0.825777,0.048453,[2 3] ; [20 37],[1.77419355 3.22580645] ; [20.22580645 36.77419355],0
p7,1,0.848296,0.036593,[4 3] ; [32 28],[3.76119403 3.23880597] ; [32.23880597 27.76119403],0
d5,1,0.899505,0.015948,[6 1] ; [52 10],[5.88405797 1.11594203] ; [52.11594203  9.88405797],0
v2,1,0.917839,0.010641,[3 2] ; [34 25],[2.890625 2.109375] ; [34.109375 24.890625],0
p2,1,0.948427,0.004184,[5 2] ; [45 17],[5.07246377 1.92753623] ; [44.92753623 17.07246377],0
