Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004055,8.259167,[14 20] ; [10  1],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
p4,1,0.004643,8.01332,[12 24] ; [9 2],[16.08510638 19.91489362] ; [4.91489362 6.08510638],0
p3,1,0.004836,7.939759,[ 9 26] ; [8 3],[12.93478261 22.06521739] ; [4.06521739 6.93478261],0
p7,1,0.008952,6.832298,[12 21] ; [9 2],[15.75 17.25] ; [5.25 5.75],0
p11,1,0.010324,6.57811,[17 19] ; [10  1],[20.68085106 15.31914894] ; [6.31914894 4.68085106],0
s7,1,0.039776,4.227397,[10 24] ; [6 3],[12.65116279 21.34883721] ; [3.34883721 5.65116279],0
p5,1,0.045094,4.015128,[ 2 33] ; [3 8],[ 3.80434783 31.19565217] ; [1.19565217 9.80434783],0
d5,1,0.045989,3.981992,[21 15] ; [10  1],[23.74468085 12.25531915] ; [7.25531915 3.74468085],0
n6,1,0.053247,3.73614,[16 17] ; [9 2],[18.75 14.25] ; [6.25 4.75],0
p8,1,0.0658,3.384801,[ 9 27] ; [6 5],[11.4893617 24.5106383] ; [3.5106383 7.4893617],0
p12,1,0.06738,3.345711,[ 1 35] ; [2 9],[ 2.29787234 33.70212766] ; [ 0.70212766 10.29787234],0
n3,1,0.075752,3.15377,[13  5] ; [1 3],[11.45454545  6.54545455] ; [2.54545455 1.45454545],0
p2,1,0.077777,3.110761,[22 13] ; [10  1],[24.34782609 10.65217391] ; [7.65217391 3.34782609],0
n5,1,0.089258,2.887701,[18 16] ; [9 2],[20.4 13.6] ; [6.6 4.4],0
s8,1,0.131664,2.272773,[ 8 28] ; [5 6],[ 9.95744681 26.04255319] ; [3.04255319 7.95744681],0
b5,1,0.184532,1.760739,[18 18] ; [8 3],[19.91489362 16.08510638] ; [6.08510638 4.91489362],0
s2,1,0.229767,1.442301,[12 23] ; [6 5],[13.69565217 21.30434783] ; [4.30434783 6.69565217],0
a6,1,0.265103,1.241912,[16 20] ; [7 4],[17.61702128 18.38297872] ; [5.38297872 5.61702128],0
d3,1,0.275556,1.188877,[23 13] ; [5 6],[21.44680851 14.55319149] ; [6.55319149 4.44680851],0
a2,1,0.30127,1.068562,[ 5 31] ; [3 8],[ 6.12765957 29.87234043] ; [1.87234043 9.12765957],0
a5,1,0.309785,1.031594,[20 16] ; [8 3],[21.44680851 14.55319149] ; [6.55319149 4.44680851],0
r3,1,0.321553,0.98262,[19 15] ; [8 3],[20.4 13.6] ; [6.6 4.4],0
b4,1,0.340532,0.908428,[17 19] ; [7 4],[18.38297872 17.61702128] ; [5.61702128 5.38297872],0
u1,1,0.353842,0.859632,[ 3 33] ; [2 9],[ 3.82978723 32.17021277] ; [1.17021277 9.82978723],0
s4,1,0.353842,0.859632,[ 3 33] ; [2 9],[ 3.82978723 32.17021277] ; [1.17021277 9.82978723],0
a4,1,0.358006,0.844875,[14 22] ; [6 5],[15.31914894 20.68085106] ; [4.68085106 6.31914894],0
u2,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
p9,1,0.394703,0.724403,[24 11] ; [9 2],[25.10869565  9.89130435] ; [7.89130435 3.10869565],0
v4,1,0.429324,0.624651,[19 13] ; [8 3],[20.09302326 11.90697674] ; [6.90697674 4.09302326],0
p10,1,0.445572,0.581892,[21 14] ; [8 3],[22.06521739 12.93478261] ; [6.93478261 4.06521739],0
d2,1,0.482843,0.492434,[14 22] ; [3 8],[13.0212766 22.9787234] ; [3.9787234 7.0212766],0
s5,1,0.578747,0.308265,[ 7 29] ; [3 8],[ 7.65957447 28.34042553] ; [2.34042553 8.65957447],0
d1,1,0.69776,0.150813,[14 22] ; [5 6],[14.55319149 21.44680851] ; [4.44680851 6.55319149],0
n4,1,0.702809,0.145566,[20 15] ; [7 4],[20.54347826 14.45652174] ; [6.45652174 4.54347826],0
b1,1,0.705883,0.142424,[24 12] ; [8 3],[24.5106383 11.4893617] ; [7.4893617 3.5106383],0
a3,1,0.717601,0.130803,[25 11] ; [7 4],[24.5106383 11.4893617] ; [7.4893617 3.5106383],0
r2,1,0.723296,0.125356,[20 13] ; [6 5],[19.5 13.5] ; [6.5 4.5],0
v3,1,0.7607,0.092758,[11 24] ; [4 7],[11.41304348 23.58695652] ; [3.58695652 7.41304348],0
b2,1,0.765688,0.088816,[ 6 13] ; [3 5],[ 6.33333333 12.66666667] ; [2.66666667 5.33333333],0
b3,1,0.765688,0.088816,[ 6 13] ; [3 5],[ 6.33333333 12.66666667] ; [2.66666667 5.33333333],0
r1,1,0.806243,0.06016,[11 23] ; [4 7],[11.33333333 22.66666667] ; [3.66666667 7.33333333],0
n1,1,0.840039,0.040741,[ 8 10] ; [2 2],[8.18181818 9.81818182] ; [1.81818182 2.18181818],0
s6,1,0.856748,0.032586,[18 17] ; [6 5],[18.26086957 16.73913043] ; [5.73913043 5.26086957],0
a7,1,0.856748,0.032586,[17 18] ; [5 6],[16.73913043 18.26086957] ; [5.26086957 5.73913043],0
s3,1,0.85813,0.031954,[13 20] ; [4 7],[12.75 20.25] ; [4.25 6.75],0
u3,1,0.875996,0.024351,[6 5] ; [2 2],[5.86666667 5.13333333] ; [2.13333333 1.86666667],0
d4,1,0.973855,0.001074,[26 10] ; [8 3],[26.04255319  9.95744681] ; [7.95744681 3.04255319],0
