Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,20.971755,[19 89] ; [16 10],[28.20895522 79.79104478] ; [ 6.79104478 19.20895522],1
s6,1,1.1e-05,19.290814,[36 72] ; [21  5],[45.94029851 62.05970149] ; [11.05970149 14.94029851],1
s2,1,8.3e-05,15.496678,[27 81] ; [17  9],[35.46268657 72.53731343] ; [ 8.53731343 17.46268657],1
s3,1,0.000242,13.469961,[34 72] ; [18  7],[42.07633588 63.92366412] ; [ 9.92366412 15.07633588],1
s4,1,0.000797,11.24831,[12 95] ; [10 16],[17.69924812 89.30075188] ; [ 4.30075188 21.69924812],1
s7,1,0.000824,11.185455,[27 74] ; [16 10],[34.19685039 66.80314961] ; [ 8.80314961 17.19685039],1
p12,1,0.002741,8.972504,[  2 106] ; [ 4 22],[  4.8358209 103.1641791] ; [ 1.1641791 24.8358209],0
p10,1,0.003879,8.339569,[44 62] ; [19  7],[50.59090909 55.40909091] ; [12.40909091 13.59090909],0
r4,1,0.00509,7.847264,[64 44] ; [23  3],[70.11940299 37.88059701] ; [16.88059701  9.11940299],0
p6,1,0.005276,7.782159,[ 8 98] ; [ 7 19],[12.04545455 93.95454545] ; [ 2.95454545 23.04545455],0
p3,1,0.014304,6.000204,[15 92] ; [ 9 17],[19.30827068 87.69172932] ; [ 4.69172932 21.30827068],0
p1,1,0.019025,5.499254,[  8 100] ; [ 6 20],[11.28358209 96.71641791] ; [ 2.71641791 23.28358209],0
v2,1,0.034712,4.459304,[38 65] ; [14  9],[42.50793651 60.49206349] ; [ 9.49206349 13.50793651],0
a5,1,0.038024,4.303944,[59 49] ; [20  6],[63.67164179 44.32835821] ; [15.32835821 10.67164179],0
v1,1,0.040953,4.177953,[31 76] ; [13 13],[35.39849624 71.60150376] ; [ 8.60150376 17.39849624],0
n6,1,0.045971,3.982644,[64 43] ; [21  5],[68.38345865 38.61654135] ; [16.61654135  9.38345865],0
p9,1,0.054892,3.685378,[48 55] ; [17  8],[52.3046875 50.6953125] ; [12.6953125 12.3046875],0
r3,1,0.056424,3.639504,[75 32] ; [23  3],[78.84210526 28.15789474] ; [19.15789474  6.84210526],0
v4,1,0.056424,3.639504,[75 32] ; [23  3],[78.84210526 28.15789474] ; [19.15789474  6.84210526],0
r2,1,0.056584,3.634775,[84 20] ; [25  1],[87.2 16.8] ; [21.8  4.2],0
r1,1,0.181704,1.78363,[63 44] ; [19  7],[65.96992481 41.03007519] ; [16.03007519  9.96992481],0
d4,1,0.207559,1.588375,[73 34] ; [21  5],[75.62406015 31.37593985] ; [18.37593985  7.62406015],0
b1,1,0.220172,1.503248,[52 56] ; [16 10],[54.80597015 53.19402985] ; [13.19402985 12.80597015],0
n1,1,0.223225,1.483516,[20 25] ; [6 3],[21.66666667 23.33333333] ; [4.33333333 4.66666667],0
p5,1,0.239823,1.381632,[  3 104] ; [ 2 24],[  4.02255639 102.97744361] ; [ 0.97744361 25.02255639],0
p8,1,0.247282,1.338596,[15 93] ; [ 6 20],[16.92537313 91.07462687] ; [ 4.07462687 21.92537313],0
u2,1,0.264525,1.244919,[19 22] ; [2 6],[17.57142857 23.42857143] ; [3.42857143 4.57142857],0
p11,1,0.296572,1.089545,[50 58] ; [15 11],[52.3880597 55.6119403] ; [12.6119403 13.3880597],0
n2,1,0.313358,1.016471,[27 18] ; [7 2],[28.33333333 16.66666667] ; [5.66666667 3.33333333],0
a7,1,0.3613,0.83337,[68 39] ; [14 12],[65.96992481 41.03007519] ; [16.03007519  9.96992481],0
d1,1,0.420641,0.648523,[51 57] ; [10 16],[49.1641791 58.8358209] ; [11.8358209 14.1641791],0
a6,1,0.43668,0.604991,[61 46] ; [17  9],[62.7518797 44.2481203] ; [15.2481203 10.7518797],0
u1,1,0.456833,0.553642,[14 94] ; [ 2 24],[12.89552239 95.10447761] ; [ 3.10447761 22.89552239],0
d5,1,0.474179,0.512221,[66 41] ; [18  8],[67.57894737 39.42105263] ; [16.42105263  9.57894737],0
a4,1,0.485973,0.48543,[41 65] ; [12 14],[42.56060606 63.43939394] ; [10.43939394 15.56060606],0
a2,1,0.563843,0.333094,[22 86] ; [ 4 22],[20.95522388 87.04477612] ; [ 5.04477612 20.95522388],0
a3,1,0.565444,0.330365,[67 39] ; [18  8],[68.25757576 37.74242424] ; [16.74242424  9.25757576],0
n4,1,0.578259,0.309058,[72 35] ; [16 10],[70.79699248 36.20300752] ; [17.20300752  8.79699248],0
v3,1,0.630327,0.231618,[33 69] ; [ 9 15],[34. 68.] ; [ 8. 16.],0
d2,1,0.665515,0.186893,[48 58] ; [13 13],[48.98484848 57.01515152] ; [12.01515152 13.98484848],0
a1,1,0.724457,0.124262,[10 98] ; [ 3 23],[10.47761194 97.52238806] ; [ 2.52238806 23.47761194],0
s1,1,0.735599,0.114033,[10 97] ; [ 3 23],[10.45864662 96.54135338] ; [ 2.54135338 23.45864662],0
p7,1,0.760058,0.093272,[25 79] ; [ 7 19],[25.6 78.4] ; [ 6.4 19.6],0
u4,1,0.773813,0.082594,[  3 105] ; [ 1 25],[  3.2238806 104.7761194] ; [ 0.7761194 25.2238806],0
b2,1,0.80274,0.062401,[27 43] ; [ 6 11],[26.55172414 43.44827586] ; [ 6.44827586 10.55172414],0
b3,1,0.80274,0.062401,[27 43] ; [ 6 11],[26.55172414 43.44827586] ; [ 6.44827586 10.55172414],0
d3,1,0.83065,0.04574,[56 51] ; [13 13],[55.5112782 51.4887218] ; [13.4887218 12.5112782],0
a8,1,0.837261,0.042188,[11 93] ; [ 3 22],[11.28682171 92.71317829] ; [ 2.71317829 22.28682171],0
u3,1,0.84957,0.035974,[19 22] ; [4 4],[19.24489796 21.75510204] ; [3.75510204 4.24489796],0
n5,1,0.931484,0.007392,[69 38] ; [17  9],[69.18796992 37.81203008] ; [16.81203008  9.18796992],0
b4,1,0.952557,0.00354,[63 45] ; [15 11],[62.86567164 45.13432836] ; [15.13432836 10.86567164],0
b5,1,0.978955,0.000696,[62 46] ; [15 11],[62.05970149 45.94029851] ; [14.94029851 11.05970149],0
n3,1,1.0,0.0,[21 21] ; [4 4],[21. 21.] ; [4. 4.],0
