Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.1e-05,16.397426,[ 5 67] ; [ 9 12],[10.83870968 61.16129032] ; [ 3.16129032 17.83870968],1
p7,1,0.000441,12.349589,[13 58] ; [12  9],[19.29347826 51.70652174] ; [ 5.70652174 15.29347826],1
p4,1,0.007568,7.132931,[11 60] ; [ 9 12],[15.43478261 55.56521739] ; [ 4.56521739 16.43478261],0
p8,1,0.00758,7.130017,[ 9 63] ; [ 8 13],[13.16129032 58.83870968] ; [ 3.83870968 17.16129032],0
r4,1,0.029032,4.765709,[36 37] ; [16  5],[40.38297872 32.61702128] ; [11.61702128  9.38297872],0
s6,1,0.029074,4.763202,[25 46] ; [13  8],[29.32608696 41.67391304] ; [ 8.67391304 12.32608696],0
s3,1,0.040155,4.211337,[23 48] ; [12  9],[27.01086957 43.98913043] ; [ 7.98913043 13.01086957],0
s2,1,0.059047,3.56394,[19 54] ; [10 11],[22.5212766 50.4787234] ; [ 6.4787234 14.5212766],0
n3,1,0.062066,3.481294,[18 17] ; [7 1],[20.34883721 14.65116279] ; [4.65116279 3.34883721],0
n2,1,0.068684,3.314199,[20 18] ; [7 1],[22.30434783 15.69565217] ; [4.69565217 3.30434783],0
v2,1,0.10479,2.63108,[23 47] ; [11 10],[26.15384615 43.84615385] ; [ 7.84615385 13.15384615],0
r3,1,0.137223,2.208832,[42 30] ; [16  5],[44.90322581 27.09677419] ; [13.09677419  7.90322581],0
s7,1,0.15321,2.040001,[16 51] ; [ 7 10],[18.3452381 48.6547619] ; [ 4.6547619 12.3452381],0
n6,1,0.177701,1.816744,[36 36] ; [14  7],[38.70967742 33.29032258] ; [11.29032258  9.70967742],0
a7,1,0.180144,1.796435,[46 26] ; [10 11],[43.35483871 28.64516129] ; [12.64516129  8.35483871],0
a1,1,0.212307,1.555624,[11 62] ; [ 1 20],[ 9.31914894 63.68085106] ; [ 2.68085106 18.31914894],0
s5,1,0.216437,1.527842,[12 57] ; [ 6 14],[13.95505618 55.04494382] ; [ 4.04494382 15.95505618],0
s8,1,0.224372,1.47619,[12 60] ; [ 6 15],[13.93548387 58.06451613] ; [ 4.06451613 16.93548387],0
d4,1,0.251946,1.31248,[49 23] ; [17  4],[51.09677419 20.90322581] ; [14.90322581  6.09677419],0
n1,1,0.25704,1.284628,[15 22] ; [5 3],[16.44444444 20.55555556] ; [3.55555556 4.44444444],0
p9,1,0.27232,1.205023,[23 44] ; [10 11],[25.125 41.875] ; [ 7.875 13.125],0
d1,1,0.281485,1.159907,[32 41] ; [12  9],[34.17021277 38.82978723] ; [ 9.82978723 11.17021277],0
a4,1,0.285733,1.139617,[33 38] ; [ 7 14],[30.86956522 40.13043478] ; [ 9.13043478 11.86956522],0
b5,1,0.332196,0.940318,[40 33] ; [14  7],[41.93617021 31.06382979] ; [12.06382979  8.93617021],0
b4,1,0.334531,0.931278,[33 40] ; [12  9],[34.94680851 38.05319149] ; [10.05319149 10.94680851],0
a2,1,0.3744,0.789009,[17 56] ; [ 3 18],[15.53191489 57.46808511] ; [ 4.46808511 16.53191489],0
a5,1,0.476484,0.506899,[46 27] ; [15  6],[47.37234043 25.62765957] ; [13.62765957  7.37234043],0
