Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2e-06,22.873204,[36 30] ; [62  6],[48.26865672 17.73134328] ; [49.73134328 18.26865672],1
v4,1,3e-06,21.973215,[41 29] ; [64  5],[52.87769784 17.12230216] ; [52.12230216 16.87769784],1
n6,1,3e-06,21.687201,[36 33] ; [61  8],[48.5 20.5] ; [48.5 20.5],1
p11,1,0.000581,11.835151,[34 36] ; [53 16],[43.81294964 26.18705036] ; [43.18705036 25.81294964],1
p2,1,0.000617,11.722919,[33 35] ; [53 16],[42.68613139 25.31386861] ; [43.31386861 25.68613139],1
p10,1,0.001003,10.821925,[28 38] ; [48 20],[37.43283582 28.56716418] ; [38.56716418 29.43283582],0
p6,1,0.001624,9.931977,[ 8 57] ; [24 43],[15.75757576 49.24242424] ; [16.24242424 50.75757576],0
p9,1,0.001957,9.589263,[37 29] ; [55 13],[45.31343284 20.68656716] ; [46.68656716 21.31343284],0
p3,1,0.002423,9.198022,[14 54] ; [31 38],[22.33576642 45.66423358] ; [22.66423358 46.33576642],0
b1,1,0.002741,8.972323,[40 30] ; [22 47],[31.22302158 38.77697842] ; [30.77697842 38.22302158],0
p4,1,0.003929,8.316221,[18 51] ; [34 34],[26.18978102 42.81021898] ; [25.81021898 42.18978102],0
s6,1,0.004081,8.24741,[14 56] ; [29 39],[21.8115942 48.1884058] ; [21.1884058 46.8115942],0
n2,1,0.004329,8.140361,[15 17] ; [18  3],[19.9245283 12.0754717] ; [13.0754717  7.9245283],0
p7,1,0.004741,7.975491,[23 46] ; [39 29],[31.22627737 37.77372263] ; [30.77372263 37.22627737],0
n3,1,0.007937,7.047589,[18 14] ; [19  2],[22.33962264  9.66037736] ; [14.66037736  6.33962264],0
v3,1,0.015194,5.893821,[12 58] ; [24 44],[18.26086957 51.73913043] ; [17.73913043 50.26086957],0
d5,1,0.024739,5.042046,[39 31] ; [51 18],[45.32374101 24.67625899] ; [44.67625899 24.32374101],0
a1,1,0.030447,4.683888,[ 7 63] ; [ 1 68],[ 4.02877698 65.97122302] ; [ 3.97122302 65.02877698],0
p8,1,0.031301,4.636364,[18 50] ; [30 38],[24. 44.] ; [24. 44.],0
a6,1,0.032531,4.570319,[32 38] ; [44 25],[38.27338129 31.72661871] ; [37.72661871 31.27338129],0
s8,1,0.065199,3.399925,[ 5 65] ; [12 57],[ 8.56115108 61.43884892] ; [ 8.43884892 60.56115108],0
b5,1,0.069541,3.293824,[35 35] ; [45 24],[40.28776978 29.71223022] ; [39.71223022 29.28776978],0
a7,1,0.071048,3.258632,[34 36] ; [44 25],[39.28057554 30.71942446] ; [38.71942446 30.28057554],0
s3,1,0.071819,3.240953,[12 56] ; [21 47],[16.5 51.5] ; [16.5 51.5],0
