Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.142418,2.151639,[53  8] ; [1 1],[52.28571429  8.71428571] ; [1.71428571 0.28571429],0
a8,1,0.219239,1.509342,[ 9 46] ; [1 1],[ 9.64912281 45.35087719] ; [0.35087719 1.64912281],0
d4,1,0.25727,1.28339,[50 11] ; [1 1],[49.38095238 11.61904762] ; [1.61904762 0.38095238],0
a1,1,0.289033,1.124118,[12 50] ; [1 1],[12.59375 49.40625] ; [0.40625 1.59375],0
a3,1,0.328304,0.955576,[49 13] ; [1 1],[48.4375 13.5625] ; [1.5625 0.4375],0
u1,1,0.3676,0.811762,[14 48] ; [1 1],[14.53125 47.46875] ; [0.46875 1.53125],0
d5,1,0.376822,0.781045,[47 14] ; [1 1],[46.47619048 14.52380952] ; [1.52380952 0.47619048],0
a7,1,0.406787,0.688172,[47 15] ; [1 1],[46.5 15.5] ; [1.5 0.5],0
s5,1,0.568306,0.325524,[38 17] ; [1 1],[37.63157895 17.36842105] ; [1.36842105 0.63157895],0
v1,1,0.585329,0.297698,[41 19] ; [1 1],[40.64516129 19.35483871] ; [1.35483871 0.64516129],0
p1,1,0.636437,0.223432,[21 41] ; [1 1],[21.3125 40.6875] ; [0.6875 1.3125],0
s8,1,0.662728,0.190227,[39 21] ; [1 1],[38.70967742 21.29032258] ; [1.29032258 0.70967742],0
v3,1,0.738965,0.111038,[37 23] ; [1 1],[36.77419355 23.22580645] ; [1.22580645 0.77419355],0
v2,1,0.776712,0.080432,[36 24] ; [1 1],[35.80645161 24.19354839] ; [1.19354839 0.80645161],0
d1,1,0.820192,0.051665,[36 26] ; [1 1],[35.84375 26.15625] ; [1.15625 0.84375],0
b5,1,0.892375,0.018306,[28 34] ; [1 1],[28.09375 33.90625] ; [0.90625 1.09375],0
a4,1,0.928304,0.008096,[29 33] ; [1 1],[29.0625 32.9375] ; [0.9375 1.0625],0
b3,1,0.95196,0.003629,[22 24] ; [1 1],[22.04166667 23.95833333] ; [0.95833333 1.04166667],0
b2,1,0.95196,0.003629,[22 24] ; [1 1],[22.04166667 23.95833333] ; [0.95833333 1.04166667],0
d2,1,0.981797,0.000521,[30 31] ; [1 1],[30.01587302 30.98412698] ; [0.98412698 1.01587302],0
