Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,33.23904,[57  9] ; [ 9 23],[44.44897959 21.55102041] ; [21.55102041 10.44897959],1
n6,1,0.000904,11.014145,[52 13] ; [15 17],[44.89690722 20.10309278] ; [22.10309278  9.89690722],1
n1,1,0.002024,9.52782,[12  6] ; [ 2 13],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
r2,1,0.00735,7.185484,[65  1] ; [28  5],[62.  4.] ; [31.  2.],0
p2,1,0.018951,5.506019,[53 12] ; [19 13],[48.24742268 16.75257732] ; [23.75257732  8.24742268],0
v3,1,0.05704,3.621429,[31 33] ; [ 9 23],[26.66666667 37.33333333] ; [13.33333333 18.66666667],0
r4,1,0.076727,3.132911,[56 10] ; [23 10],[52.66666667 13.33333333] ; [26.33333333  6.66666667],0
r1,1,0.100651,2.6952,[53 12] ; [22 11],[49.74489796 15.25510204] ; [25.25510204  7.74489796],0
n2,1,0.133975,2.245833,[15  3] ; [9 6],[13.09090909  4.90909091] ; [10.90909091  4.09090909],0
p6,1,0.147009,2.103016,[25 40] ; [ 7 23],[21.89473684 43.10526316] ; [10.10526316 19.89473684],0
d1,1,0.154691,2.025368,[38 28] ; [14 19],[34.66666667 31.33333333] ; [17.33333333 15.66666667],0
s4,1,0.15947,1.97924,[10 55] ; [ 9 24],[12.60204082 52.39795918] ; [ 6.39795918 26.60204082],0
s7,1,0.178744,1.808036,[35 25] ; [13 17],[32. 28.] ; [16. 14.],0
a3,1,0.209688,1.573579,[45 19] ; [19 14],[42.22680412 21.77319588] ; [21.77319588 11.22680412],0
b5,1,0.231197,1.433484,[46 20] ; [19 14],[43.33333333 22.66666667] ; [21.66666667 11.33333333],0
p7,1,0.243784,1.358576,[35 29] ; [13 18],[32.33684211 31.66315789] ; [15.66315789 15.33684211],0
p8,1,0.258866,1.274813,[27 39] ; [ 9 22],[24.49484536 41.50515464] ; [11.50515464 19.49484536],0
r3,1,0.265028,1.242301,[59  7] ; [26  6],[57.24489796  8.75510204] ; [27.75510204  4.24489796],0
s8,1,0.269521,1.219182,[30 35] ; [11 21],[27.4742268 37.5257732] ; [13.5257732 18.4742268],0
d3,1,0.274358,1.194828,[49 17] ; [21 12],[46.66666667 19.33333333] ; [23.33333333  9.66666667],0
d2,1,0.319742,0.99,[35 31] ; [14 19],[32.66666667 33.33333333] ; [16.33333333 16.66666667],0
u3,1,0.332216,0.940241,[10 11] ; [9 5],[11.4  9.6] ; [7.6 6.4],0
p3,1,0.333344,0.935862,[32 33] ; [12 19],[29.79166667 35.20833333] ; [14.20833333 16.79166667],0
p1,1,0.33659,0.923376,[ 6 60] ; [ 5 27],[ 7.40816327 58.59183673] ; [ 3.59183673 28.40816327],0
a5,1,0.365712,0.818182,[46 20] ; [20 13],[44. 22.] ; [22. 11.],0
p4,1,0.388885,0.742424,[35 31] ; [14 18],[33. 33.] ; [16. 16.],0
b1,1,0.391805,0.733333,[38 28] ; [16 17],[36. 30.] ; [18. 15.],0
d5,1,0.392715,0.730519,[53 13] ; [24  9],[51.33333333 14.66666667] ; [25.66666667  7.33333333],0
v2,1,0.403091,0.699085,[40 26] ; [16 15],[38.10309278 27.89690722] ; [17.89690722 13.10309278],0
n3,1,0.47546,0.509259,[14  4] ; [10  5],[13.09090909  4.90909091] ; [10.90909091  4.09090909],0
p9,1,0.484071,0.489678,[43 22] ; [22  8],[44.47368421 20.52631579] ; [20.52631579  9.47368421],0
p12,1,0.555982,0.346708,[ 4 62] ; [ 1 30],[ 3.40206186 62.59793814] ; [ 1.59793814 29.40206186],0
u1,1,0.58042,0.305556,[13 53] ; [ 5 28],[12. 54.] ; [ 6. 27.],0
b2,1,0.585786,0.296974,[10 26] ; [4 7],[10.72340426 25.27659574] ; [3.27659574 7.72340426],0
b3,1,0.585786,0.296974,[10 26] ; [4 7],[10.72340426 25.27659574] ; [3.27659574 7.72340426],0
s1,1,0.615828,0.251775,[ 6 59] ; [ 2 30],[ 5.36082474 59.63917526] ; [ 2.63917526 29.36082474],0
u2,1,0.726713,0.122152,[ 8 12] ; [6 7],[ 8.48484848 11.51515152] ; [5.51515152 7.48484848],0
a1,1,0.781594,0.076863,[ 5 61] ; [ 2 31],[ 4.66666667 61.33333333] ; [ 2.33333333 30.66666667],0
s2,1,0.822634,0.050247,[37 28] ; [18 15],[36.47959184 28.52040816] ; [18.52040816 14.47959184],0
a4,1,0.830745,0.045688,[32 33] ; [17 16],[32.5 32.5] ; [16.5 16.5],0
s3,1,0.833841,0.044007,[34 31] ; [18 15],[34.48979592 30.51020408] ; [17.51020408 15.48979592],0
p10,1,0.843095,0.039179,[41 25] ; [18 12],[40.5625 25.4375] ; [18.4375 11.5625],0
d4,1,0.859508,0.031329,[53 13] ; [26  7],[52.66666667 13.33333333] ; [26.33333333  6.66666667],0
s6,1,0.870218,0.026693,[45 17] ; [22  9],[44.66666667 17.33333333] ; [22.33333333  8.66666667],0
