Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.00678,7.330341,[ 16 113] ; [2 1],[ 17.59090909 111.40909091] ; [0.40909091 2.59090909],0
v2,1,0.294766,1.097727,[47 80] ; [2 1],[47.86923077 79.13076923] ; [1.13076923 1.86923077],0
v1,1,0.35868,0.84251,[52 77] ; [2 1],[52.77272727 76.22727273] ; [1.22727273 1.77272727],0
a4,1,0.429581,0.623957,[56 72] ; [2 1],[56.67175573 71.32824427] ; [1.32824427 1.67175573],0
n1,1,0.469998,0.52198,[24 29] ; [2 1],[24.60714286 28.39285714] ; [1.39285714 1.60714286],0
v4,1,0.525179,0.403711,[104  24] ; [2 1],[103.57251908  24.42748092] ; [2.42748092 0.57251908],0
a2,1,0.575886,0.312932,[ 26 103] ; [1 2],[ 26.38636364 102.61363636] ; [0.61363636 2.38636364],0
a6,1,0.586378,0.296036,[65 63] ; [2 1],[65.46564885 62.53435115] ; [1.53435115 1.46564885],0
s3,1,0.623322,0.241226,[61 67] ; [1 2],[60.58015267 67.41984733] ; [1.41984733 1.58015267],0
s2,1,0.680174,0.16993,[58 70] ; [1 2],[57.64885496 70.35114504] ; [1.35114504 1.64885496],0
s7,1,0.694791,0.153947,[51 63] ; [1 2],[50.66666667 63.33333333] ; [1.33333333 1.66666667],0
d3,1,0.72159,0.126974,[71 55] ; [2 1],[71.30232558 54.69767442] ; [1.69767442 1.30232558],0
b4,1,0.72757,0.121355,[73 56] ; [2 1],[73.29545455 55.70454545] ; [1.70454545 1.29545455],0
s6,1,0.77391,0.082521,[73 52] ; [2 1],[73.2421875 51.7578125] ; [1.7578125 1.2421875],0
n2,1,0.799078,0.064791,[32 22] ; [2 1],[32.21052632 21.78947368] ; [1.78947368 1.21052632],0
a5,1,0.82796,0.047227,[78 51] ; [2 1],[78.18181818 50.81818182] ; [1.81818182 1.18181818],0
a7,1,0.840566,0.040469,[78 50] ; [2 1],[78.16793893 49.83206107] ; [1.83206107 1.16793893],0
b2,1,0.858394,0.031833,[20 50] ; [1 2],[20.1369863 49.8630137] ; [0.8630137 2.1369863],0
b3,1,0.858394,0.031833,[20 50] ; [1 2],[20.1369863 49.8630137] ; [0.8630137 2.1369863],0
n5,1,0.861567,0.030408,[79 49] ; [2 1],[79.14503817 48.85496183] ; [1.85496183 1.14503817],0
n6,1,0.874754,0.024845,[79 48] ; [2 1],[79.13076923 47.86923077] ; [1.86923077 1.13076923],0
v3,1,0.913137,0.011899,[38 87] ; [1 2],[38.0859375 86.9140625] ; [0.9140625 2.0859375],0
n3,1,0.929504,0.007827,[34 19] ; [2 1],[34.07142857 18.92857143] ; [1.92857143 1.07142857],0
s8,1,0.969343,0.001477,[41 86] ; [1 2],[41.03076923 85.96923077] ; [0.96923077 2.03076923],0
a3,1,0.977661,0.000784,[85 44] ; [2 1],[85.02272727 43.97727273] ; [1.97727273 1.02272727],0
