Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.6e-05,17.669224,[30 12] ; [ 6 23],[21.29577465 20.70422535] ; [14.70422535 14.29577465],1
p6,1,0.000831,11.17152,[19 24] ; [ 2 26],[12.71830986 30.28169014] ; [ 8.28169014 19.71830986],1
a2,1,0.017126,5.68342,[ 3 40] ; [ 8 21],[ 6.56944444 36.43055556] ; [ 4.43055556 24.56944444],0
d1,1,0.01842,5.555788,[16 27] ; [19 10],[20.90277778 22.09722222] ; [14.09722222 14.90277778],0
d4,1,0.027992,4.828574,[25 18] ; [24  5],[29.26388889 13.73611111] ; [19.73611111  9.26388889],0
s3,1,0.032532,4.57023,[28 15] ; [11 17],[23.61971831 19.38028169] ; [15.38028169 12.61971831],0
n1,1,0.035391,4.42619,[6 4] ; [ 2 10],[3.63636364 6.36363636] ; [4.36363636 7.63636364],0
a7,1,0.043999,4.056607,[26 17] ; [24  5],[29.86111111 13.13888889] ; [20.13888889  8.86111111],0
d5,1,0.046501,3.963341,[30 13] ; [26  3],[33.44444444  9.55555556] ; [22.55555556  6.44444444],0
b3,1,0.048286,3.9,[ 5 27] ; [ 8 12],[ 8. 24.] ; [ 5. 15.],0
b2,1,0.048286,3.9,[ 5 27] ; [ 8 12],[ 8. 24.] ; [ 5. 15.],0
p10,1,0.062828,3.46112,[14 28] ; [ 4 25],[10.64788732 31.35211268] ; [ 7.35211268 21.64788732],0
r1,1,0.067511,3.34253,[27 16] ; [24  5],[30.45833333 12.54166667] ; [20.54166667  8.45833333],0
s7,1,0.079021,3.084921,[18 24] ; [ 6 21],[14.60869565 27.39130435] ; [ 9.39130435 17.60869565],0
s8,1,0.119061,2.429626,[15 28] ; [ 5 23],[12.11267606 30.88732394] ; [ 7.88732394 20.11267606],0
p11,1,0.132467,2.263352,[27 16] ; [13 16],[23.88888889 19.11111111] ; [16.11111111 12.88888889],0
r3,1,0.140024,2.177696,[37  6] ; [28  1],[38.81944444  4.18055556] ; [26.18055556  2.81944444],0
a4,1,0.199997,1.642399,[10 32] ; [11 18],[12.42253521 29.57746479] ; [ 8.57746479 20.42253521],0
p2,1,0.200654,1.637608,[34  9] ; [19 10],[31.65277778 11.34722222] ; [21.34722222  7.65277778],0
a6,1,0.22764,1.455548,[22 21] ; [19 10],[24.48611111 18.51388889] ; [16.51388889 12.48611111],0
u1,1,0.270509,1.214166,[ 6 37] ; [ 7 22],[ 7.76388889 35.23611111] ; [ 5.23611111 23.76388889],0
b4,1,0.309913,1.031046,[23 20] ; [19 10],[25.08333333 17.91666667] ; [16.91666667 12.08333333],0
u2,1,0.311066,1.026143,[10 12] ; [ 4 10],[ 8.55555556 13.44444444] ; [5.44444444 8.55555556],0
d2,1,0.360305,0.83683,[19 24] ; [16 13],[20.90277778 22.09722222] ; [14.09722222 14.90277778],0
u3,1,0.419946,0.650467,[13 10] ; [6 8],[11.81081081 11.18918919] ; [7.18918919 6.81081081],0
a5,1,0.461426,0.542434,[26 17] ; [20  9],[27.47222222 15.52777778] ; [18.52777778 10.47222222],0
v2,1,0.461522,0.542202,[18 24] ; [15 14],[19.52112676 22.47887324] ; [13.47887324 15.52112676],0
v4,1,0.552055,0.353649,[39  4] ; [25  4],[38.22222222  4.77777778] ; [25.77777778  3.22222222],0
p1,1,0.552055,0.353649,[ 4 39] ; [ 4 25],[ 4.77777778 38.22222222] ; [ 3.22222222 25.77777778],0
s5,1,0.552119,0.353535,[10 32] ; [ 5 23],[ 9. 33.] ; [ 6. 22.],0
s4,1,0.552119,0.353535,[10 32] ; [ 5 23],[ 9. 33.] ; [ 6. 22.],0
n2,1,0.61093,0.258824,[9 2] ; [8 3],[8.5 2.5] ; [8.5 2.5],0
r2,1,0.649755,0.206209,[37  6] ; [26  3],[37.625  5.375] ; [25.375  3.625],0
