Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002243,9.339216,[56 53] ; [ 9 30],[47.87162162 61.12837838] ; [17.12837838 21.87162162],0
p3,1,0.003812,8.371207,[48 61] ; [ 7 32],[40.50675676 68.49324324] ; [14.49324324 24.50675676],0
p7,1,0.007669,7.109229,[63 41] ; [13 24],[56.05673759 47.94326241] ; [19.94326241 17.05673759],0
a7,1,0.015575,5.850243,[80 29] ; [21 19],[73.88590604 35.11409396] ; [27.11409396 12.88590604],0
s6,1,0.017392,5.656424,[66 43] ; [15 24],[59.65540541 49.34459459] ; [21.34459459 17.65540541],0
p11,1,0.02277,5.185998,[74 35] ; [19 21],[68.03355705 40.96644295] ; [24.96644295 15.03355705],0
a6,1,0.024418,5.064697,[80 29] ; [21 18],[74.38513514 34.61486486] ; [26.61486486 12.38513514],0
p8,1,0.028341,4.807214,[48 59] ; [10 30],[42.21768707 64.78231293] ; [15.78231293 24.21768707],0
n4,1,0.0301,4.703592,[60 49] ; [14 26],[54.13422819 54.86577181] ; [19.86577181 20.13422819],0
p9,1,0.032458,4.574137,[80 27] ; [22 17],[74.75342466 32.24657534] ; [27.24657534 11.75342466],0
s1,1,0.064328,3.422135,[  3 103] ; [ 4 35],[  5.11724138 100.88275862] ; [ 1.88275862 37.11724138],0
p6,1,0.072759,3.219655,[29 76] ; [ 5 33],[24.96503497 80.03496503] ; [ 9.03496503 28.96503497],0
s5,1,0.117522,2.450036,[25 80] ; [ 4 31],[21.75 83.25] ; [ 7.25 27.75],0
u3,1,0.128452,2.311111,[28 11] ; [12  1],[30.  9.] ; [10.  3.],0
r4,1,0.133342,2.253158,[91 18] ; [29 11],[87.7852349 21.2147651] ; [32.2147651  7.7852349],0
p10,1,0.135009,2.233939,[72 35] ; [21 18],[68.15753425 38.84246575] ; [24.84246575 14.15753425],0
a8,1,0.146069,2.112832,[ 7 92] ; [ 6 34],[ 9.25899281 89.74100719] ; [ 3.74100719 36.25899281],0
d3,1,0.17331,1.854078,[74 34] ; [22 17],[70.53061224 37.46938776] ; [25.46938776 13.53061224],0
s4,1,0.179799,1.799289,[21 88] ; [ 4 36],[18.2885906 90.7114094] ; [ 6.7114094 33.2885906],0
s8,1,0.180233,1.795705,[40 69] ; [10 30],[36.57718121 72.42281879] ; [13.42281879 26.57718121],0
b4,1,0.185684,1.751534,[65 44] ; [19 21],[61.44966443 47.55033557] ; [22.55033557 17.44966443],0
a1,1,0.191416,1.706684,[  3 106] ; [ 3 37],[  4.38926174 104.61073826] ; [ 1.61073826 38.38926174],0
d5,1,0.222684,1.486989,[86 23] ; [27 12],[83.22297297 25.77702703] ; [29.77702703  9.22297297],0
r3,1,0.232687,1.424361,[99  9] ; [34  6],[97.05405405 10.94594595] ; [35.94594595  4.05405405],0
a4,1,0.238348,1.39034,[35 74] ; [17 23],[38.04026846 70.95973154] ; [13.95973154 26.04026846],0
b5,1,0.304783,1.053148,[70 39] ; [22 18],[67.30201342 41.69798658] ; [24.69798658 15.30201342],0
r2,1,0.317875,0.997671,[98 10] ; [34  6],[96.32432432 11.67567568] ; [35.67567568  4.32432432],0
v1,1,0.320444,0.987132,[49 56] ; [15 25],[46.34482759 58.65517241] ; [17.65517241 22.34482759],0
