Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-05,19.581997,[183 151] ; [15 47],[167. 167.] ; [31. 31.],1
n5,1,0.000173,14.10241,[276  58] ; [41 25],[264.695  69.305] ; [52.305 13.695],1
p8,1,0.000772,11.307916,[241  94] ; [33 32],[229.475 105.525] ; [44.525 20.475],1
d3,1,0.001265,10.392974,[251  85] ; [37 30],[240.1191067  95.8808933] ; [47.8808933 19.1191067],0
p10,1,0.001299,10.344646,[300  34] ; [49 16],[292.14536341  41.85463659] ; [56.85463659  8.14536341],0
n6,1,0.001537,10.033984,[301  34] ; [50 16],[293.22942643  41.77057357] ; [57.77057357  8.22942643],0
p5,1,0.002664,9.024719,[ 73 262] ; [ 4 63],[ 64.16666667 270.83333333] ; [12.83333333 54.16666667],0
n4,1,0.00489,7.919697,[287  49] ; [47 19],[279.1641791  56.8358209] ; [54.8358209 11.1641791],0
d1,1,0.006777,7.331235,[224 112] ; [33 34],[214.27295285 121.72704715] ; [42.72704715 24.27295285],0
s2,1,0.009043,6.814373,[191 140] ; [27 40],[181.30150754 149.69849246] ; [36.69849246 30.30150754],0
a7,1,0.013399,6.115647,[254  81] ; [41 26],[245.83333333  89.16666667] ; [49.16666667 17.83333333],0
s6,1,0.014508,5.975208,[244  82] ; [39 26],[235.95396419  90.04603581] ; [47.04603581 17.95396419],0
s7,1,0.052748,3.75189,[190 123] ; [31 34],[182.9973545 130.0026455] ; [38.0026455 26.9973545],0
p9,1,0.062134,3.479484,[308  27] ; [55 10],[304.0125  30.9875] ; [58.9875  6.0125],0
p12,1,0.065253,3.398565,[ 42 294] ; [ 3 62],[ 37.70573566 298.29426434] ; [ 7.29426434 57.70573566],0
s5,1,0.085871,2.950116,[137 183] ; [20 44],[130.83333333 189.16666667] ; [26.16666667 37.83333333],0
s4,1,0.09231,2.833624,[ 63 268] ; [ 7 60],[ 58.2160804 272.7839196] ; [11.7839196 55.2160804],0
n2,1,0.13906,2.188329,[34 17] ; [9 1],[35.95081967 15.04918033] ; [7.04918033 2.95081967],0
d2,1,0.146903,2.104113,[183 153] ; [30 37],[177.58808933 158.41191067] ; [35.41191067 31.58808933],0
r3,1,0.153082,2.041266,[321  12] ; [62  5],[318.8475  14.1525] ; [64.1525  2.8475],0
r1,1,0.167805,1.902444,[277  57] ; [50 16],[273.045  60.955] ; [53.955 12.045],0
s3,1,0.18134,1.78661,[202 129] ; [35 32],[197.10301508 133.89698492] ; [39.89698492 27.10301508],0
p11,1,0.186846,1.742315,[283  53] ; [52 15],[279.30521092  56.69478908] ; [55.69478908 11.30521092],0
b3,1,0.195391,1.676491,[ 83 134] ; [21 22],[ 86.8 130.2] ; [17.2 25.8],0
b2,1,0.195391,1.676491,[ 83 134] ; [21 22],[ 86.8 130.2] ; [17.2 25.8],0
d5,1,0.204229,1.611868,[290  45] ; [54 13],[286.66666667  48.33333333] ; [57.33333333  9.66666667],0
a4,1,0.283848,1.148571,[164 171] ; [28 39],[160. 175.] ; [32. 35.],0
n3,1,0.286827,1.134457,[38 13] ; [9 1],[39.29508197 11.70491803] ; [7.70491803 2.29508197],0
d4,1,0.290556,1.117042,[287  48] ; [54 13],[284.16666667  50.83333333] ; [56.83333333 10.16666667],0
b1,1,0.291746,1.111546,[142 194] ; [33 34],[145.9057072 190.0942928] ; [29.0942928 37.9057072],0
u1,1,0.293518,1.103415,[ 80 256] ; [12 55],[ 76.70471464 259.29528536] ; [15.29528536 51.70471464],0
b4,1,0.333725,0.934391,[197 139] ; [35 32],[193.4292804 142.5707196] ; [38.5707196 28.4292804],0
b5,1,0.353226,0.861833,[190 146] ; [42 25],[193.4292804 142.5707196] ; [38.5707196 28.4292804],0
a6,1,0.357564,0.846432,[238  98] ; [43 23],[234.86567164 101.13432836] ; [46.13432836 19.86567164],0
a2,1,0.380386,0.769453,[ 98 238] ; [16 51],[ 95.0471464 240.9528536] ; [18.9528536 48.0471464],0
a3,1,0.403779,0.697045,[253  82] ; [53 13],[255.63591022  79.36408978] ; [50.36408978 15.63591022],0
r4,1,0.405789,0.691106,[311  25] ; [60  7],[309.32009926  26.67990074] ; [61.67990074  5.32009926],0
a5,1,0.409545,0.680121,[266  70] ; [50 17],[263.46401985  72.53598015] ; [52.53598015 14.46401985],0
u3,1,0.455273,0.557491,[50 32] ; [10  4],[51.25 30.75] ; [8.75 5.25],0
v4,1,0.629853,0.232261,[323  11] ; [64  3],[322.33915212  11.66084788] ; [64.66084788  2.33915212],0
a8,1,0.669478,0.182214,[ 40 261] ; [ 7 55],[ 38.97245179 262.02754821] ; [ 8.02754821 53.97245179],0
s1,1,0.777496,0.079854,[  8 326] ; [ 2 65],[  8.32917706 325.67082294] ; [ 1.67082294 65.32917706],0
p1,1,0.790347,0.070681,[ 44 291] ; [ 8 59],[ 43.33333333 291.66666667] ; [ 8.66666667 58.33333333],0
v1,1,0.821091,0.05114,[202 126] ; [41 24],[202.80916031 125.19083969] ; [40.19083969 24.80916031],0
v2,1,0.874994,0.024749,[199 127] ; [39 26],[198.43478261 127.56521739] ; [39.56521739 25.43478261],0
p7,1,0.884384,0.021145,[265  68] ; [52 14],[264.56390977  68.43609023] ; [52.43609023 13.56390977],0
a1,1,0.919064,0.010325,[ 19 317] ; [ 4 63],[ 19.17617866 316.82382134] ; [ 3.82382134 63.17617866],0
s8,1,0.943387,0.005043,[175 158] ; [35 31],[175.26315789 157.73684211] ; [34.73684211 31.26315789],0
n1,1,0.944855,0.004784,[21 30] ; [4 6],[20.90163934 30.09836066] ; [4.09836066 5.90163934],0
u2,1,0.963103,0.00214,[49 34] ; [7 5],[48.92631579 34.07368421] ; [7.07368421 4.92631579],0
v3,1,0.983229,0.000442,[150 174] ; [30 35],[149.92287918 174.07712082] ; [30.07712082 34.92287918],0
