Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000674,11.56034,[10 54] ; [15 16],[16.84210526 47.15789474] ; [ 8.15789474 22.84210526],1
p2,1,0.00225,9.333333,[21 43] ; [21 11],[28. 36.] ; [14. 18.],0
p3,1,0.002396,9.218654,[14 49] ; [17 15],[20.55789474 42.44210526] ; [10.44210526 21.55789474],0
d3,1,0.020231,5.391839,[30 34] ; [23  9],[35.33333333 28.66666667] ; [17.66666667 14.33333333],0
s6,1,0.022141,5.234709,[21 42] ; [18 13],[26.13829787 36.86170213] ; [12.86170213 18.13829787],0
r3,1,0.024594,5.052282,[39 24] ; [27  5],[43.76842105 19.23157895] ; [22.23157895  9.76842105],0
r4,1,0.029096,4.761905,[31 33] ; [23  9],[36. 28.] ; [18. 14.],0
s3,1,0.029197,4.755986,[19 44] ; [17 15],[23.87368421 39.12631579] ; [12.12631579 19.87368421],0
n5,1,0.050351,3.829717,[37 26] ; [12 20],[32.49473684 30.50526316] ; [16.50526316 15.49473684],0
s2,1,0.056229,3.645269,[13 51] ; [12 19],[16.84210526 47.15789474] ; [ 8.15789474 22.84210526],0
p7,1,0.058117,3.590325,[19 44] ; [16 16],[23.21052632 39.78947368] ; [11.78947368 20.21052632],0
v3,1,0.060863,3.513718,[13 46] ; [13 19],[16.85714286 42.14285714] ; [ 9.14285714 22.85714286],0
a3,1,0.066334,3.371488,[40 23] ; [14 18],[35.81052632 27.18947368] ; [18.18947368 13.81052632],0
p6,1,0.072778,3.219231,[ 7 55] ; [ 8 23],[10. 52.] ; [ 5. 26.],0
n6,1,0.096221,2.767091,[30 33] ; [21 11],[33.82105263 29.17894737] ; [17.17894737 14.82105263],0
u2,1,0.115589,2.476088,[12 11] ; [ 5 13],[ 9.53658537 13.46341463] ; [ 7.46341463 10.53658537],0
n4,1,0.12104,2.403809,[40 23] ; [15 17],[36.47368421 26.52631579] ; [18.52631579 13.47368421],0
b3,1,0.203201,1.619215,[14 22] ; [ 5 17],[11.79310345 24.20689655] ; [ 7.20689655 14.79310345],0
b2,1,0.203201,1.619215,[14 22] ; [ 5 17],[11.79310345 24.20689655] ; [ 7.20689655 14.79310345],0
s4,1,0.235109,1.409683,[10 54] ; [ 8 23],[12.12631579 51.87368421] ; [ 5.87368421 25.12631579],0
v2,1,0.271862,1.207329,[20 42] ; [14 18],[22.42553191 39.57446809] ; [11.57446809 20.42553191],0
v4,1,0.291771,1.11143,[42 20] ; [25  7],[44.19148936 17.80851064] ; [22.80851064  9.19148936],0
d4,1,0.292838,1.106529,[46 17] ; [20 12],[43.76842105 19.23157895] ; [22.23157895  9.76842105],0
a4,1,0.341371,0.905277,[26 37] ; [10 22],[23.87368421 39.12631579] ; [12.12631579 19.87368421],0
a1,1,0.344659,0.893023,[ 8 56] ; [ 2 30],[ 6.66666667 57.33333333] ; [ 3.33333333 28.66666667],0
b4,1,0.385547,0.752941,[36 28] ; [15 17],[34. 30.] ; [17. 15.],0
s5,1,0.394097,0.726264,[ 8 55] ; [ 6 25],[ 9.38297872 53.61702128] ; [ 4.61702128 26.38297872],0
p10,1,0.398857,0.71177,[10 54] ; [ 3 29],[ 8.66666667 55.33333333] ; [ 4.33333333 27.66666667],0
s1,1,0.44447,0.584715,[ 7 56] ; [ 2 30],[ 5.96842105 57.03157895] ; [ 3.03157895 28.96842105],0
n3,1,0.468717,0.525,[15 17] ; [6 4],[16. 16.] ; [5. 5.],0
a6,1,0.470101,0.521739,[35 29] ; [15 17],[33.33333333 30.66666667] ; [16.66666667 15.33333333],0
u1,1,0.512691,0.428571,[ 7 57] ; [ 5 27],[ 8. 56.] ; [ 4. 28.],0
a5,1,0.561572,0.33699,[34 30] ; [19 13],[35.33333333 28.66666667] ; [17.66666667 14.33333333],0
n1,1,0.56514,0.330882,[14 21] ; [3 7],[13.22222222 21.77777778] ; [3.77777778 6.22222222],0
p1,1,0.578795,0.308186,[ 4 60] ; [ 3 29],[ 4.66666667 59.33333333] ; [ 2.33333333 29.66666667],0
s7,1,0.60197,0.272035,[11 46] ; [ 7 22],[11.93023256 45.06976744] ; [ 6.06976744 22.93023256],0
d2,1,0.614679,0.253417,[31 32] ; [14 18],[29.84210526 33.15789474] ; [15.15789474 16.84210526],0
a7,1,0.615903,0.251668,[36 27] ; [20 12],[37.13684211 25.86315789] ; [18.86315789 13.13684211],0
n2,1,0.748428,0.102857,[19 16] ; [6 4],[19.44444444 15.55555556] ; [5.55555556 4.44444444],0
v1,1,0.757562,0.095285,[20 44] ; [11 21],[20.66666667 43.33333333] ; [10.33333333 21.66666667],0
a8,1,0.759325,0.093861,[ 3 56] ; [ 2 28],[ 3.31460674 55.68539326] ; [ 1.68539326 28.31460674],0
b1,1,0.766797,0.087952,[40 24] ; [19 13],[39.33333333 24.66666667] ; [19.66666667 12.33333333],0
r2,1,0.773112,0.083121,[50 12] ; [25  7],[49.46808511 12.53191489] ; [25.53191489  6.46808511],0
r1,1,0.837599,0.042011,[40 23] ; [21 11],[40.45263158 22.54736842] ; [20.54736842 11.45263158],0
u3,1,0.857136,0.032407,[10 14] ; [ 8 10],[10.28571429 13.71428571] ; [ 7.71428571 10.28571429],0
d1,1,0.884002,0.021286,[27 37] ; [14 18],[27.33333333 36.66666667] ; [13.66666667 18.33333333],0
b5,1,0.884836,0.020979,[35 29] ; [17 15],[34.66666667 29.33333333] ; [17.33333333 14.66666667],0
s8,1,0.974579,0.001015,[10 53] ; [ 5 26],[10.05319149 52.94680851] ; [ 4.94680851 26.05319149],0
d5,1,1.0,0.0,[44 20] ; [22 10],[44. 20.] ; [22. 10.],0
a2,1,1.0,0.0,[12 52] ; [ 6 26],[12. 52.] ; [ 6. 26.],0
