Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
d1,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
d3,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
p7,1,0.259796,1.269841,[5 1] ; [2 2],[4.2 1.8] ; [2.8 1.2],0
a7,1,0.429195,0.625,[3 3] ; [1 3],[2.4 3.6] ; [1.6 2.4],0
a6,1,0.429195,0.625,[3 3] ; [3 1],[3.6 2.4] ; [2.4 1.6],0
a8,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
b4,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
s5,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
d2,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
r3,1,0.746886,0.104167,[5 1] ; [3 1],[4.8 1.2] ; [3.2 0.8],0
p1,1,0.746886,0.104167,[1 5] ; [1 3],[1.2 4.8] ; [0.8 3.2],0
p2,1,0.746886,0.104167,[5 1] ; [3 1],[4.8 1.2] ; [3.2 0.8],0
s3,1,0.746886,0.104167,[1 5] ; [1 3],[1.2 4.8] ; [0.8 3.2],0
d4,1,0.746886,0.104167,[5 1] ; [3 1],[4.8 1.2] ; [3.2 0.8],0
d5,1,0.77816,0.079365,[4 2] ; [3 1],[4.2 1.8] ; [2.8 1.2],0
v4,1,0.77816,0.079365,[4 2] ; [3 1],[4.2 1.8] ; [2.8 1.2],0
p3,1,0.77816,0.079365,[4 2] ; [3 1],[4.2 1.8] ; [2.8 1.2],0
a3,1,0.77816,0.079365,[4 2] ; [3 1],[4.2 1.8] ; [2.8 1.2],0
r4,1,0.77816,0.079365,[4 2] ; [3 1],[4.2 1.8] ; [2.8 1.2],0
s2,1,0.77816,0.079365,[2 4] ; [1 3],[1.8 4.2] ; [1.2 2.8],0
a4,1,0.77816,0.079365,[2 4] ; [1 3],[1.8 4.2] ; [1.2 2.8],0
v3,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
r1,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
v2,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
b5,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
v1,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
