Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.475936,[ 4 29] ; [86 16],[22. 11.] ; [68. 34.],1
p11,1,0.0,28.712528,[ 3 30] ; [64 38],[16.37777778 16.62222222] ; [50.62222222 51.37777778],1
v4,1,0.0,25.95842,[14 19] ; [88 14],[24.93333333  8.06666667] ; [77.06666667 24.93333333],1
p9,1,3.3e-05,17.265402,[ 6 24] ; [62 36],[15.9375 14.0625] ; [52.0625 45.9375],1
p10,1,0.000133,14.603161,[ 6 26] ; [57 42],[15.38931298 16.61068702] ; [47.61068702 51.38931298],1
s6,1,0.000159,14.259912,[ 6 27] ; [56 44],[15.38345865 17.61654135] ; [46.61654135 53.38345865],1
v2,1,0.000557,11.91561,[ 4 28] ; [44 50],[12.19047619 19.80952381] ; [35.80952381 58.19047619],1
n6,1,0.000677,11.550802,[14 19] ; [76 26],[22. 11.] ; [68. 34.],1
s8,1,0.000873,11.079642,[ 2 31] ; [37 65],[ 9.53333333 23.46666667] ; [29.46666667 72.53333333],1
s2,1,0.000996,10.834954,[ 3 30] ; [40 60],[10.66917293 22.33082707] ; [32.33082707 67.66917293],1
d4,1,0.001111,10.631988,[17 16] ; [82 20],[24.2  8.8] ; [74.8 27.2],0
r1,1,0.001257,10.404215,[13 20] ; [72 30],[20.77777778 12.22222222] ; [64.22222222 37.77777778],0
p4,1,0.001607,9.951169,[ 1 32] ; [30 71],[ 7.63432836 25.36567164] ; [23.36567164 77.63432836],0
r2,1,0.003237,8.669021,[22 10] ; [91 10],[27.18796992  4.81203008] ; [85.81203008 15.18796992],0
u2,1,0.005069,7.854545,[ 3 12] ; [21 12],[7.5 7.5] ; [16.5 16.5],0
u3,1,0.005069,7.854545,[ 3 12] ; [21 12],[7.5 7.5] ; [16.5 16.5],0
a1,1,0.005755,7.625334,[ 8 25] ; [ 7 95],[ 3.66666667 29.33333333] ; [11.33333333 90.66666667],0
b5,1,0.005949,7.565699,[11 22] ; [62 40],[17.84444444 15.15555556] ; [55.15555556 46.84444444],0
p3,1,0.012295,6.267879,[ 2 31] ; [27 74],[ 7.14179104 25.85820896] ; [21.85820896 79.14179104],0
n3,1,0.020199,5.394618,[ 6 11] ; [28 13],[9.96551724 7.03448276] ; [24.03448276 16.96551724],0
u1,1,0.022376,5.216316,[ 1 32] ; [20 82],[ 5.13333333 27.86666667] ; [15.86666667 86.13333333],0
d3,1,0.024321,5.071588,[13 20] ; [63 39],[18.57777778 14.42222222] ; [57.42222222 44.57777778],0
s7,1,0.026926,4.895564,[ 5 26] ; [36 60],[10.00787402 20.99212598] ; [30.99212598 65.00787402],0
b1,1,0.031716,4.613791,[21 12] ; [43 59],[15.64444444 17.35555556] ; [48.35555556 53.64444444],0
n5,1,0.033526,4.518717,[25  8] ; [56 46],[19.8 13.2] ; [61.2 40.8],0
p1,1,0.033657,4.512032,[ 7 26] ; [ 8 94],[ 3.66666667 29.33333333] ; [11.33333333 90.66666667],0
s5,1,0.034689,4.460411,[ 3 30] ; [25 68],[ 7.33333333 25.66666667] ; [20.66666667 72.33333333],0
s3,1,0.038927,4.264034,[ 6 24] ; [41 60],[10.76335878 19.23664122] ; [36.23664122 64.76335878],0
a5,1,0.057903,3.596447,[17 16] ; [71 31],[21.51111111 11.48888889] ; [66.48888889 35.51111111],0
a7,1,0.079711,3.070793,[15 18] ; [64 38],[19.31111111 13.68888889] ; [59.68888889 42.31111111],0
d5,1,0.089258,2.887701,[18 15] ; [72 30],[22. 11.] ; [68. 34.],0
s1,1,0.09423,2.800583,[ 5 28] ; [ 6 95],[ 2.70895522 30.29104478] ; [ 8.29104478 92.70895522],0
d1,1,0.097732,2.742174,[12 21] ; [54 48],[16.13333333 16.86666667] ; [49.86666667 52.13333333],0
v1,1,0.148578,2.086786,[ 7 26] ; [34 64],[10.32824427 22.67175573] ; [30.67175573 67.32824427],0
n2,1,0.178548,1.809669,[9 9] ; [30 14],[11.32258065  6.67741935] ; [27.67741935 16.32258065],0
n4,1,0.181451,1.785703,[24  9] ; [61 41],[20.77777778 12.22222222] ; [64.22222222 37.77777778],0
p6,1,0.181475,1.785505,[ 1 31] ; [11 90],[ 2.88721805 29.11278195] ; [ 9.11278195 91.88721805],0
a2,1,0.219667,1.506548,[ 5 28] ; [26 76],[ 7.57777778 25.42222222] ; [23.42222222 78.57777778],0
b3,1,0.237399,1.395975,[13 11] ; [24 36],[10.57142857 13.42857143] ; [26.42857143 33.57142857],0
b2,1,0.237399,1.395975,[13 11] ; [24 36],[10.57142857 13.42857143] ; [26.42857143 33.57142857],0
d2,1,0.290871,1.115587,[14 18] ; [55 46],[16.60150376 15.39849624] ; [52.39849624 48.60150376],0
a3,1,0.325947,0.964935,[18 13] ; [69 33],[20.27819549 10.72180451] ; [66.72180451 35.27819549],0
p12,1,0.329848,0.949494,[ 1 32] ; [ 8 93],[ 2.21641791 30.78358209] ; [ 6.78358209 94.21641791],0
v3,1,0.369732,0.804566,[ 9 24] ; [33 59],[11.088 21.912] ; [30.912 61.088],0
n1,1,0.417385,0.657667,[10  8] ; [19 24],[8.55737705 9.44262295] ; [20.44262295 22.55737705],0
a8,1,0.430608,0.621184,[ 1 30] ; [ 7 91],[ 1.92248062 29.07751938] ; [ 6.07751938 91.92248062],0
s4,1,0.462587,0.539629,[ 5 28] ; [21 79],[ 6.45112782 26.54887218] ; [19.54887218 80.45112782],0
b4,1,0.526068,0.401981,[18 15] ; [62 40],[19.55555556 13.44444444] ; [60.44444444 41.55555556],0
a4,1,0.55078,0.355922,[13 18] ; [49 53],[14.45112782 16.54887218] ; [47.54887218 54.45112782],0
p8,1,0.572398,0.318686,[ 3 30] ; [13 89],[ 3.91111111 29.08888889] ; [12.08888889 89.91111111],0
a6,1,0.594077,0.284021,[18 15] ; [61 41],[19.31111111 13.68888889] ; [59.68888889 42.31111111],0
p5,1,0.629452,0.232804,[ 2 31] ; [ 4 95],[ 1.5 31.5] ; [ 4.5 94.5],0
