Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000134,14.589294,[13 66] ; [17 16],[21.16071429 57.83928571] ; [ 8.83928571 24.16071429],1
p5,1,0.000329,12.896217,[ 2 74] ; [ 8 25],[ 6.97247706 69.02752294] ; [ 3.02752294 29.97247706],1
p7,1,0.000545,11.954529,[21 56] ; [20 12],[28.96330275 48.03669725] ; [12.03669725 19.96330275],1
s3,1,0.007067,7.255768,[48 31] ; [10 21],[41.65454545 37.34545455] ; [16.34545455 14.65454545],0
d4,1,0.007147,7.235736,[64 15] ; [18 14],[58.36036036 20.63963964] ; [23.63963964  8.36036036],0
b5,1,0.014621,5.961516,[58 22] ; [16 17],[52.38938053 27.61061947] ; [21.61061947 11.38938053],0
p3,1,0.015013,5.915,[23 57] ; [17 15],[28.57142857 51.42857143] ; [11.42857143 20.57142857],0
p4,1,0.024509,5.058243,[24 55] ; [17 15],[29.18018018 49.81981982] ; [11.81981982 20.18018018],0
r3,1,0.024874,5.032639,[76  4] ; [27  6],[72.92035398  7.07964602] ; [30.07964602  2.92035398],0
d5,1,0.039703,4.230542,[60 19] ; [18 14],[55.51351351 23.48648649] ; [22.48648649  9.51351351],0
d2,1,0.041752,4.145235,[41 37] ; [10 22],[36.16363636 41.83636364] ; [14.83636364 17.16363636],0
u1,1,0.065601,3.3898,[16 64] ; [ 2 31],[12.74336283 67.25663717] ; [ 5.25663717 27.74336283],0
a3,1,0.090365,2.867861,[56 24] ; [17 15],[52.14285714 27.85714286] ; [20.85714286 11.14285714],0
s1,1,0.101141,2.687462,[ 3 75] ; [ 4 29],[ 4.91891892 73.08108108] ; [ 2.08108108 30.91891892],0
a2,1,0.128008,2.316494,[20 60] ; [ 4 29],[16.99115044 63.00884956] ; [ 7.00884956 25.99115044],0
s5,1,0.146556,2.107735,[19 53] ; [13 19],[22.15384615 49.84615385] ; [ 9.84615385 22.15384615],0
v2,1,0.154914,2.023189,[36 37] ; [20 11],[39.30769231 33.69230769] ; [16.69230769 14.30769231],0
v1,1,0.156502,2.007705,[33 44] ; [19 14],[36.4 40.6] ; [15.6 17.4],0
a7,1,0.174977,1.839779,[50 30] ; [25  8],[53.09734513 26.90265487] ; [21.90265487 11.09734513],0
a1,1,0.213398,1.548226,[ 8 72] ; [ 1 32],[ 6.37168142 73.62831858] ; [ 2.62831858 30.37168142],0
p11,1,0.230171,1.439803,[54 26] ; [26  7],[56.63716814 23.36283186] ; [23.36283186  9.63716814],0
s8,1,0.230804,1.435897,[40 40] ; [12 20],[37.14285714 42.85714286] ; [14.85714286 17.14285714],0
u2,1,0.242908,1.363636,[15  9] ; [7 9],[13.2 10.8] ; [8.8 7.2],0
b1,1,0.252579,1.308983,[36 44] ; [11 22],[33.27433628 46.72566372] ; [13.72566372 19.27433628],0
p1,1,0.315224,1.008661,[ 7 73] ; [ 5 28],[ 8.49557522 71.50442478] ; [ 3.50442478 29.49557522],0
p12,1,0.315224,1.008661,[ 7 73] ; [ 5 28],[ 8.49557522 71.50442478] ; [ 3.50442478 29.49557522],0
s4,1,0.326538,0.962579,[21 57] ; [ 6 27],[18.97297297 59.02702703] ; [ 8.02702703 24.97297297],0
n3,1,0.388904,0.742367,[24  7] ; [5 3],[23.05128205  7.94871795] ; [5.94871795 2.05128205],0
p10,1,0.391604,0.733955,[65 15] ; [29  4],[66.54867257 13.45132743] ; [27.45132743  5.54867257],0
v4,1,0.397454,0.716016,[71  9] ; [31  2],[72.21238938  7.78761062] ; [29.78761062  3.21238938],0
v3,1,0.424424,0.638034,[24 46] ; [14 19],[25.82524272 44.17475728] ; [12.17475728 20.82524272],0
s7,1,0.486911,0.483346,[37 41] ; [12 18],[35.38888889 42.61111111] ; [13.61111111 16.38888889],0
u4,1,0.487653,0.481701,[ 5 75] ; [ 1 32],[ 4.24778761 75.75221239] ; [ 1.75221239 31.24778761],0
a6,1,0.521577,0.410774,[52 27] ; [19 13],[50.53153153 28.46846847] ; [20.46846847 11.53153153],0
n6,1,0.539267,0.376901,[58 22] ; [25  7],[59.28571429 20.71428571] ; [23.71428571  8.28571429],0
s2,1,0.548152,0.360638,[42 37] ; [15 17],[40.56756757 38.43243243] ; [16.43243243 15.56756757],0
d3,1,0.573123,0.317486,[49 30] ; [18 14],[47.68468468 31.31531532] ; [19.31531532 12.68468468],0
u3,1,0.601456,0.272805,[13 11] ; [10  6],[13.8 10.2] ; [9.2 6.8],0
n4,1,0.629078,0.233313,[57 23] ; [22 11],[55.92920354 24.07079646] ; [23.07079646  9.92920354],0
a4,1,0.632096,0.229229,[39 41] ; [14 18],[37.85714286 42.14285714] ; [15.14285714 16.85714286],0
d1,1,0.645586,0.211511,[45 35] ; [17 16],[43.89380531 36.10619469] ; [18.10619469 14.89380531],0
b3,1,0.722831,0.125796,[20 33] ; [ 7 14],[19.33783784 33.66216216] ; [ 7.66216216 13.33783784],0
b2,1,0.722831,0.125796,[20 33] ; [ 7 14],[19.33783784 33.66216216] ; [ 7.66216216 13.33783784],0
r1,1,0.771883,0.08405,[56 24] ; [24  9],[56.63716814 23.36283186] ; [23.36283186  9.63716814],0
n5,1,0.793183,0.068738,[57 22] ; [23 10],[56.42857143 22.57142857] ; [23.57142857  9.42857143],0
a8,1,0.803672,0.061801,[ 9 68] ; [ 3 27],[ 8.63551402 68.36448598] ; [ 3.36448598 26.63551402],0
s6,1,0.902202,0.015099,[49 31] ; [20 12],[49.28571429 30.71428571] ; [19.71428571 12.28571429],0
b4,1,0.908323,0.01326,[47 33] ; [19 14],[46.72566372 33.27433628] ; [19.27433628 13.72566372],0
a5,1,0.921145,0.009799,[55 25] ; [23 10],[55.22123894 24.77876106] ; [22.77876106 10.22123894],0
n1,1,0.935146,0.006621,[16 15] ; [4 4],[15.8974359 15.1025641] ; [4.1025641 3.8974359],0
r2,1,0.968939,0.001516,[72  7] ; [30  3],[71.94642857  7.05357143] ; [30.05357143  2.94642857],0
n2,1,0.975736,0.000925,[27  4] ; [7 1],[27.02564103  3.97435897] ; [6.97435897 1.02564103],0
r4,1,0.983656,0.00042,[68 12] ; [28  5],[67.96460177 12.03539823] ; [28.03539823  4.96460177],0
