Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.012662,6.215706,[1 1] ; [ 1 26],[0.13793103 1.86206897] ; [ 1.86206897 25.13793103],0
a8,1,0.014597,5.964497,[1 1] ; [ 1 25],[0.14285714 1.85714286] ; [ 1.85714286 24.14285714],0
a1,1,0.056332,3.642213,[1 1] ; [ 2 25],[0.20689655 1.79310345] ; [ 2.79310345 24.20689655],0
p6,1,0.134169,2.24359,[1 1] ; [ 3 23],[0.28571429 1.71428571] ; [ 3.71428571 22.28571429],0
s7,1,0.346912,0.884722,[1 1] ; [ 5 19],[0.46153846 1.53846154] ; [ 5.53846154 18.46153846],0
d2,1,0.375728,0.784632,[1 1] ; [ 6 21],[0.48275862 1.51724138] ; [ 6.51724138 20.48275862],0
s8,1,0.375728,0.784632,[1 1] ; [ 6 21],[0.48275862 1.51724138] ; [ 6.51724138 20.48275862],0
p3,1,0.396818,0.717949,[1 1] ; [ 6 20],[0.5 1.5] ; [ 6.5 19.5],0
s2,1,0.462336,0.540234,[1 1] ; [ 7 20],[0.55172414 1.44827586] ; [ 7.44827586 19.55172414],0
n4,1,0.632305,0.228947,[1 1] ; [ 9 18],[0.68965517 1.31034483] ; [ 9.31034483 17.68965517],0
r1,1,0.715441,0.132903,[1 1] ; [10 17],[0.75862069 1.24137931] ; [10.24137931 16.75862069],0
v4,1,0.715441,0.132903,[1 1] ; [17 10],[1.24137931 0.75862069] ; [16.75862069 10.24137931],0
d3,1,0.715441,0.132903,[1 1] ; [17 10],[1.24137931 0.75862069] ; [16.75862069 10.24137931],0
b5,1,0.797533,0.065813,[1 1] ; [16 11],[1.17241379 0.82758621] ; [15.82758621 11.17241379],0
d5,1,0.878842,0.023237,[1 1] ; [15 12],[1.10344828 0.89655172] ; [14.89655172 12.10344828],0
p4,1,0.878842,0.023237,[1 1] ; [12 15],[0.89655172 1.10344828] ; [12.10344828 14.89655172],0
a3,1,0.878842,0.023237,[1 1] ; [12 15],[0.89655172 1.10344828] ; [12.10344828 14.89655172],0
a6,1,0.959668,0.002557,[1 1] ; [13 14],[0.96551724 1.03448276] ; [13.03448276 13.96551724],0
