Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.119891,[11 23] ; [48  9],[22.04395604 11.95604396] ; [36.95604396 20.04395604],1
v3,1,0.002336,9.265149,[ 3 29] ; [22 33],[ 9.1954023 22.8045977] ; [15.8045977 39.1954023],0
n3,1,0.008657,6.892308,[4 9] ; [12  3],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
n6,1,0.008976,6.82765,[22 12] ; [50  7],[26.9010989  7.0989011] ; [45.0989011 11.9010989],0
p9,1,0.019614,5.445911,[24  9] ; [52  5],[27.86666667  5.13333333] ; [48.13333333  8.86666667],0
p10,1,0.035296,4.430792,[23 10] ; [50  7],[26.76666667  6.23333333] ; [46.23333333 10.76666667],0
v2,1,0.043926,4.059385,[11 22] ; [30 24],[15.55172414 17.44827586] ; [25.44827586 28.55172414],0
s3,1,0.047345,3.933088,[21 13] ; [46 11],[25.03296703  8.96703297] ; [41.96703297 15.03296703],0
p11,1,0.047345,3.933088,[21 13] ; [46 11],[25.03296703  8.96703297] ; [41.96703297 15.03296703],0
p2,1,0.053706,3.721805,[22 11] ; [48  9],[25.66666667  7.33333333] ; [44.33333333 12.66666667],0
a3,1,0.06545,3.39359,[16 18] ; [38 19],[20.17582418 13.82417582] ; [33.82417582 23.17582418],0
s7,1,0.076916,3.128889,[14 19] ; [34 21],[18. 15.] ; [30. 25.],0
a2,1,0.086352,2.941089,[ 1 33] ; [ 8 49],[ 3.36263736 30.63736264] ; [ 5.63736264 51.36263736],0
s6,1,0.096376,2.764517,[23 11] ; [44  9],[26.18390805  7.81609195] ; [40.81609195 12.18390805],0
a8,1,0.099648,2.711162,[ 1 30] ; [ 8 47],[ 3.24418605 27.75581395] ; [ 5.75581395 49.24418605],0
a4,1,0.104121,2.641254,[ 7 27] ; [21 36],[10.46153846 23.53846154] ; [17.53846154 39.46153846],0
r4,1,0.13976,2.180602,[18 16] ; [39 18],[21.2967033 12.7032967] ; [35.7032967 21.2967033],0
s4,1,0.141082,2.166122,[14 20] ; [15 42],[10.83516484 23.16483516] ; [18.16483516 38.83516484],0
v1,1,0.160223,1.972118,[14 20] ; [30 23],[17.1954023 16.8045977] ; [26.8045977 26.1954023],0
d2,1,0.179754,1.799659,[ 9 25] ; [23 34],[11.95604396 22.04395604] ; [20.04395604 36.95604396],0
b5,1,0.198225,1.655404,[20 14] ; [41 16],[22.79120879 11.20879121] ; [38.20879121 18.79120879],0
s8,1,0.202839,1.621812,[15 19] ; [33 24],[17.93406593 16.06593407] ; [30.06593407 26.93406593],0
p4,1,0.218221,1.516033,[17 17] ; [36 21],[19.8021978 14.1978022] ; [33.1978022 23.8021978],0
u3,1,0.236294,1.402569,[12  6] ; [ 9 10],[10.21621622  7.78378378] ; [10.78378378  8.21621622],0
a5,1,0.303593,1.058343,[19 15] ; [38 19],[21.2967033 12.7032967] ; [35.7032967 21.2967033],0
p7,1,0.329012,0.952782,[16 16] ; [34 22],[18.18181818 13.81818182] ; [31.81818182 24.18181818],0
p5,1,0.330429,0.947217,[ 2 31] ; [ 7 49],[ 3.33707865 29.66292135] ; [ 5.66292135 50.33707865],0
d1,1,0.369879,0.80407,[14 20] ; [29 28],[16.06593407 17.93406593] ; [26.93406593 30.06593407],0
s5,1,0.394476,0.725099,[17 16] ; [21 29],[15.10843373 17.89156627] ; [22.89156627 27.10843373],0
p12,1,0.409067,0.681512,[ 1 33] ; [ 4 53],[ 1.86813187 32.13186813] ; [ 3.13186813 53.86813187],0
u2,1,0.413272,0.669368,[ 8 10] ; [11  8],[9.24324324 8.75675676] ; [9.75675676 9.24324324],0
d4,1,0.424112,0.638894,[25  9] ; [46 11],[26.52747253  7.47252747] ; [44.47252747 12.52747253],0
b1,1,0.428432,0.62707,[16 18] ; [22 35],[14.1978022 19.8021978] ; [23.8021978 33.1978022],0
r3,1,0.460651,0.544312,[31  3] ; [49  8],[29.89010989  4.10989011] ; [50.10989011  6.89010989],0
n2,1,0.50198,0.450747,[10  3] ; [13  2],[10.67857143  2.32142857] ; [12.32142857  2.67857143],0
u1,1,0.507923,0.438345,[ 3 31] ; [ 3 54],[ 2.24175824 31.75824176] ; [ 3.75824176 53.24175824],0
b4,1,0.520345,0.413209,[22 12] ; [33 24],[20.54945055 13.45054945] ; [34.45054945 22.54945055],0
p6,1,0.585694,0.297119,[12 22] ; [23 33],[13.22222222 20.77777778] ; [21.77777778 34.22222222],0
s1,1,0.601171,0.273233,[ 1 33] ; [ 3 54],[ 1.49450549 32.50549451] ; [ 2.50549451 54.49450549],0
p1,1,0.643496,0.214199,[ 2 31] ; [ 5 52],[ 2.56666667 30.43333333] ; [ 4.43333333 52.56666667],0
a6,1,0.679901,0.170237,[20 14] ; [31 26],[19.05494505 14.94505495] ; [31.94505495 25.05494505],0
d5,1,0.684031,0.165624,[23 10] ; [42 15],[23.83333333  9.16666667] ; [41.16666667 15.83333333],0
r2,1,0.723568,0.1251,[28  6] ; [46  8],[28.59090909  5.40909091] ; [45.40909091  8.59090909],0
p3,1,0.724505,0.124217,[16 18] ; [29 28],[16.81318681 17.18681319] ; [28.18681319 28.81318681],0
v4,1,0.839132,0.04121,[29  4] ; [50  6],[29.29213483  3.70786517] ; [49.70786517  6.29213483],0
a7,1,0.847239,0.037111,[19 14] ; [34 23],[19.43333333 13.56666667] ; [33.56666667 23.43333333],0
a1,1,0.855009,0.033391,[ 4 30] ; [ 6 51],[ 3.73626374 30.26373626] ; [ 6.26373626 50.73626374],0
b2,1,0.913635,0.011762,[ 5 14] ; [10 30],[ 4.83050847 14.16949153] ; [10.16949153 29.83050847],0
b3,1,0.913635,0.011762,[ 5 14] ; [10 30],[ 4.83050847 14.16949153] ; [10.16949153 29.83050847],0
d3,1,0.940387,0.005592,[20 13] ; [35 22],[20.16666667 12.83333333] ; [34.83333333 22.16666667],0
p8,1,0.940728,0.005529,[15 18] ; [25 31],[14.83146067 18.16853933] ; [25.16853933 30.83146067],0
n1,1,1.0,0.0,[4 8] ; [ 5 10],[4. 8.] ; [ 5. 10.],0
