Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4.8e-05,16.531605,[ 4 10] ; [29  4],[9.82978723 4.17021277] ; [23.17021277  9.82978723],1
p11,1,0.00105,10.736474,[ 4 10] ; [26  7],[8.93617021 5.06382979] ; [21.06382979 11.93617021],0
v1,1,0.006334,7.452865,[ 2 12] ; [19 14],[6.25531915 7.74468085] ; [14.74468085 18.25531915],0
a7,1,0.008979,6.826988,[5 9] ; [25  8],[8.93617021 5.06382979] ; [21.06382979 11.93617021],0
v4,1,0.034437,4.472882,[10  4] ; [31  2],[12.21276596  1.78723404] ; [28.78723404  4.21276596],0
r4,1,0.04021,4.209017,[8 6] ; [28  5],[10.72340426  3.27659574] ; [25.27659574  7.72340426],0
d4,1,0.053532,3.727232,[12  2] ; [18 14],[9.13043478 4.86956522] ; [20.86956522 11.13043478],0
a4,1,0.053532,3.727232,[ 2 12] ; [14 18],[4.86956522 9.13043478] ; [11.13043478 20.86956522],0
s5,1,0.079523,3.074616,[ 2 12] ; [13 19],[4.56521739 9.43478261] ; [10.43478261 21.56521739],0
s7,1,0.088065,2.909388,[ 2 12] ; [12 18],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],0
n6,1,0.103382,2.652581,[7 6] ; [25  7],[9.24444444 3.75555556] ; [22.75555556  9.24444444],0
s8,1,0.115379,2.478954,[ 2 12] ; [12 20],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
n4,1,0.128229,2.31382,[6 8] ; [22 11],[8.34042553 5.65957447] ; [19.65957447 13.34042553],0
r1,1,0.132645,2.261272,[7 7] ; [24  9],[9.23404255 4.76595745] ; [21.76595745 11.23404255],0
p6,1,0.147926,2.09351,[ 4 10] ; [17 16],[6.25531915 7.74468085] ; [14.74468085 18.25531915],0
p5,1,0.173035,1.856453,[ 1 13] ; [ 8 25],[ 2.68085106 11.31914894] ; [ 6.31914894 26.68085106],0
n5,1,0.198708,1.651842,[7 7] ; [23 10],[8.93617021 5.06382979] ; [21.06382979 11.93617021],0
n3,1,0.220671,1.5,[1 3] ; [5 3],[2. 2.] ; [4. 4.],0
u3,1,0.221099,1.497222,[2 4] ; [10  6],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
b5,1,0.320799,0.985687,[9 5] ; [16 17],[7.44680851 6.55319149] ; [17.55319149 15.44680851],0
d1,1,0.320799,0.985687,[5 9] ; [17 16],[6.55319149 7.44680851] ; [15.44680851 17.55319149],0
u1,1,0.355403,0.854072,[ 2 12] ; [ 2 31],[ 1.19148936 12.80851064] ; [ 2.80851064 30.19148936],0
v2,1,0.357467,0.846774,[7 7] ; [20 11],[8.4 5.6] ; [18.6 12.4],0
v3,1,0.371614,0.798262,[ 4 10] ; [14 19],[5.36170213 8.63829787] ; [12.63829787 20.36170213],0
s6,1,0.428207,0.62768,[7 7] ; [20 12],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
b3,1,0.430412,0.621711,[1 5] ; [ 7 14],[1.77777778 4.22222222] ; [ 6.22222222 14.77777778],0
b2,1,0.430412,0.621711,[1 5] ; [ 7 14],[1.77777778 4.22222222] ; [ 6.22222222 14.77777778],0
a6,1,0.435797,0.607324,[10  4] ; [19 13],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
d2,1,0.446931,0.578423,[6 8] ; [10 22],[4.86956522 9.13043478] ; [11.13043478 20.86956522],0
s3,1,0.49168,0.472847,[6 8] ; [10 21],[4.97777778 9.02222222] ; [11.02222222 19.97777778],0
b1,1,0.534314,0.386181,[6 8] ; [11 22],[5.06382979 8.93617021] ; [11.93617021 21.06382979],0
r2,1,0.536905,0.381306,[11  2] ; [30  3],[11.58695652  1.41304348] ; [29.41304348  3.58695652],0
n2,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
d5,1,0.610534,0.259398,[9 5] ; [18 14],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
b4,1,0.632829,0.228244,[7 7] ; [19 14],[7.74468085 6.25531915] ; [18.25531915 14.74468085],0
p7,1,0.668999,0.182775,[9 4] ; [20 12],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
d3,1,0.69537,0.153333,[7 7] ; [18 14],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
a5,1,0.715892,0.132463,[9 5] ; [23 10],[9.53191489 4.46808511] ; [22.46808511 10.53191489],0
u2,1,0.793166,0.06875,[3 3] ; [7 9],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
r3,1,0.795862,0.066929,[11  3] ; [27  6],[11.31914894  2.68085106] ; [26.68085106  6.31914894],0
s2,1,0.801251,0.063367,[6 8] ; [15 17],[6.39130435 7.60869565] ; [14.60869565 17.39130435],0
a3,1,0.801251,0.063367,[8 6] ; [17 15],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
a8,1,0.810899,0.057249,[ 1 12] ; [ 3 27],[ 1.20930233 11.79069767] ; [ 2.79069767 27.20930233],0
a2,1,0.838856,0.041354,[ 2 12] ; [ 4 29],[ 1.78723404 12.21276596] ; [ 4.21276596 28.78723404],0
s1,1,0.838856,0.041354,[ 2 12] ; [ 4 29],[ 1.78723404 12.21276596] ; [ 4.21276596 28.78723404],0
p3,1,0.845211,0.038116,[7 7] ; [17 15],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
p4,1,0.964944,0.001932,[7 6] ; [17 15],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
n1,1,1.0,0.0,[2 2] ; [4 4],[2. 2.] ; [4. 4.],0
