Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001159,10.555354,[15 10] ; [76 10],[20.4954955  4.5045045] ; [70.5045045 15.4954955],0
s6,1,0.00125,10.414566,[11 14] ; [66 19],[17.5  7.5] ; [59.5 25.5],0
r3,1,0.013332,6.124487,[20  5] ; [82  4],[22.97297297  2.02702703] ; [79.02702703  6.97297297],0
p1,1,0.014998,5.916669,[ 8 17] ; [10 76],[ 4.05405405 20.94594595] ; [13.94594595 72.05405405],0
p2,1,0.020828,5.341165,[14 11] ; [68 18],[18.46846847  6.53153153] ; [63.53153153 22.46846847],0
n5,1,0.053304,3.734359,[15 10] ; [68 18],[18.69369369  6.30630631] ; [64.30630631 21.69369369],0
r4,1,0.081434,3.036044,[19  6] ; [77  9],[21.62162162  3.37837838] ; [74.37837838 11.62162162],0
a3,1,0.107659,2.588257,[21  4] ; [58 28],[17.79279279  7.20720721] ; [61.20720721 24.79279279],0
d1,1,0.122026,2.391128,[12 13] ; [56 30],[15.31531532  9.68468468] ; [52.68468468 33.31531532],0
v2,1,0.149123,2.081197,[ 9 15] ; [45 38],[12.11214953 11.88785047] ; [41.88785047 41.11214953],0
p5,1,0.163621,1.94044,[ 1 24] ; [12 72],[ 2.98165138 22.01834862] ; [10.01834862 73.98165138],0
v4,1,0.183335,1.770383,[22  3] ; [82  4],[23.42342342  1.57657658] ; [80.57657658  5.42342342],0
p9,1,0.197269,1.662481,[18  7] ; [71 14],[20.22727273  4.77272727] ; [68.77272727 16.22727273],0
d5,1,0.230314,1.43892,[19  6] ; [74 12],[20.94594595  4.05405405] ; [72.05405405 13.94594595],0
d3,1,0.233944,1.416721,[13 12] ; [56 30],[15.54054054  9.45945946] ; [53.45945946 32.54054054],0
a6,1,0.249209,1.327735,[18  7] ; [51 35],[15.54054054  9.45945946] ; [53.45945946 32.54054054],0
r1,1,0.262823,1.253825,[17  8] ; [67 18],[19.09090909  5.90909091] ; [64.90909091 20.09090909],0
n2,1,0.271455,1.20938,[6 1] ; [14  8],[4.82758621 2.17241379] ; [15.17241379  6.82758621],0
a7,1,0.300525,1.071861,[15 10] ; [61 25],[17.11711712  7.88288288] ; [58.88288288 27.11711712],0
p6,1,0.306604,1.045249,[ 4 21] ; [22 63],[ 5.90909091 19.09090909] ; [20.09090909 64.90909091],0
b4,1,0.341707,0.904016,[18  7] ; [53 33],[15.99099099  9.00900901] ; [55.00900901 30.99099099],0
p8,1,0.357174,0.847804,[ 6 19] ; [29 57],[ 7.88288288 17.11711712] ; [27.11711712 58.88288288],0
n3,1,0.366018,0.817138,[6 1] ; [15  7],[5.06896552 1.93103448] ; [15.93103448  6.06896552],0
u1,1,0.37376,0.791127,[ 3 22] ; [17 69],[ 4.5045045 20.4954955] ; [15.4954955 70.5045045],0
n4,1,0.376628,0.781681,[19  6] ; [72 14],[20.4954955  4.5045045] ; [70.5045045 15.4954955],0
a5,1,0.428297,0.627438,[20  5] ; [62 24],[18.46846847  6.53153153] ; [63.53153153 22.46846847],0
u2,1,0.430955,0.620248,[1 2] ; [16 12],[1.64516129 1.35483871] ; [15.35483871 12.64516129],0
p11,1,0.435821,0.60726,[16  9] ; [62 24],[17.56756757  7.43243243] ; [60.43243243 25.56756757],0
s7,1,0.460123,0.545595,[12 11] ; [33 43],[10.45454545 12.54545455] ; [34.54545455 41.45454545],0
a2,1,0.461161,0.543076,[ 6 19] ; [15 71],[ 4.72972973 20.27027027] ; [16.27027027 69.72972973],0
p10,1,0.466844,0.529437,[17  8] ; [64 21],[18.40909091  6.59090909] ; [62.59090909 22.40909091],0
s3,1,0.502274,0.450128,[16  9] ; [48 37],[14.54545455 10.45454545] ; [49.45454545 35.54545455],0
s2,1,0.574579,0.31508,[13 12] ; [49 35],[14.22018349 10.77981651] ; [47.77981651 36.22018349],0
u3,1,0.580912,0.304762,[3 1] ; [17 11],[2.5 1.5] ; [17.5 10.5],0
d2,1,0.613011,0.255814,[12 12] ; [48 38],[13.09090909 10.90909091] ; [46.90909091 39.09090909],0
a4,1,0.628681,0.233854,[13 12] ; [40 46],[11.93693694 13.06306306] ; [41.06306306 44.93693694],0
