Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000586,11.820276,[19 12] ; [16 48],[11.42105263 19.57894737] ; [23.57894737 40.42105263],1
p4,1,0.002396,9.218654,[17 14] ; [15 49],[10.44210526 20.55789474] ; [21.55789474 42.44210526],0
p2,1,0.003848,8.354019,[20 11] ; [22 44],[13.42268041 17.57731959] ; [28.57731959 37.42268041],0
r3,1,0.0074,7.173255,[27  4] ; [39 26],[21.3125  9.6875] ; [44.6875 20.3125],0
p6,1,0.009865,6.659135,[ 9 21] ; [ 6 59],[ 4.73684211 25.26315789] ; [10.26315789 54.73684211],0
n3,1,0.013361,6.120661,[8 1] ; [14 19],[4.71428571 4.28571429] ; [17.28571429 15.71428571],0
r4,1,0.017175,5.678395,[23  8] ; [32 34],[17.57731959 13.42268041] ; [37.42268041 28.57731959],0
p8,1,0.023732,5.114101,[13 18] ; [13 52],[ 8.39583333 22.60416667] ; [17.60416667 47.39583333],0
n2,1,0.034625,4.463563,[8 1] ; [18 18],[5.2 3.8] ; [20.8 15.2],0
s6,1,0.050831,3.81384,[17 13] ; [23 42],[12.63157895 17.36842105] ; [27.36842105 37.63157895],0
a3,1,0.09705,2.753367,[14 17] ; [41 24],[17.76041667 13.23958333] ; [37.23958333 27.76041667],0
s2,1,0.109758,2.557706,[11 19] ; [14 52],[ 7.8125 22.1875] ; [17.1875 48.8125],0
n5,1,0.129209,2.301982,[13 18] ; [38 27],[16.46875 14.53125] ; [34.53125 30.46875],0
v4,1,0.172714,1.859224,[25  6] ; [43 21],[22.18947368  8.81052632] ; [45.81052632 18.18947368],0
s4,1,0.180296,1.795183,[ 8 22] ; [10 56],[ 5.625 24.375] ; [12.375 53.625],0
b5,1,0.180526,1.79329,[20 11] ; [33 33],[16.93814433 14.06185567] ; [36.06185567 29.93814433],0
s3,1,0.221146,1.496917,[14 17] ; [21 44],[11.30208333 19.69791667] ; [23.69791667 41.30208333],0
u1,1,0.224925,1.472672,[ 2 29] ; [10 56],[ 3.83505155 27.16494845] ; [ 8.16494845 57.83505155],0
v1,1,0.255768,1.291522,[12 19] ; [18 48],[ 9.58762887 21.41237113] ; [20.41237113 45.58762887],0
u2,1,0.288256,1.127751,[ 5 11] ; [12 13],[6.63414634 9.36585366] ; [10.36585366 14.63414634],0
a7,1,0.356337,0.850762,[16 15] ; [40 25],[18.08333333 12.91666667] ; [37.91666667 27.08333333],0
v3,1,0.366185,0.816571,[11 19] ; [17 45],[ 9.13043478 20.86956522] ; [18.86956522 43.13043478],0
a8,1,0.388996,0.742078,[ 1 28] ; [ 5 55],[ 1.95505618 27.04494382] ; [ 4.04494382 55.95505618],0
b2,1,0.396443,0.719087,[ 5 15] ; [14 25],[ 6.44067797 13.55932203] ; [12.55932203 26.44067797],0
b3,1,0.396443,0.719087,[ 5 15] ; [14 25],[ 6.44067797 13.55932203] ; [12.55932203 26.44067797],0
n6,1,0.407914,0.684871,[19 12] ; [34 31],[17.11458333 13.88541667] ; [35.88541667 29.11458333],0
s7,1,0.425163,0.636,[ 4 22] ; [14 47],[ 5.37931034 20.62068966] ; [12.62068966 48.37931034],0
p5,1,0.439097,0.598641,[ 2 29] ; [ 2 63],[ 1.29166667 29.70833333] ; [ 2.70833333 62.29166667],0
d4,1,0.516543,0.420791,[23  8] ; [44 21],[21.63541667  9.36458333] ; [45.36458333 19.63541667],0
p1,1,0.520912,0.412087,[ 3 28] ; [ 4 62],[ 2.2371134 28.7628866] ; [ 4.7628866 61.2371134],0
