Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.034617,4.463978,[1 1] ; [ 14 160],[0.17045455 1.82954545] ; [ 14.82954545 159.17045455],0
a8,1,0.10996,2.554803,[1 1] ; [ 19 137],[0.25316456 1.74683544] ; [ 19.74683544 136.25316456],0
d4,1,0.311785,1.023098,[1 1] ; [138  36],[1.57954545 0.42045455] ; [137.42045455  36.57954545],0
s4,1,0.365613,0.818521,[1 1] ; [ 40 135],[0.46327684 1.53672316] ; [ 40.53672316 134.46327684],0
n6,1,0.439822,0.596748,[1 1] ; [129  45],[1.47727273 0.52272727] ; [128.52272727  45.47727273],0
p2,1,0.505833,0.442677,[1 1] ; [125  50],[1.42372881 0.57627119] ; [124.57627119  50.42372881],0
d3,1,0.606009,0.266027,[1 1] ; [117  57],[1.34090909 0.65909091] ; [116.65909091  57.34090909],0
p6,1,0.61962,0.246402,[1 1] ; [ 57 114],[0.67052023 1.32947977] ; [ 57.32947977 113.67052023],0
b5,1,0.624011,0.24027,[1 1] ; [117  59],[1.3258427 0.6741573] ; [116.6741573  59.3258427],0
p8,1,0.696601,0.152032,[1 1] ; [ 63 109],[0.73563218 1.26436782] ; [ 63.26436782 108.73563218],0
n5,1,0.726703,0.12216,[1 1] ; [108  66],[1.23863636 0.76136364] ; [107.76136364  66.23863636],0
s8,1,0.80565,0.060536,[1 1] ; [ 72 102],[0.82954545 1.17045455] ; [ 72.17045455 101.82954545],0
p10,1,0.825742,0.048473,[1 1] ; [97 71],[1.15294118 0.84705882] ; [96.84705882 71.15294118],0
d1,1,0.885057,0.020898,[1 1] ; [97 79],[1.1011236 0.8988764] ; [96.8988764 79.1011236],0
s2,1,0.903717,0.014633,[1 1] ; [95 80],[1.08474576 0.91525424] ; [94.91525424 80.08474576],0
d2,1,0.942274,0.005244,[1 1] ; [92 83],[1.05084746 0.94915254] ; [91.94915254 83.05084746],0
v2,1,0.993362,6.9e-05,[1 1] ; [85 84],[1.00584795 0.99415205] ; [84.99415205 84.00584795],0
u2,1,1.0,0.0,[1 1] ; [28 28],[1. 1.] ; [28. 28.],0
