Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.023868,5.104167,[1 2] ; [11  1],[2.4 0.6] ; [9.6 2.4],0
v1,1,0.170904,1.875,[2 1] ; [3 9],[1. 2.] ; [4. 8.],0
a3,1,0.170904,1.875,[1 2] ; [9 3],[2. 1.] ; [8. 4.],0
a5,1,0.170904,1.875,[1 2] ; [9 3],[2. 1.] ; [8. 4.],0
b4,1,0.170904,1.875,[1 2] ; [9 3],[2. 1.] ; [8. 4.],0
r1,1,0.170904,1.875,[1 2] ; [9 3],[2. 1.] ; [8. 4.],0
n2,1,0.197121,1.66358,[1 1] ; [8 1],[1.63636364 0.36363636] ; [7.36363636 1.63636364],0
r2,1,0.287495,1.131313,[2 1] ; [10  1],[2.57142857 0.42857143] ; [9.42857143 1.57142857],0
p4,1,0.291841,1.111111,[1 2] ; [8 4],[1.8 1.2] ; [7.2 4.8],0
s2,1,0.291841,1.111111,[1 2] ; [8 4],[1.8 1.2] ; [7.2 4.8],0
d2,1,0.291841,1.111111,[1 2] ; [8 4],[1.8 1.2] ; [7.2 4.8],0
b1,1,0.437558,0.602679,[2 1] ; [5 7],[1.4 1.6] ; [5.6 6.4],0
s4,1,0.518605,0.416667,[1 2] ; [ 2 10],[0.6 2.4] ; [2.4 9.6],0
a2,1,0.518605,0.416667,[1 2] ; [ 2 10],[0.6 2.4] ; [2.4 9.6],0
p5,1,0.518605,0.416667,[1 2] ; [ 2 10],[0.6 2.4] ; [2.4 9.6],0
p2,1,0.518605,0.416667,[2 1] ; [10  2],[2.4 0.6] ; [9.6 2.4],0
p8,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
p11,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
d1,1,0.604773,0.267857,[1 2] ; [6 6],[1.4 1.6] ; [5.6 6.4],0
n1,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
s3,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
s6,1,0.792147,0.069444,[2 1] ; [7 5],[1.8 1.2] ; [7.2 4.8],0
p6,1,0.792147,0.069444,[1 2] ; [5 7],[1.2 1.8] ; [4.8 7.2],0
s5,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
v3,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
a4,1,1.0,0.0,[1 2] ; [4 8],[1. 2.] ; [4. 8.],0
d5,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
a6,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
b5,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
